split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
calibration,3,10,0.3,5000,21.4394,6.563028440320954,0.09281523830542233,21.25748547570487,21.62131452429513,8263531
calibration,3,10,0.5,5000,29.9416,11.885185777605399,0.16808190918013374,29.612165511554206,30.271034488445796,8263731
calibration,3,10,0.7,5000,47.4642,24.547986456893312,0.3471609537628958,46.783777033786144,48.14462296621385,8263931
calibration,3,10,0.85,5000,74.1422,46.8160093013638,0.6620783529017364,72.844550273369,75.43984972663101,8264081
calibration,3,10,1.0,5000,98.9908,68.91693133073186,0.9746325896505627,97.08055522612588,100.9010447738741,8264231
calibration,3,10,1.15,5000,77.8582,48.93887509392805,0.6921002088511592,76.50170851695907,79.21469148304092,8264381
calibration,3,10,1.3,5000,52.4852,26.190008863550513,0.37038265733504705,51.75926333112507,53.21113666887493,8264531
calibration,3,10,1.5,5000,36.9348,14.355032648951742,0.2030108186045613,36.53690610706307,37.33269389293694,8264731
calibration,3,10,1.7,5000,28.359,8.761636391362682,0.12390825013246767,28.116144292352985,28.60185570764702,8264931
calibration,3,10,1.9,5000,23.226,5.835180705580021,0.08252191692729072,23.064260014887303,23.387739985112695,8265131
calibration,3,20,0.3,5000,42.9398,9.328235586424217,0.1319211727933247,42.681239252526794,43.1983607474732,8263701
calibration,3,20,0.5,5000,60.031,17.39483127342735,0.24600006302072613,59.54884873628479,60.51315126371521,8263901
calibration,3,20,0.7,5000,98.304,37.84746847774676,0.5352440322271766,97.25494097389473,99.35305902610527,8264101
calibration,3,20,0.85,5000,191.003,102.80934463009018,1.4539436951456306,188.15332272196548,193.8526772780345,8264251
calibration,3,20,1.0,5000,393.8002,278.08748841003626,3.9327509763574415,386.0921497261747,401.50825027382535,8264401
calibration,3,20,1.15,5000,208.3162,106.74586059098809,1.5096144377496303,205.35741007146905,211.27498992853097,8264551
calibration,3,20,1.3,5000,127.761,47.36640364476543,0.6698621043526567,126.44809440086058,129.0739055991394,8264701
calibration,3,20,1.5,5000,85.1494,24.0105306221281,0.33956018045588066,84.48387427572256,85.81492572427744,8264901
calibration,3,20,1.7,5000,64.161,14.753122039825483,0.20864065276066618,63.752071834878166,64.56992816512184,8265101
calibration,3,20,1.9,5000,51.8262,9.645029750072103,0.13640131882043952,51.558858327668176,52.093541672331824,8265301
calibration,3,40,0.3,5000,85.567,13.238737244645598,0.18722401760071625,85.20004766846169,85.9339523315383,8264041
calibration,3,40,0.5,5000,120.3918,24.727818054918462,0.34970415661159976,119.70639244779731,121.0772075522027,8264241
calibration,3,40,0.7,5000,198.58,56.9792289040954,0.8058079828973278,197.00064537506637,200.15935462493366,8264441
calibration,3,40,0.85,5000,404.4084,159.35283830184818,2.253589451291205,399.99144583952983,408.8253541604701,8264591
calibration,3,40,1.0,5000,1590.6136,1106.634580118398,15.650176317944938,1559.9398180651262,1621.2873819348736,8264741
calibration,3,40,1.15,5000,516.4622,195.6986186998575,2.7675964070301946,511.0378107184784,521.8865892815217,8264891
calibration,3,40,1.3,5000,291.6886,77.63510205992114,1.0979261424935989,289.5367043030276,293.8404956969724,8265041
calibration,3,40,1.5,5000,188.5468,39.37772378878898,0.5568851103748703,187.45532524013862,189.63827475986136,8265241
calibration,3,40,1.7,5000,140.8088,23.555398827504163,0.33312364488963686,140.15588965361758,141.4617103463824,8265441
calibration,3,40,1.9,5000,112.0692,15.258931101347535,0.21579387310842313,111.64625178062307,112.49214821937692,8265641
calibration,3,80,0.3,5000,171.6154,18.82757494622372,0.26626211835545477,171.09353583757596,172.13726416242403,8264721
calibration,3,80,0.5,5000,240.784,34.35076911901411,0.4857932356605665,239.8318627541721,241.73613724582788,8264921
calibration,3,80,0.7,5000,399.7828,79.56520941133589,1.1252219824256662,397.57740543983294,401.9881945601671,8265121
calibration,3,80,0.85,5000,795.136,229.59920179019034,3.2470230508172415,788.7719517634268,801.5000482365731,8265271
calibration,3,80,1.0,5000,6590.6012,4694.491983671451,66.3901423175994,6460.478912129017,6720.723487870983,8265421
calibration,3,80,1.15,5000,1172.6552,323.0442493380219,4.568535586604663,1163.7010347881653,1181.6093652118345,8265571
calibration,3,80,1.3,5000,645.0996,123.37714725155865,1.7448163493005666,641.6798227957343,648.5193772042658,8265721
calibration,3,80,1.5,5000,406.2524,60.87993074432236,0.8609722373495543,404.56492542310605,407.939874576894,8265921
calibration,3,80,1.7,5000,299.3342,35.81739085217531,0.5065343991196435,298.34141082079486,300.32698917920516,8266121
calibration,3,80,1.9,5000,236.4804,23.103150585004435,0.32672788890861176,235.8400251049943,237.1207748950057,8266321
calibration,4,10,0.3,5000,28.318,9.188479832503658,0.12994472796718337,28.063313013203466,28.572686986796537,8264540
calibration,4,10,0.5,5000,39.3454,15.874435371995942,0.2244984179809185,38.90539118617118,39.785408813828816,8264740
calibration,4,10,0.7,5000,60.829,31.022286109297127,0.4387213775158647,59.96912190082111,61.68887809917889,8264940
calibration,4,10,0.85,5000,87.7408,51.426130952551254,0.7272753185347279,86.31536656882703,89.16623343117296,8265090
calibration,4,10,1.0,5000,107.7638,67.2498782064604,0.9510568982751512,105.89976273213233,109.62783726786768,8265240
calibration,4,10,1.15,5000,89.621,51.50999529142849,0.7284613393891243,88.1932420106675,91.04875798933249,8265390
calibration,4,10,1.3,5000,69.4788,33.44648986211886,0.47300479576782717,68.55172763578034,70.40587236421968,8265540
calibration,4,10,1.5,5000,52.2898,20.67262168708854,0.29235501959688787,51.716794690890595,52.862805309109405,8265740
calibration,4,10,1.7,5000,42.6248,14.095636287605839,0.19934240008210521,42.2340960752473,43.0155039247527,8265940
calibration,4,10,1.9,5000,35.9052,10.342881996890439,0.14627043994026978,35.618515205714246,36.191884794285755,8266140
calibration,4,20,0.3,5000,57.6996,13.646120443577805,0.19298528605084486,57.32135578979418,58.07784421020581,8264710
calibration,4,20,0.5,5000,80.1924,23.84893155986887,0.3372748246007429,79.53135349089048,80.85344650910953,8264910
calibration,4,20,0.7,5000,132.2372,51.470049245691136,0.7278964169926749,130.8105492382186,133.6638507617814,8265110
calibration,4,20,0.85,5000,243.033,122.4726100768813,1.7320242618995731,239.63829482632724,246.42770517367273,8265260
calibration,4,20,1.0,5000,422.785,266.40440956727304,3.7675272908603423,415.400782199142,430.16921780085806,8265410
calibration,4,20,1.15,5000,275.5438,132.8528752374286,1.8788233796103224,271.8613738426519,279.22622615734804,8265560
calibration,4,20,1.3,5000,189.147,72.69348154719162,1.0280410750015672,187.13207651836908,191.1619234816309,8265710
calibration,4,20,1.5,5000,134.1618,40.20633943429992,0.5686035052136313,133.04735760829806,135.27624239170194,8265910
calibration,4,20,1.7,5000,104.5746,26.37675456678276,0.3730236403973065,103.84348709943926,105.30571290056075,8266110
calibration,4,20,1.9,5000,86.1778,18.592485666651807,0.2629374538800636,85.66245206020842,86.69314793979159,8266310
calibration,4,40,0.3,5000,114.3248,18.717429668484904,0.26470442889935897,113.80598885280901,114.84361114719098,8265050
calibration,4,40,0.5,5000,160.2554,33.38471324806806,0.4721311425135459,159.33003996469373,161.1807600353063,8265250
calibration,4,40,0.7,5000,265.3294,75.21706998523295,1.063730004950827,263.24452750102176,267.4142724989783,8265450
calibration,4,40,0.85,5000,532.7468,212.3435618223672,3.0029914501180146,526.861044911887,538.632555088113,8265600
calibration,4,40,1.0,5000,1680.906,1051.131465343649,14.865243741260935,1651.770657645719,1710.041342354281,8265750
calibration,4,40,1.15,5000,750.8156,283.8426693237396,4.014141525378141,742.9480271814122,758.6831728185879,8265900
calibration,4,40,1.3,5000,471.1852,130.65104224585423,1.8476847588226724,467.563804417924,474.806595582076,8266050
calibration,4,40,1.5,5000,318.6982,71.03446977305586,1.0045791054903725,316.7292611336174,320.6671388663826,8266250
calibration,4,40,1.7,5000,244.1614,44.87795178204137,0.6346700806168871,242.91746949992574,245.40533050007423,8266450
calibration,4,40,1.9,5000,196.5938,32.00428184432943,0.45260889438261687,195.70670286792756,197.4808971320724,8266650
