k,N,p_bias,new_repetitions,new_mc_mean,new_mc_sd,new_batch_means_json,run_id,formula_sha256,validator_sha256,source_results_sha256,grid_sha256,pooled_repetitions,pooled_mc_mean,pooled_mc_sd,pooled_mc_se,formula_mean,pooled_absolute_relative_error,pooled_simultaneous_ci_low,pooled_simultaneous_ci_high,pooled_uncertainty_aware_error_upper
3,14,1.0,60000,196.29201666666665,138.37535379747135,"[193.48466666666667,195.274,194.55333333333334,201.41133333333335,203.10133333333334,193.738,195.756,191.74133333333333,199.02733333333333,198.04,196.422,194.75733333333332,198.32466666666667,202.98066666666668,196.79,194.556,193.036,194.23866666666666,189.94866666666667,194.28533333333334,195.16666666666666,194.41333333333333,198.51533333333333,193.21866666666668,196.72333333333333,200.458,199.74466666666666,197.31866666666667,199.71333333333334,200.72533333333334,191.056,193.646,191.986,197.348,188.73,200.10133333333334,202.05066666666667,197.898,192.434,198.96666666666667]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,196.55557575757575,138.32260531372555,0.538420010952032,196.0,0.002826558114336979,194.30407083518259,198.80708067996892,0.01411962124471633
3,28,1.0,60000,781.64285,548.3298873138623,"[777.396,780.2893333333334,786.2246666666666,786.9386666666667,805.6093333333333,773.964,792.6973333333333,761.7526666666666,798.9766666666667,784.5626666666667,787.7266666666667,741.414,789.898,797.1233333333333,762.71,788.7913333333333,768.4553333333333,777.9246666666667,791.5,795.0626666666667,793.4873333333334,780.3966666666666,776.128,781.1886666666667,774.5873333333333,768.9133333333333,782.7106666666666,778.736,785.322,755.592,788.2826666666666,788.5793333333334,765.0613333333333,765.8666666666667,793.8513333333333,795.0066666666667,777.7866666666666,792.208,777.2666666666667,795.7253333333333]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,780.8490909090909,548.2949872426627,2.134235343287343,784.0,0.004035234371907474,771.9243829056489,789.7737989125329,0.015643523331775766
3,56,1.0,60000,3150.8703333333333,2253.8987956168094,"[3090.9393333333333,3169.5666666666666,3102.852,3162.5866666666666,3160.5093333333334,3154.960666666667,3180.637333333333,3211.945333333333,3189.017333333333,3150.171333333333,3093.1586666666667,3153.0866666666666,3182.8926666666666,3173.9666666666667,3193.42,3162.0913333333333,3276.5713333333333,3095.42,3029.652666666667,3150.425333333333,3089.1466666666665,3111.1293333333333,3208.59,3095.1226666666666,3176.19,3008.038666666667,3137.9293333333335,3155.582,3082.52,3180.4473333333335,3285.364,3230.78,3183.478666666667,3127.6993333333335,3053.7786666666666,3154.249333333333,3126.6073333333334,3262.408,3136.81,3145.0706666666665]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,3146.4648181818184,2249.35631484283,8.755607580740987,3136.0,0.0033258970897584858,3109.8515921397097,3183.078044223927,0.01479010051586882
4,14,1.06,60000,196.38013333333333,121.55526627846373,"[191.902,191.62333333333333,195.53066666666666,190.84733333333332,200.47533333333334,198.26133333333334,198.13266666666667,195.03066666666666,195.10933333333332,195.606,196.92066666666668,193.62666666666667,193.57666666666665,196.56733333333332,201.88866666666667,200.20066666666668,195.58333333333334,196.21466666666666,196.90666666666667,194.44133333333335,194.51266666666666,195.26133333333334,196.474,193.97533333333334,195.65466666666666,196.894,195.84733333333332,200.776,194.628,196.39866666666666,202.26,201.06733333333332,193.47,194.57066666666665,198.75533333333334,202.13866666666667,193.48266666666666,199.072,195.26533333333333,196.256]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,196.3944696969697,121.60858657070126,0.47336078123133046,189.405560117167,0.03558608137279206,194.41502222597822,198.3739171679612,0.045209356042512305
4,28,1.06,60000,685.0807833333333,393.19300913982056,"[683.3906666666667,704.6473333333333,695.69,676.1693333333334,684.746,697.4,686.5433333333333,683.7246666666666,694.0273333333333,709.4066666666666,688.6233333333333,668.568,687.0733333333334,678.3653333333333,669.9633333333334,683.0993333333333,665.5846666666666,676.5113333333334,679.618,684.926,670.144,666.3946666666667,677.5873333333333,676.3293333333334,704.4326666666667,681.2893333333334,685.4833333333333,674.8826666666666,694.1573333333333,687.7106666666666,698.508,688.0653333333333,678.0246666666667,695.2453333333333,674.8566666666667,695.102,682.9293333333334,690.366,697.666,685.9786666666666]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,684.4436969696969,392.6229812656535,1.5282828818443033,658.7768455476752,0.03750031088847638,678.0528935796123,690.8345003597816,0.046404247030817136
4,56,1.0,60000,3338.8108833333335,2122.743185211546,"[3258.6413333333335,3363.9366666666665,3336.9846666666667,3289.2793333333334,3345.03,3338.854,3221.0933333333332,3398.041333333333,3325.4493333333335,3353.0233333333335,3380.018,3308.1633333333334,3400.7733333333335,3289.2806666666665,3405.1566666666668,3286.8953333333334,3378.9293333333335,3376.6853333333333,3361.428,3366.674,3375.8053333333332,3329.7946666666667,3312.9446666666668,3319.102,3384.042,3377.8686666666667,3320.4693333333335,3332.204,3396.118,3341.9953333333333,3364.2553333333335,3301.5053333333335,3365.7233333333334,3246.690666666667,3411.3713333333335,3343.3226666666665,3299.405333333333,3234.1573333333336,3446.7533333333336,3264.5693333333334]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,3334.5255606060605,2115.0083522623586,8.232658845645242,3344.5593937677054,0.003009073698574746,3300.0991434255793,3368.9519777865416,0.01347239837648484
5,14,1.0,60000,224.27996666666667,132.84044613144383,"[219.88,228.29066666666668,227.006,222.05933333333334,220.12,221.68266666666668,227.23866666666666,219.54866666666666,229.48866666666666,228.042,220.862,222.828,226.57266666666666,223.03866666666667,219.16266666666667,222.33666666666667,222.144,224.06066666666666,220.03466666666668,229.75266666666667,223.10666666666665,222.17066666666668,223.10533333333333,226.70866666666666,226.97533333333334,226.656,228.328,229.89533333333333,228.166,225.01,227.998,224.29266666666666,225.67133333333334,230.46466666666666,223.06133333333332,211.10666666666665,224.44066666666666,220.41866666666667,223.78866666666667,225.68466666666666]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,223.93777272727272,132.5577866555606,0.5159804847587116,225.5370005415008,0.007141393766453708,221.78010291994352,226.09544253460191,0.016939741537199238
5,14,1.06,60000,213.83228333333332,123.56217658050167,"[212.23733333333334,215.1,210.192,214.25,215.56933333333333,210.26866666666666,216.61933333333334,215.30133333333333,210.83533333333332,218.746,213.96666666666667,207.93733333333333,218.248,211.80333333333334,215.774,218.89466666666667,213.12666666666667,216.13,214.27466666666666,215.358,217.632,205.448,215.42,207.11466666666666,215.574,209.54266666666666,210.374,216.23133333333334,216.466,214.834,219.84333333333333,216.93533333333335,213.74333333333334,216.642,209.15066666666667,217.22066666666666,209.958,214.64933333333335,212.96333333333334,208.916]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,214.04698484848484,123.64748842560564,0.4812971959377906,209.5342389641688,0.021082968711334273,212.03434976110785,216.05961993586183,0.03020176085485171
5,28,1.06,60000,777.057,421.2992000561274,"[768.8666666666667,784.6,782.806,781.256,766.112,768.5226666666666,774.226,771.5653333333333,791.0493333333334,766.376,769.294,768.4586666666667,775.692,777.4553333333333,763.6106666666667,778.4426666666667,794.218,760.75,785.9086666666667,770.372,756.7406666666667,790.7813333333334,773.3386666666667,781.9633333333334,772.046,766.418,771.3406666666667,780.0893333333333,777.0366666666666,802.2613333333334,789.4726666666667,768.43,765.536,791.206,775.4793333333333,781.0893333333333,789.38,777.9,797.3706666666667,774.818]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,777.474393939394,420.9327288996538,1.6384784250570452,761.7017764950504,0.020286992815834296,770.6227870818999,784.326000796888,0.028845434524484848
8,14,1.06,60000,265.45085,133.7375425218445,"[270.87266666666665,270.73533333333336,267.0606666666667,263.14733333333334,262.17466666666667,262.776,273.54266666666666,264.69533333333334,260.06266666666664,263.03066666666666,269.11266666666666,267.2853333333333,266.394,268.978,274.8433333333333,257.03066666666666,258.64733333333334,264.48,265.664,265.74133333333333,266.444,267.242,263.388,271.24266666666665,266.726,265.276,264.1666666666667,266.67,266.6546666666667,267.63466666666665,267.13,264.0686666666667,266.2026666666667,263.016,265.78333333333336,257.9753333333333,262.2133333333333,257.01,271.3426666666667,261.5726666666667]",precision-v1-33e29d850101,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7,49bc43e6fa248fed55e06405acd9658e21b28e031b0e09c93610c8b1fe1f514f,aeebc03cb1db7d38ad76a14aea3bf9ce1eac9085b67b69b341a6b11d7ba2db9c,33e29d850101cabbcdbdbc05a99ea4b00e4c70459e07891c02b06222e777343d,66000,265.66765151515153,133.84561637952618,0.5209933551605468,261.1840564019571,0.016876706996970355,263.48901944387325,267.8462835864298,0.024873323218326138
