k,N,p_bias,formula_mean,refined,repetitions,mc_mean,mc_sd,mc_se,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper
3,14,0.325,31.11034674473987,False,6000,31.065666666666665,8.500552793114123,0.1097416646709598,0.0014382462334583575,0.0014382462334583575,30.60676117806606,31.524572155267272,0.016453409223668558
3,14,0.525,44.179067076507046,False,6000,44.42316666666667,16.234480477211143,0.209586241741894,-0.0054948714482973456,0.0054948714482973456,43.54674222970457,45.299591103628764,0.024735853013736264
3,14,0.725,75.0346579051575,False,6000,75.60966666666667,36.54895271020668,0.471844950559843,-0.007604963582820106,0.007604963582820106,73.63655792779683,77.58277540553651,0.032843855959774904
3,14,0.94,176.69865229366297,False,6000,175.299,118.36586647083229,1.5280967653364812,0.007984371238073048,0.007984371238073048,168.90897489122915,181.68902510877086,0.04611760510328167
3,14,1.0,196.0,True,66000,196.55557575757575,138.32260531372555,0.538420010952032,-0.002826558114336979,0.002826558114336979,194.30407083518259,198.80708067996892,0.01411962124471633
3,14,1.06,177.49091703750327,False,6000,178.753,121.81114611104417,1.5725751342350414,-0.007060485488337091,0.007060485488337091,172.17698019475034,185.32901980524963,0.0422929057520669
3,14,1.275,87.04397271236591,False,6000,87.78183333333334,39.525796868314174,0.5102758433885269,-0.008405618713447822,0.008405618713447822,85.64801856085462,89.91564810581205,0.03193743751996059
3,14,1.675,43.72836366048411,False,6000,43.61033333333334,12.055097709503913,0.15563064221937278,0.002706476152076574,0.002706476152076574,42.95953442188028,44.261132244786396,0.017896591500587977
3,14,1.875,35.2816211192346,False,6000,35.237833333333334,7.887583341390661,0.1018282630767636,0.0012426355924626238,0.0012426355924626238,34.812019227444715,35.663647439221954,0.013489648179318081
3,28,0.325,62.222222167966684,False,6000,62.120333333333335,11.90802894749832,0.15373199266605608,0.0016401849308602617,0.0016401849308602617,61.477473983427465,62.763192683239204,0.012114163713687676
3,28,0.525,88.4210016524393,False,6000,88.468,22.475189988685404,0.2901534550967541,-0.0005312468639587457,0.0005312468639587457,87.25466855036723,89.68133144963278,0.01405342423914957
3,28,0.725,152.68593852901336,False,6000,151.98983333333334,53.65966787664326,0.6927433334975348,0.004579945779355981,0.004579945779355981,149.0929963035081,154.88667036315857,0.024098665360451355
