parameter,value
neutral_0,0.9823985353970215
neutral_1,0.08021223351064123
neutral_2,-0.0002627184936061827
neutral_3,0.017761537017271328
neutral_4,0.059368860081027645
neutral_5,-0.02528399591843001
negative_0,1.4955052247548626
negative_1,-0.08358399403519366
negative_2,0.7969977880787774
negative_3,0.004602681903992548
negative_4,0.02920435468212366
negative_5,-0.032351878930810575
negative_6,1.7928900001182788
negative_7,0.670089728633382
negative_8,-2.2129749777200414
negative_9,-0.934905967986031
negative_10,-0.24593820594994537
negative_11,0.5727068101958174
positive_0,-0.2289501220205311
positive_1,-0.5879049944196574
positive_2,-0.17065791385247697
positive_3,0.16272894601272486
positive_4,-0.04564572485816413
positive_5,0.15243670022574216
positive_6,-1.0894721332696555
positive_7,0.2729902827741012
positive_8,1.0644879902173496
positive_9,0.5329744833920592
positive_10,0.033755640212797464
positive_11,-0.3107338624142385
