cell_id,date,mode,source,source_sha256,claim_boundary,hotspot_weight,scale,seed,repetitions,node_count,channel_count,route_count,increment_sha256,maximum_absolute_drift,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-primary-lambda0-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607290000,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,1.214306433183765e-17,4176.444857768052,4185.841411378556,-9.396553610503283,-0.0022448422400715468,-0.005872846006564552,9.80357790153113,3.2274703551710684,-0.02564831916394075,0.013902627150811645,0.019775473157376197,2607.0,4023.0,5944.0,2621.0,4032.0,5957.0999999999985,13280,914,40,-0.00587284600656455,0.006127331561804582,3.479924403318366,-0.02719549663571115,0.015449804622582051,0.0213226506291466,0,104.44263990000036,raw/01-2020-10-14-primary-lambda0-N40.npz,01949ffc0d81a6287019804bf4eeb904cf5cae1f689ff6b7ae892ca559c041df
2020-10-14-primary-lambda0.25-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607290001,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.002126797787201498,3998.0585339168492,4010.3618708971553,-12.303336980306346,-0.003067886982865707,-0.007689585612691467,8.974383286396247,3.2274703551710684,-0.02579243312068309,0.010413261895300157,0.018102847507991623,2547.0,3861.0,5625.0,2567.0,3881.0,5632.0999999999985,11492,914,40,-0.007689585612691466,0.0055421144444111285,3.479924403318366,-0.02697572491378096,0.011596553688398029,0.019286139301089494,0,99.82814580000013,raw/02-2020-10-14-primary-lambda0.25-N40.npz,3b24d325c580f78c6273e77248f3b7aa7ccfce8db9f3210fd6cf967f89bab5a7
2020-10-14-primary-lambda0.5-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607290002,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.004253595574402999,3576.4813457330415,3589.4109956236325,-12.92964989059081,-0.003602164785909222,-0.008081031181619257,7.297063869476247,3.2274703551710684,-0.02280044200569705,0.006638379642458539,0.014719410824077796,2388.0,3495.0,4868.0,2378.0,3506.0,4916.0999999999985,9835,914,40,-0.008081031181619253,0.004871039491198994,3.479924403318366,-0.02503188037657011,0.008869818013331605,0.016950849194950858,0,88.62512559999959,raw/03-2020-10-14-primary-lambda0.5-N40.npz,4f77fb01b8107548312b8592ac5109000c977c07570b7352b7b6dcab3d30d11a
2020-10-14-primary-lambda0.75-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607290003,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.006380393361604496,3160.2022702407003,3159.5711159737416,0.6311542669584245,0.00019975947487540894,0.0003944714168490153,5.826356871464051,3.2274703551710684,-0.011358274883961905,0.012147217717659937,0.011752746300810921,2185.0,3110.0,4194.0,2191.0,3101.0,4201.0999999999985,7282,914,40,0.00039447141684901545,0.0035782410649302402,3.479924403318366,-0.012057536985957625,0.012846479819655657,0.012452008402806641,0,77.88569310000003,raw/04-2020-10-14-primary-lambda0.75-N40.npz,29afbb2ee258ad4e325160e97a4ff8243d103350bc4da21b6d2bd70af9e98d14
2020-10-14-primary-lambda1-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607290004,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.008507191148805993,2805.0192560175055,2810.831236323851,-5.811980306345733,-0.0020677087372726576,-0.003632487691466083,4.819067418103305,3.2274703551710684,-0.013353360961153082,0.006088385578220917,0.009720873269687,1995.0,2772.0,3653.0,1993.0,2773.0,3674.0,6284,914,40,-0.0036324876914660825,0.0028805632220126613,3.479924403318366,-0.013656629943049323,0.006391654560117158,0.01002414225158324,0,68.48790879999979,raw/05-2020-10-14-primary-lambda1-N40.npz,ab0057ff3bbe5f77f58b25188d309ae479d52fe4e3f2c0699cea9fc1aa66a504
2020-10-14-hub-lambda0-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607290100,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,1.214306433183765e-17,4064.3021334792124,4053.987308533917,10.314824945295404,0.0025443653766705192,0.006446765590809628,9.442107099076935,3.2274703551710684,-0.012599559879578563,0.025493091061197817,0.01904632547038819,2542.0,3904.5,5771.0,2545.0,3911.0,5746.0999999999985,12548,914,40,0.006446765590809626,0.0069110465812014495,3.479924403318366,-0.017603154059583258,0.030496685241202512,0.024049919650392885,0,83.48831789999986,raw/06-2020-10-14-hub-lambda0-N40.npz,241d6ee35978711966bca4150e563199e62d81d5cb7ca38997ec0b71fd49eb15
2020-10-14-hub-lambda0.25-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607290101,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0013030408139669309,3959.702680525164,3960.3470733041577,-0.6443927789934355,-0.00016271118845546335,-0.0004027454868708972,8.900598123643185,3.2274703551710684,-0.018356755853964405,0.01755126488022261,0.017954010367093508,2529.0,3845.0,5527.0,2509.0,3829.5,5560.0,12319,914,40,-0.00040274548687089655,0.005033236423213376,3.479924403318366,-0.01791802774368197,0.017112536769940175,0.017515282256811072,0,81.41882750000059,raw/07-2020-10-14-hub-lambda0.25-N40.npz,1e93b2628a17d56537c6ea0200baa3343aa893fa8f1e8e36bfa20c628fea8be8
2020-10-14-hub-lambda0.5-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607290102,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0026060816279338543,3652.6666301969367,3687.8271061269147,-35.16047592997812,-0.009534198572260314,-0.021975297456236324,7.619462280473286,3.2274703551710684,-0.037345040351593625,-0.006605554560879027,0.015369742895357297,2409.0,3575.5,4998.0,2415.0,3589.0,5090.0,9777,914,40,-0.02197529745623632,0.0058268182986479415,3.479924403318366,-0.042252184647403296,-0.0016984102650693458,0.020276887191166975,0,75.34067830000004,raw/08-2020-10-14-hub-lambda0.5-N40.npz,793610b11a9862523f65e256c7e32d9ce97e8bc0730b89cbf3cf74c2c5b60c15
2020-10-14-hub-lambda0.75-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607290103,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.003909122441900792,3309.758479212254,3347.756455142232,-37.99797592997812,-0.01135028083408288,-0.023748734956236323,6.393436717266366,3.2274703551710684,-0.036645377126635965,-0.010852092785836681,0.012896642170399642,2254.9,3259.0,4425.0,2261.0,3272.0,4522.0,8049,914,40,-0.023748734956236327,0.0029875996878941376,3.479924403318366,-0.03414535601748547,-0.013352113894987184,0.010396621061249143,0,68.79148949999944,raw/09-2020-10-14-hub-lambda0.75-N40.npz,f1028da84a1a879216ca75e1b6510cf91ac4a2dc304de0ca3e75821c936de4be
2020-10-14-hub-lambda1-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607290104,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.005212163255867717,3015.4177789934356,3058.3731673960615,-42.95538840262582,-0.014045175670697699,-0.02684711775164114,5.413322490232219,3.2274703551710684,-0.03776670391426946,-0.01592753158901282,0.01091958616262832,2123.0,2980.0,3957.0999999999985,2120.0,3009.0,4055.0,7169,914,40,-0.026847117751641142,0.0035915575405752096,3.479924403318366,-0.039345466483010905,-0.014348769020271377,0.012498348731369764,0,63.79078170000048,raw/10-2020-10-14-hub-lambda1-N40.npz,76a0e47f7eb3aabc8082c28df8c8716b3ae65ee7280040e5ddec317e70b5f000
