cell_id,block_index,normalized_mean_difference
2026-07-22-primary-lambda0-N40,0,-0.4113625
2026-07-22-primary-lambda0-N40,1,-0.18768749999999998
2026-07-22-primary-lambda0-N40,2,-0.087975
2026-07-22-primary-lambda0-N40,3,-0.022824999999999998
2026-07-22-primary-lambda0-N40,4,0.34373750000000003
2026-07-22-primary-lambda0-N40,5,0.33348749999999994
2026-07-22-primary-lambda0-N40,6,0.07378750000000003
2026-07-22-primary-lambda0-N40,7,0.4912875000000001
2026-07-22-primary-lambda0-N40,8,-0.3886
2026-07-22-primary-lambda0-N40,9,-0.21668749999999995
2026-07-22-primary-lambda0-N40,10,-0.28334999999999994
2026-07-22-primary-lambda0-N40,11,-0.111825
2026-07-22-primary-lambda0-N40,12,-0.07301250000000001
2026-07-22-primary-lambda0-N40,13,-0.0898375
2026-07-22-primary-lambda0-N40,14,0.17858749999999998
2026-07-22-primary-lambda0-N40,15,0.2698874999999999
2026-07-22-primary-lambda0-N40,16,-0.31872500000000004
2026-07-22-primary-lambda0-N40,17,-0.19787499999999994
2026-07-22-primary-lambda0-N40,18,-0.1834375
2026-07-22-primary-lambda0-N40,19,0.017924999999999996
2026-07-22-primary-lambda0-N40,20,0.48658749999999995
2026-07-22-primary-lambda0-N40,21,0.36426249999999993
2026-07-22-primary-lambda0-N40,22,-0.03295000000000008
2026-07-22-primary-lambda0-N40,23,-0.17637500000000003
2026-07-22-primary-lambda0-N40,24,0.6038374999999999
2026-07-22-primary-lambda0-N40,25,-0.40951249999999995
2026-07-22-primary-lambda0-N40,26,0.01492500000000003
2026-07-22-primary-lambda0-N40,27,-0.25145000000000006
2026-07-22-primary-lambda0-N40,28,-0.2541874999999999
2026-07-22-primary-lambda0-N40,29,0.4162750000000001
2026-07-22-primary-lambda0-N40,30,0.049825000000000015
2026-07-22-primary-lambda0-N40,31,0.021624999999999978
2026-07-22-primary-lambda0-N40,32,-0.0009375000000000177
2026-07-22-primary-lambda0-N40,33,0.22467500000000004
2026-07-22-primary-lambda0-N40,34,0.44305
2026-07-22-primary-lambda0-N40,35,-0.136625
2026-07-22-primary-lambda0-N40,36,-0.0549625
2026-07-22-primary-lambda0-N40,37,0.18692499999999995
2026-07-22-primary-lambda0-N40,38,-0.02132500000000005
2026-07-22-primary-lambda0-N40,39,0.3220625
2026-07-22-primary-lambda0.25-N40,0,0.025237499999999972
2026-07-22-primary-lambda0.25-N40,1,-0.09037500000000001
2026-07-22-primary-lambda0.25-N40,2,0.0458125
2026-07-22-primary-lambda0.25-N40,3,-0.3458625
2026-07-22-primary-lambda0.25-N40,4,-0.4506
2026-07-22-primary-lambda0.25-N40,5,-0.17002500000000004
2026-07-22-primary-lambda0.25-N40,6,0.12534999999999996
2026-07-22-primary-lambda0.25-N40,7,-0.1151375
2026-07-22-primary-lambda0.25-N40,8,0.04313749999999999
2026-07-22-primary-lambda0.25-N40,9,0.10667499999999996
2026-07-22-primary-lambda0.25-N40,10,0.3084499999999999
2026-07-22-primary-lambda0.25-N40,11,0.11701249999999998
2026-07-22-primary-lambda0.25-N40,12,-0.10524999999999997
2026-07-22-primary-lambda0.25-N40,13,0.5097125000000001
2026-07-22-primary-lambda0.25-N40,14,-0.32145
2026-07-22-primary-lambda0.25-N40,15,-0.3133375
2026-07-22-primary-lambda0.25-N40,16,-0.02275000000000006
2026-07-22-primary-lambda0.25-N40,17,-0.03584999999999998
2026-07-22-primary-lambda0.25-N40,18,-0.09251250000000003
2026-07-22-primary-lambda0.25-N40,19,-0.059799999999999985
2026-07-22-primary-lambda0.25-N40,20,0.1468625
2026-07-22-primary-lambda0.25-N40,21,0.1418125
2026-07-22-primary-lambda0.25-N40,22,-0.2494125
2026-07-22-primary-lambda0.25-N40,23,0.04658750000000003
2026-07-22-primary-lambda0.25-N40,24,-0.153575
2026-07-22-primary-lambda0.25-N40,25,0.3256125
2026-07-22-primary-lambda0.25-N40,26,0.12448750000000004
2026-07-22-primary-lambda0.25-N40,27,-0.049475
2026-07-22-primary-lambda0.25-N40,28,0.04452499999999998
2026-07-22-primary-lambda0.25-N40,29,-0.39056250000000003
2026-07-22-primary-lambda0.25-N40,30,0.2662000000000001
2026-07-22-primary-lambda0.25-N40,31,-0.16111250000000002
2026-07-22-primary-lambda0.25-N40,32,-0.183725
2026-07-22-primary-lambda0.25-N40,33,-0.048787499999999956
2026-07-22-primary-lambda0.25-N40,34,-0.12112500000000004
2026-07-22-primary-lambda0.25-N40,35,0.3047500000000001
2026-07-22-primary-lambda0.25-N40,36,-0.684425
2026-07-22-primary-lambda0.25-N40,37,0.47126250000000014
2026-07-22-primary-lambda0.25-N40,38,-0.16016250000000004
2026-07-22-primary-lambda0.25-N40,39,0.07123750000000001
2026-07-22-primary-lambda0.5-N40,0,-0.09006249999999992
2026-07-22-primary-lambda0.5-N40,1,0.356025
2026-07-22-primary-lambda0.5-N40,2,-0.03597500000000002
2026-07-22-primary-lambda0.5-N40,3,-0.05156249999999998
2026-07-22-primary-lambda0.5-N40,4,0.3052749999999999
2026-07-22-primary-lambda0.5-N40,5,0.185425
2026-07-22-primary-lambda0.5-N40,6,-0.3722999999999999
2026-07-22-primary-lambda0.5-N40,7,-0.08560000000000001
2026-07-22-primary-lambda0.5-N40,8,-0.10875
2026-07-22-primary-lambda0.5-N40,9,-0.2736875
2026-07-22-primary-lambda0.5-N40,10,0.044174999999999985
2026-07-22-primary-lambda0.5-N40,11,-0.052125000000000005
2026-07-22-primary-lambda0.5-N40,12,-0.24823749999999997
2026-07-22-primary-lambda0.5-N40,13,0.26408750000000003
2026-07-22-primary-lambda0.5-N40,14,0.07118750000000004
2026-07-22-primary-lambda0.5-N40,15,0.1963
2026-07-22-primary-lambda0.5-N40,16,-0.08462500000000003
2026-07-22-primary-lambda0.5-N40,17,0.10853749999999998
2026-07-22-primary-lambda0.5-N40,18,-0.342275
2026-07-22-primary-lambda0.5-N40,19,-0.2288375
2026-07-22-primary-lambda0.5-N40,20,-0.10098750000000002
2026-07-22-primary-lambda0.5-N40,21,-0.247025
2026-07-22-primary-lambda0.5-N40,22,-0.31457500000000005
2026-07-22-primary-lambda0.5-N40,23,0.1798375
2026-07-22-primary-lambda0.5-N40,24,0.2403875
2026-07-22-primary-lambda0.5-N40,25,-0.2401125
2026-07-22-primary-lambda0.5-N40,26,0.09607500000000002
2026-07-22-primary-lambda0.5-N40,27,0.2830625
2026-07-22-primary-lambda0.5-N40,28,-0.23262499999999992
2026-07-22-primary-lambda0.5-N40,29,-0.09119999999999999
2026-07-22-primary-lambda0.5-N40,30,0.2715875
2026-07-22-primary-lambda0.5-N40,31,-0.3702625
2026-07-22-primary-lambda0.5-N40,32,0.08741249999999999
2026-07-22-primary-lambda0.5-N40,33,0.1612375
2026-07-22-primary-lambda0.5-N40,34,-0.22046249999999998
2026-07-22-primary-lambda0.5-N40,35,-0.1399
2026-07-22-primary-lambda0.5-N40,36,0.09531249999999998
2026-07-22-primary-lambda0.5-N40,37,-0.03283750000000002
2026-07-22-primary-lambda0.5-N40,38,-0.23127499999999998
2026-07-22-primary-lambda0.5-N40,39,-0.19205000000000005
2026-07-22-primary-lambda0.75-N40,0,-0.050525
2026-07-22-primary-lambda0.75-N40,1,0.022662500000000016
2026-07-22-primary-lambda0.75-N40,2,0.2588625
2026-07-22-primary-lambda0.75-N40,3,-0.15047500000000003
2026-07-22-primary-lambda0.75-N40,4,0.35511249999999994
2026-07-22-primary-lambda0.75-N40,5,-0.014150000000000001
2026-07-22-primary-lambda0.75-N40,6,0.2071875
2026-07-22-primary-lambda0.75-N40,7,0.25292500000000007
2026-07-22-primary-lambda0.75-N40,8,-0.1923
2026-07-22-primary-lambda0.75-N40,9,-0.0284375
2026-07-22-primary-lambda0.75-N40,10,0.07721249999999996
2026-07-22-primary-lambda0.75-N40,11,0.275925
2026-07-22-primary-lambda0.75-N40,12,-0.02956250000000002
2026-07-22-primary-lambda0.75-N40,13,0.17120000000000002
2026-07-22-primary-lambda0.75-N40,14,0.11198750000000005
2026-07-22-primary-lambda0.75-N40,15,-0.08578749999999997
2026-07-22-primary-lambda0.75-N40,16,0.08642500000000003
