cell_id,date,mode,source,source_sha256,claim_boundary,hotspot_weight,scale,seed,repetitions,node_count,channel_count,route_count,increment_sha256,maximum_absolute_drift,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-primary-lambda0-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607300000,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,1.214306433183765e-17,4187.435038293217,4178.179759299781,9.255278993435448,0.002215146194424755,0.005784549370897155,9.885247625607095,3.2274703551710684,-0.014155665419835402,0.025724764161629714,0.019940214790732557,2628.0,4027.0,5955.0999999999985,2604.0,4027.0,5945.0,13905,914,40,0.005784549370897156,0.005718818610269127,3.479924403318366,-0.014116507069129602,0.025685605810923915,0.01990105644002676,0,103.62830050000048,raw/01-2020-10-14-primary-lambda0-N40.npz,6ae5fcf733ef7d577fc80aa34e0aa001086e400a09b006999d9fdd6f0b2029a7
2020-10-14-primary-lambda0.25-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607300001,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.002126797787201498,4010.013101750547,4004.2935995623634,5.7195021881838075,0.0014283423645081626,0.0035746888676148796,9.003433242503485,3.2274703551710684,-0.014586757310473701,0.02173613504570346,0.01816144617808858,2556.0,3890.0,5616.0,2557.0,3876.0,5625.0,12008,914,40,0.0035746888676148787,0.006175136643088907,3.479924403318366,-0.017914319830495663,0.02506369756572542,0.021489008698110542,0,98.53654439999991,raw/02-2020-10-14-primary-lambda0.25-N40.npz,67e0b373c4db518ae758d1a21261e2675f8c0964bfccb058a2dadab919c5e990
2020-10-14-primary-lambda0.5-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607300002,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.004253595574402999,3572.6777352297595,3590.522893873085,-17.84515864332604,-0.004970072374076002,-0.011153224152078776,7.298024986412844,3.2274703551710684,-0.025874573711419522,0.003568125407261969,0.014721349559340745,2390.9,3494.0,4863.0,2375.0,3506.0,4899.0,10370,914,40,-0.011153224152078775,0.005039176559129777,3.479924403318366,-0.02868917763282436,0.0063827293286668075,0.017535953480745582,0,87.95950980000089,raw/03-2020-10-14-primary-lambda0.5-N40.npz,5d9e014309f92564aeca09c46c4d6a90fd83fad294b5aaeb98f01b9af1ecf0e8
2020-10-14-primary-lambda0.75-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607300003,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.006380393361604496,3146.989715536105,3160.7428336980306,-13.753118161925602,-0.004351229722107642,-0.008595698851203502,5.81751875955628,3.2274703551710684,-0.020330617186903165,0.0031392194844961606,0.011734918335699663,2181.0,3093.0,4185.0,2177.9,3105.0,4219.0,7838,914,40,-0.0085956988512035,0.0037343877095881006,3.479924403318366,-0.02159108577325131,0.004399688070844308,0.012995386922047809,0,76.58968519999871,raw/04-2020-10-14-primary-lambda0.75-N40.npz,a7492279b5b59e88dccc3f9500b72a9a436a1fb3dc9a4cc1b7aaab83048c1a8b
2020-10-14-primary-lambda1-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607300004,36560,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.008507191148805993,2805.200136761488,2801.694556892779,3.5055798687089714,0.0012512355638784683,0.0021909874179431073,4.773866800837967,3.2274703551710684,-0.007438708569081822,0.011820683404968037,0.00962969598702493,1994.0,2769.0,3649.0999999999985,1999.0,2763.0,3647.0,6010,914,40,0.0021909874179431065,0.0027372319176673537,3.479924403318366,-0.007334372729889445,0.011716347565775657,0.009525360147832552,0,67.75482089999969,raw/05-2020-10-14-primary-lambda1-N40.npz,ebf71c7dac8130f933116e541bd159429895326372a20a2ed993f07b9570d720
2020-10-14-hub-lambda0-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607300100,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,1.214306433183765e-17,4050.610886214442,4059.681920131291,-9.071033916849016,-0.002234419862272278,-0.0056693961980306355,9.446876272065582,3.2274703551710684,-0.024725341896193534,0.013386549500132265,0.0190559456981629,2531.0,3911.0,5755.0,2548.0,3910.0,5767.0,13202,914,40,-0.005669396198030634,0.006583718742413669,3.479924403318366,-0.028580239714340462,0.017241447318279195,0.02291084351630983,0,82.59066119999989,raw/06-2020-10-14-hub-lambda0-N40.npz,6491e03324adefea71dbc72772d6d7b87e1a0bcda3588b24f00879ccdd2b07de
2020-10-14-hub-lambda0.25-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607300101,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0013030408139669309,3952.2936542669586,3973.784819474836,-21.49116520787746,-0.0054082357712357644,-0.013431978254923413,8.909345049159361,3.2274703551710684,-0.03140363264876839,0.004539676138921561,0.017971654393844974,2513.0,3824.0,5543.0999999999985,2524.0,3843.0,5578.0,10932,914,40,-0.013431978254923416,0.0059875160959651985,3.479924403318366,-0.034268081632534225,0.007404125122687389,0.020836103377610805,0,80.7124330000006,raw/07-2020-10-14-hub-lambda0.25-N40.npz,0f9cea7d5684a576566dd0c368028df745dfea60fa46fb5b2293f293fdae3a62
2020-10-14-hub-lambda0.5-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607300102,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0026060816279338543,3651.7176422319476,3686.1952407002186,-34.47759846827133,-0.00935316667104211,-0.021548499042669582,7.645937666687994,3.2274703551710684,-0.036971647265620425,-0.006125350819718739,0.015423148222950843,2407.0,3572.0,5005.0999999999985,2404.0,3586.0,5102.0,9982,914,40,-0.021548499042669582,0.0041213677487273405,3.479924403318366,-0.03589054724651513,-0.007206450838824034,0.014342048203845548,0,74.02739699999984,raw/08-2020-10-14-hub-lambda0.5-N40.npz,bc06b2c44ba3dcb59687f02d4d041bcd7af0edb3b590cc21c8d4eeb0e5648f94
2020-10-14-hub-lambda0.75-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607300103,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.003909122441900792,3305.9268052516413,3365.677024070022,-59.750218818380745,-0.017752808243652097,-0.03734388676148796,6.411269699445718,3.2274703551710684,-0.0502765010702177,-0.024411272452758224,0.012932614308729738,2255.0,3250.0,4408.0,2272.0,3284.5,4553.0,8096,914,40,-0.03734388676148796,0.0029516572285644286,3.479924403318366,-0.047615430781400375,-0.02707234274157555,0.01027154401991241,0,66.81224660000044,raw/09-2020-10-14-hub-lambda0.75-N40.npz,04f36576851b3a7d3efd7f7587c6171ef6a5b73dd16c43edbaed3c43c7cfca24
2020-10-14-hub-lambda1-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607300104,36560,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.005212163255867717,3022.2509846827134,3055.2141411378557,-32.96315645514223,-0.010789147644775478,-0.020601972784463896,5.450386807226213,3.2274703551710684,-0.031596323937300205,-0.00960762163162759,0.010994351152836306,2125.0,2990.0,3971.0,2120.0,2998.0,4056.0,7303,914,40,-0.020601972784463896,0.0035661310194344117,3.479924403318366,-0.03301183914442431,-0.008192106424503486,0.01240986635996041,0,60.464452999998684,raw/10-2020-10-14-hub-lambda1-N40.npz,6afa609c14c6c8fa11c4eb40de24dc512c20803078ae32c2fcf54e565985e177
