snapshot,date,mode,node_count,channel_count,route_count,multi_channel_route_count,maximum_route_length,demand_kind,probability_sum,maximum_absolute_drift,cross_channel_covariance_max_abs
20201014.gml.geo,2020-10-14,primary,31,42,978,894,2,uniform,1.0000000000000004,1.214306433183765e-17,0.002150537634408603
20201014.gml.geo,2020-10-14,primary,31,42,978,894,2,hotspot,1.0,0.008507191148805993,0.0023138375569454746
20201014.gml.geo,2020-10-14,hub,31,33,936,870,2,uniform,1.0000000000000002,1.214306433183765e-17,0.002150537634408603
20201014.gml.geo,2020-10-14,hub,31,33,936,870,2,hotspot,1.0000000000000002,0.005212163255867717,0.0022038699677240756
20220531.gml.geo,2022-05-31,primary,31,30,930,870,3,uniform,1.0000000000000002,1.214306433183765e-17,0.062365591397849474
20220531.gml.geo,2022-05-31,primary,31,30,930,870,3,hotspot,1.0,0.0030704792579812094,0.059386800656260536
20220531.gml.geo,2022-05-31,hub,31,36,948,876,2,uniform,1.0000000000000002,1.214306433183765e-17,0.002150537634408603
20220531.gml.geo,2022-05-31,hub,31,36,948,876,2,hotspot,1.0,0.006382574051272814,0.0022477850828421498
20230716.gml.geo,2023-07-16,primary,31,30,930,870,2,uniform,1.0000000000000002,1.214306433183765e-17,0.002150537634408603
20230716.gml.geo,2023-07-16,primary,31,30,930,870,2,hotspot,1.0,0.0030654273737926144,0.0019485256949931442
20230716.gml.geo,2023-07-16,hub,31,31,930,868,2,uniform,1.0000000000000002,1.214306433183765e-17,0.002150537634408603
20230716.gml.geo,2023-07-16,hub,31,31,930,868,2,hotspot,1.0000000000000004,0.0031793142957870627,0.0020392008633870746
