cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass
2020-10-14-hub-hotspot-N10,2020-10-14,hub,hotspot,10,202607230110,202607240110,20000,20000,40000,500,80,-0.010124249999999998,0.0058538070452705815,3.405199776924186,-0.03005763244471261,0.009809132444712616,0.019933382444712613,0.03,True
2020-10-14-hub-hotspot-N20,2020-10-14,hub,hotspot,20,202607230111,202607240111,20000,20000,40000,500,80,-0.0190173125,0.005168166016665951,3.405199776924186,-0.03661595026705805,-0.0014186747329419484,0.017598637767058053,0.03,True
2020-10-14-hub-hotspot-N40,2020-10-14,hub,hotspot,40,202607230112,202607240112,20000,20000,40000,500,80,-0.0279291875,0.0032884993930453643,3.405199776924186,-0.03912718489961339,-0.016731190100386605,0.011197997399613396,0.03,True
2020-10-14-hub-hotspot-N80,2020-10-14,hub,hotspot,80,202607230113,202607240113,20000,20000,40000,500,80,-0.0108646875,0.0019762856687252656,3.405199776924186,-0.01759433501828174,-0.004135039981718259,0.0067296475182817405,0.03,True
2020-10-14-hub-uniform-N10,2020-10-14,hub,uniform,10,202607230100,202607240100,20000,20000,40000,500,80,0.0005297499999999996,0.005628013071986362,3.405199776924186,-0.018634758857254363,0.01969425885725436,0.01916450885725436,0.03,True
2020-10-14-hub-uniform-N20,2020-10-14,hub,uniform,20,202607230101,202607240101,20000,20000,40000,500,80,0.0046538125,0.006259181059337872,3.405199776924186,-0.016659949446985414,0.025967574446985414,0.021313761946985414,0.03,True
2020-10-14-hub-uniform-N40,2020-10-14,hub,uniform,40,202607230102,202607240102,20000,20000,40000,500,80,0.010980765625000001,0.006121775238164248,3.405199776924186,-0.009865102050376903,0.031826633300376904,0.020845867675376904,0.03,True
2020-10-14-hub-uniform-N80,2020-10-14,hub,uniform,80,202607230103,202607240103,20000,20000,40000,500,80,0.011243828124999999,0.006073760270034491,3.405199776924186,-0.009438538991612436,0.031926195241612436,0.020682367116612435,0.03,True
2020-10-14-primary-hotspot-N10,2020-10-14,primary,hotspot,10,202607230010,202607240010,20000,20000,40000,500,80,-0.0126795,0.006020350918900729,3.405199776924186,-0.03317999760604608,0.007820997606046081,0.02050049760604608,0.03,True
2020-10-14-primary-hotspot-N20,2020-10-14,primary,hotspot,20,202607230011,202607240011,20000,20000,40000,500,80,-0.0115225625,0.005050259525379338,3.405199776924186,-0.028719705109230966,0.0056745801092309665,0.017197142609230966,0.03,True
2020-10-14-primary-hotspot-N40,2020-10-14,primary,hotspot,40,202607230012,202607240012,20000,20000,40000,500,80,0.0022106093749999995,0.0031500247571449123,3.405199776924186,-0.008515854225335517,0.012937072975335518,0.010726463600335518,0.03,True
