cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-primary-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,10,202607240000,31,42,978,894,20000,256.07125,255.2254,0.84585,0.003314129393077648,0.0084585,0.8494143244751681,3.2795060748047757,-0.019398094371425086,0.03631509437142509,0.027856594371425087,154.0,247.0,370.0,156.0,246.0,367.0,1029,500,40,0.008458500000000002,0.007977254890207114,3.5438667634871557,-0.01981182846927037,0.03672882846927037,0.02827032846927037,0,3.5508470999993733,raw/01-2020-10-14-primary-uniform-N10.npz,e7eb9bc4201594a76730b87c71760ac169772421c4943b67f2d43f05275817e8
2020-10-14-primary-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,20,202607240001,31,42,978,894,20000,1040.3821,1040.0755,0.3066,0.0002947862919566897,0.0007664999999999999,3.360695078163507,3.2795060748047757,-0.02678704981100933,0.02832004981100933,0.02755354981100933,647.0,1002.0,1480.0,647.0,1001.0,1489.1000000000022,3516,500,40,0.0007665000000000005,0.009395291645423472,3.5438667634871557,-0.03252916179548479,0.0340621617954848,0.03329566179548479,0,14.213097600000765,raw/02-2020-10-14-primary-uniform-N20.npz,67ab6ea995d7580adfd352a53d6fbc0f5eb47f8bee72b1b79888c40eeafc83eb
2020-10-14-primary-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,40,202607240002,31,42,978,894,20000,4199.09225,4200.0868,-0.99455,-0.00023679272533129553,-0.0006215937500000001,13.316039592218699,3.2795060748047757,-0.027915364209388834,0.026672176709388835,0.027293770459388834,2629.0,4042.0,5969.0,2624.0,4041.0,5970.100000000002,13631,500,40,-0.0006215937499999998,0.008366833244761606,3.5438667634871557,-0.030272536001750047,0.029029348501750048,0.029650942251750047,0,57.32485820000147,raw/03-2020-10-14-primary-uniform-N40.npz,0196b78766507eda41efed62f634163f163fb7201e60370098e8f5ed6323b911
2020-10-14-primary-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,80,202607240003,31,42,978,894,20000,16809.12055,16757.48205,51.6385,0.0030815190400278547,0.008068515625,53.317034257570896,3.2795060748047757,-0.01925234964660595,0.03538938089660595,0.02732086527160595,10474.0,16165.0,23865.300000000007,10563.9,16142.0,23767.0,52329,500,40,0.008068515625,0.00871670043468672,3.5438667634871557,-0.02282230933276031,0.03895934058276031,0.03089082495776031,0,228.84779010000057,raw/04-2020-10-14-primary-uniform-N80.npz,d5a2f09deb87c69a10e84dd4598e51a181fc10248613ebb3d25d3013b0521438
2020-10-14-primary-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,10,202607240010,31,42,978,894,20000,252.1127,252.85155,-0.73885,-0.0029220702819500216,-0.0073885,0.7950207389953087,3.2795060748047757,-0.03346125343130897,0.018684253431308973,0.026072753431308972,156.0,244.0,358.0,156.0,245.0,359.0,728,500,40,-0.007388499999999999,0.0076364115914210485,3.5438667634871557,-0.03445092523114511,0.019673925231145112,0.02706242523114511,0,3.4832419000013033,raw/05-2020-10-14-primary-hotspot-N10.npz,b5311dcb62eb1514f35366091870bfe820587df261c82aae3cce500b7c4a4165
2020-10-14-primary-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,20,202607240011,31,42,978,894,20000,901.4102,908.98715,-7.57695,-0.008335596383293207,-0.018942375,2.51034389382374,3.2795060748047757,-0.03952409512411008,0.0016393451241100768,0.020581720124110078,600.0,882.0,1228.0,597.0,888.0,1248.0,2247,500,40,-0.018942375,0.007588002959267726,3.5438667634871557,-0.04583324648859108,0.007948496488591073,0.026890871488591074,0,12.117992999999842,raw/06-2020-10-14-primary-hotspot-N20.npz,9ec83c0fb294628a6ba95f522aaf0d88502df0ba15e7d5612f8516b5f15cdffb
2020-10-14-primary-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,40,202607240012,31,42,978,894,20000,2806.06845,2796.3114,9.75705,0.0034892573123293776,0.006098156249999999,6.49173751503117,3.2795060748047757,-0.0072079016353642405,0.01940421413536424,0.01330605788536424,2002.0,2772.0,3651.0,1980.0,2760.5,3648.0,6178,500,40,0.00609815625,0.003600860335005865,3.5438667634871557,-0.00666281301118651,0.01885912551118651,0.01276096926118651,0,37.06527550000101,raw/07-2020-10-14-primary-hotspot-N40.npz,83ea1c8f7b73b2b5964ea1fc89c66ab15c6e68815e9a5d3183c6645ad350b5a9
2020-10-14-primary-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,80,202607240013,31,42,978,894,20000,7553.92525,7562.4209,-8.49565,-0.0011234034857805918,-0.0013274453124999998,14.187658745440972,3.2795060748047757,-0.008597525475457932,0.005942634850457933,0.007270080162957933,5740.0,7522.0,9393.0,5735.0,7529.0,9411.100000000002,13324,500,40,-0.0013274453124999994,0.002387235608270572,3.5438667634871557,-0.009787490241263123,0.007132599616263124,0.008460044928763124,0,98.59497620000184,raw/08-2020-10-14-primary-hotspot-N80.npz,22daa04fece1239369ea4a877f4ee45bc0f09f8ea181a292c6073e41f24ea264
2020-10-14-hub-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,10,202607240100,31,33,936,870,20000,247.6309,247.707,-0.0761,-0.0003072178016769813,-0.000761,0.8146761935299909,3.2795060748047757,-0.027478355256804362,0.02595635525680436,0.02671735525680436,150.0,239.0,355.0,151.0,239.0,354.0,723,500,40,-0.0007609999999999995,0.008318985082020029,3.5438667634871557,-0.03024237473811625,0.02872037473811625,0.02948137473811625,0,2.8095963999985543,raw/09-2020-10-14-hub-uniform-N10.npz,0732467c049acc0fac77342bf7763cd1689ad2e6ec54a01733ee85649a1ce7b3
2020-10-14-hub-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,20,202607240101,31,33,936,870,20000,1012.02935,1008.72485,3.3045,0.0032759181059136195,0.00826125,3.1970372137863543,3.2795060748047757,-0.017950507409973213,0.03447300740997321,0.02621175740997321,632.0,976.0,1437.0,627.0,971.0,1430.0,3065,500,40,0.00826125,0.008461632699467942,3.5438667634871557,-0.02172564888848054,0.03824814888848054,0.02998689888848054,0,11.297051300000021,raw/10-2020-10-14-hub-uniform-N20.npz,bd8be12215a95a488dba59eb3579e00a7168a4708e2867ed0ba60dda8ae6e1a7
