alpha,scale,repetitions,seed,mean,sd,q10,q50,q90,normalizer,normalized_mean,normalized_q10,normalized_q50,normalized_q90
0.5,10,20000,2026072510,97.05975,59.13180961616957,38.0,83.0,174.0,31.622776601683793,3.0692987912652785,1.2016655108639842,2.6246904579397548,5.502363128692981
0.5,20,20000,2026072520,383.06965,232.12000254966543,150.0,331.0,690.0,89.44271909999159,4.282848887585262,1.6770509831248421,3.7006925027621516,7.714434522374274
0.5,40,20000,2026072540,1537.67545,942.3178356915837,592.0,1314.0,2750.0,252.98221281347034,6.078195905155449,2.3400854685246006,5.194041056826563,10.870329456828804
0.5,80,20000,2026072580,6068.41505,3692.0529328581474,2367.9,5210.5,10798.200000000004,715.5417527999327,8.48086785467674,3.309240852451095,7.281895122976659,15.090943271648898
1.0,10,20000,2026073010,96.60225,58.740877329769035,38.0,83.0,172.0,100.0,0.9660225,0.38,0.83,1.72
1.0,20,20000,2026073020,385.56915,233.16051511687817,151.0,332.0,688.0,400.0,0.963922875,0.3775,0.83,1.72
1.0,40,20000,2026073040,1553.11225,950.3569003073717,602.0,1328.0,2789.100000000002,1600.0,0.9706951562499999,0.37625,0.83,1.7431875000000014
1.0,80,20000,2026073080,6222.42725,3799.6676519165053,2397.9,5294.0,11206.100000000002,6400.0,0.9722542578125,0.374671875,0.8271875,1.7509531250000003
1.5,10,20000,2026073510,97.15725,58.88510503698929,38.0,83.0,174.0,100.0,0.9715725000000001,0.38,0.83,1.74
1.5,20,20000,2026073520,390.37335,235.7354975836659,150.0,335.0,705.0,400.0,0.975933375,0.375,0.8375,1.7625
1.5,40,20000,2026073540,1550.47045,948.278074191372,598.0,1320.0,2791.100000000002,1600.0,0.96904403125,0.37375,0.825,1.7444375000000014
1.5,80,20000,2026073580,6142.05215,3758.3624140617612,2374.0,5235.0,11135.100000000002,6400.0,0.9596956484375001,0.3709375,0.81796875,1.7398593750000004
