k,N,normalized_time,survival_probability
2,20,0.0,1.0
2,20,0.025,1.0
2,20,0.05,1.0
2,20,0.07500000000000001,0.99955
2,20,0.1,0.9972
2,20,0.125,0.9901
2,20,0.15000000000000002,0.9808
2,20,0.17500000000000002,0.9667
2,20,0.2,0.95075
2,20,0.225,0.93195
2,20,0.25,0.91135
2,20,0.275,0.89015
2,20,0.30000000000000004,0.86455
2,20,0.325,0.84045
2,20,0.35000000000000003,0.81835
2,20,0.375,0.79415
2,20,0.4,0.77225
2,20,0.42500000000000004,0.7497
2,20,0.45,0.7275
2,20,0.47500000000000003,0.70765
2,20,0.5,0.68575
2,20,0.525,0.6648
2,20,0.55,0.6436
2,20,0.5750000000000001,0.6236
2,20,0.6000000000000001,0.6049
2,20,0.625,0.58525
2,20,0.65,0.56785
2,20,0.675,0.5487
2,20,0.7000000000000001,0.5321
2,20,0.7250000000000001,0.51565
2,20,0.75,0.4997
2,20,0.775,0.4847
2,20,0.8,0.46895
2,20,0.8250000000000001,0.4547
2,20,0.8500000000000001,0.43995
2,20,0.875,0.42595
2,20,0.9,0.4124
2,20,0.925,0.3998
2,20,0.9500000000000001,0.38615
2,20,0.9750000000000001,0.37275
2,20,1.0,0.3607
2,20,1.0250000000000001,0.34995
2,20,1.05,0.3399
2,20,1.075,0.33015
2,20,1.1,0.31965
2,20,1.125,0.3106
2,20,1.1500000000000001,0.3004
2,20,1.175,0.2915
2,20,1.2000000000000002,0.2824
2,20,1.225,0.27365
2,20,1.25,0.2649
2,20,1.2750000000000001,0.25705
2,20,1.3,0.24855
2,20,1.3250000000000002,0.24185
2,20,1.35,0.2349
2,20,1.375,0.22755
2,20,1.4000000000000001,0.22075
2,20,1.425,0.2142
2,20,1.4500000000000002,0.2071
2,20,1.475,0.20165
2,20,1.5,0.19515
2,20,1.5250000000000001,0.1892
2,20,1.55,0.18315
2,20,1.5750000000000002,0.17775
2,20,1.6,0.1717
2,20,1.625,0.1654
2,20,1.6500000000000001,0.161
2,20,1.675,0.1566
2,20,1.7000000000000002,0.15165
2,20,1.725,0.1472
2,20,1.75,0.1428
2,20,1.7750000000000001,0.1395
2,20,1.8,0.1358
2,20,1.8250000000000002,0.13265
2,20,1.85,0.12885
2,20,1.875,0.1249
2,20,1.9000000000000001,0.12095
2,20,1.925,0.1173
2,20,1.9500000000000002,0.1141
2,20,1.975,0.1106
2,20,2.0,0.10685
2,20,2.025,0.103
2,20,2.0500000000000003,0.09975
2,20,2.075,0.0968
2,20,2.1,0.0934
2,20,2.125,0.09025
2,20,2.15,0.08725
2,20,2.1750000000000003,0.0848
2,20,2.2,0.08215
2,20,2.225,0.0792
2,20,2.25,0.0764
2,20,2.275,0.0736
2,20,2.3000000000000003,0.0717
2,20,2.325,0.0702
2,20,2.35,0.0682
2,20,2.375,0.0657
2,20,2.4000000000000004,0.0641
2,20,2.4250000000000003,0.06195
2,20,2.45,0.06005
2,20,2.475,0.05795
2,20,2.5,0.05625
2,20,2.5250000000000004,0.05445
2,20,2.5500000000000003,0.05265
2,20,2.575,0.0511
2,20,2.6,0.0493
2,20,2.625,0.0481
2,20,2.6500000000000004,0.0468
2,20,2.6750000000000003,0.04565
2,20,2.7,0.044
2,20,2.725,0.04275
2,20,2.75,0.0413
2,20,2.7750000000000004,0.0402
2,20,2.8000000000000003,0.0387
2,20,2.825,0.0379
2,20,2.85,0.0364
2,20,2.875,0.035
2,20,2.9000000000000004,0.0339
2,20,2.9250000000000003,0.03295
2,20,2.95,0.0319
2,20,2.975,0.03105
2,20,3.0,0.03
2,20,3.0250000000000004,0.0289
2,20,3.0500000000000003,0.02815
2,20,3.075,0.02725
2,20,3.1,0.02655
2,20,3.125,0.02585
2,20,3.1500000000000004,0.0248
2,20,3.1750000000000003,0.0242
2,20,3.2,0.02345
2,20,3.225,0.02275
2,20,3.25,0.022
2,20,3.2750000000000004,0.0211
