cell_id,k,N,p_bias,primary_seed,replication_seed,primary_repetitions,replication_repetitions,primary_blocks,replication_blocks,comparisons,primary_correction_ratio,replication_correction_ratio,difference,welch_standard_error,degrees_of_freedom,simultaneous_critical,ci_low,ci_high,contains_zero,primary_half_width,replication_half_width,precision_gate_pass,replication_gate_pass,gate_pass
k3-p1.25-N160,3,160,1.25,72938585234,72938585270,20000,20000,40,40,36,0.9781778197761953,0.9860614614480523,-0.007883641671856956,0.008919562927841372,76.71608080140444,3.317844718348274,-0.037477366421970526,0.02171008307825661,True,0.02307556348727301,0.020260588195061567,True,True,True
k3-p1.25-N320,3,320,1.25,72938585235,72938585271,20000,20000,40,40,36,1.0045615651688347,1.0016302496527518,0.002931315516082833,0.009259267869892996,71.62965539902983,3.3267418473650565,-0.027871878382652905,0.03373450941481857,True,0.02568275855999812,0.018882895182400192,True,True,True
k3-p1.25-N40,3,40,1.25,72938585232,72938585268,20000,20000,40,40,36,0.9311535615747388,0.9320161693369317,-0.0008626077621928241,0.006427288318219371,77.67124986806542,3.3163082189200432,-0.022177476837272506,0.020452261312886858,True,0.01614750947896047,0.015129031099100817,True,True,True
k3-p1.25-N80,3,80,1.25,72938585233,72938585269,20000,20000,40,40,36,0.9650663909351254,0.9681769509843109,-0.003110560049185529,0.008628537372005828,72.78275440400202,3.3246119871465183,-0.03179709882769782,0.02557597872932676,True,0.017974721355282868,0.023650625361005862,True,True,True
k3-p1.5-N160,3,160,1.5,72938585238,72938585274,20000,20000,40,40,36,0.9817413763696784,0.9885712604807406,-0.006829884111062223,0.00937081391075424,72.07142382509171,3.325917525914855,-0.03799643832892647,0.024336670106802023,True,0.025877691320792203,0.019265094183270885,True,True,True
k3-p1.5-N320,3,320,1.5,72938585239,72938585275,20000,20000,40,40,36,0.9976613279242447,1.0023148254455694,-0.004653497521324712,0.009015926514907523,76.72226133014011,3.3178346491442756,-0.03456685090662349,0.025259855863974064,True,0.023321589948432708,0.020483203312958713,True,True,True
k3-p1.5-N40,3,40,1.5,72938585236,72938585272,20000,20000,40,40,36,0.9621322151339398,0.9652346710420009,-0.0031024559080611303,0.00791694585767582,76.08752310361892,3.318877585522531,-0.029377830060896858,0.023172918244774597,True,0.017679307409415587,0.020744569947626072,True,True,True
k3-p1.5-N80,3,80,1.5,72938585237,72938585273,20000,20000,40,40,36,0.9855133566331539,0.9650379675393245,0.0204753890938294,0.00882003711925251,77.66441910790981,3.3163190683548947,-0.008774668188345675,0.04972544637600447,True,0.020753762615583416,0.022165922913142646,True,True,True
k3-p2-N160,3,160,2.0,72938585242,72938585278,20000,20000,40,40,36,0.9915074524625055,0.9943524737649309,-0.0028450213024253657,0.008702786484357175,77.9142365142471,3.3159235567270904,-0.03170279601507146,0.02601275341022073,True,0.021534602358359838,0.020831607767315033,True,True,True
k3-p2-N320,3,320,2.0,72938585243,72938585279,20000,20000,40,40,36,1.0018472737849191,0.9992253457741114,0.002621928010807739,0.008020371850388371,77.90211010936733,3.3159426947679527,-0.023973165435810108,0.029217021457425586,True,0.01986779942697727,0.019175573064611928,True,True,True
