k,N,p_bias,absolute_relative_error_percent
3,10,0.3,0.14514160163789547
4,10,0.3,0.16660422288959786
5,10,0.3,0.4761574868985271
6,10,0.3,0.2953313540174639
7,10,0.3,0.5347744855397437
8,10,0.3,0.5446196072436932
9,10,0.3,0.7300406431781223
10,10,0.3,0.3087122580404852
11,10,0.3,0.13159193891117069
12,10,0.3,1.4078194716269588
13,10,0.3,1.2755033744497843
14,10,0.3,0.6293191351763312
15,10,0.3,1.381221298909573
16,10,0.3,0.37423231524339345
17,10,0.3,0.5540296074083242
18,10,0.3,0.9845832105808752
19,10,0.3,0.29009468044079495
20,10,0.3,0.8174822349592251
21,10,0.3,1.6027684189212819
22,10,0.3,0.352533340938688
23,10,0.3,0.6311647619087785
24,10,0.3,0.8639856917318325
25,10,0.3,0.45118076458460155
26,10,0.3,0.3291877143605276
27,10,0.3,0.2628029921546868
28,10,0.3,0.6523698345512056
29,10,0.3,0.3840516705857535
30,10,0.3,0.1818569044018381
31,10,0.3,0.7112818987270433
32,10,0.3,0.7022968977129175
33,10,0.3,0.3964932772260178
34,10,0.3,0.028018956573727296
35,10,0.3,0.6560789987985564
36,10,0.3,0.031643000538381
37,10,0.3,0.3033080437791149
38,10,0.3,0.29501256395266234
39,10,0.3,0.5237771069031083
40,10,0.3,0.06742773123071216
41,10,0.3,0.8221353365412034
42,10,0.3,0.5324023324341557
43,10,0.3,0.6849815423171984
44,10,0.3,0.1322862436960402
45,10,0.3,0.2130248880717623
46,10,0.3,0.4142748553023933
47,10,0.3,0.6123399917217248
48,10,0.3,0.12958169324261246
49,10,0.3,0.6478073610133561
50,10,0.3,0.1606885654080391
3,10,0.975,0.02736859773904367
4,10,0.975,0.5086808763409661
5,10,0.975,0.5178573084852331
6,10,0.975,0.132018023455251
7,10,0.975,0.666549212333189
8,10,0.975,1.6233405797568219
9,10,0.975,0.3669880759039385
10,10,0.975,0.34066200843972405
11,10,0.975,1.0805367406579134
12,10,0.975,0.8575243669325298
13,10,0.975,1.0211391560605274
14,10,0.975,0.8153936295618253
15,10,0.975,0.9456476493838064
16,10,0.975,0.3291338697632228
17,10,0.975,0.7652430618329967
18,10,0.975,0.5660128731856036
19,10,0.975,0.9401291198259786
20,10,0.975,1.090580949164993
21,10,0.975,0.7562058913131225
22,10,0.975,0.11948543414775933
23,10,0.975,0.23427718385117097
24,10,0.975,0.9565795744164141
25,10,0.975,0.5060763333912967
26,10,0.975,1.1125197705606722
27,10,0.975,0.221376767200754
28,10,0.975,0.05049065080426914
29,10,0.975,0.3624397746767988
30,10,0.975,0.11664103720692336
31,10,0.975,0.31806960833026837
32,10,0.975,0.4621792273918084
33,10,0.975,0.28442914068392283
34,10,0.975,0.8038074420102249
35,10,0.975,0.12097259129872494
36,10,0.975,0.07436068273749563
37,10,0.975,0.3503151104802188
