panel,k,N,p_bias,mc_mean,formula_mean
N=14,3,14,0.325,31.065666666666665,31.11034674473987
N=14,4,14,0.325,41.34316666666667,40.87816557396919
N=14,5,14,0.325,51.94433333333333,51.354428685670236
N=14,6,14,0.325,62.0265,61.854946659286234
N=14,7,14,0.325,71.92,72.35290562186688
N=14,8,14,0.325,82.84016666666666,82.83240349251699
N=14,9,14,0.325,93.19216666666667,93.28441420639714
N=14,10,14,0.325,103.64716666666666,103.7037037037037
N=14,11,14,0.325,112.83616666666667,114.07407407407406
N=14,12,14,0.325,123.57566666666666,124.43942611177812
N=14,13,14,0.325,134.39066666666668,134.75450478726594
N=14,14,14,0.325,144.63666666666666,145.03532661310248
N=14,15,14,0.325,154.30433333333335,155.28285942665732
N=14,16,14,0.325,165.02566666666667,165.49817554679157
N=14,17,14,0.325,174.21916666666667,175.68236086538283
N=14,18,14,0.325,186.671,185.8364612815073
N=14,19,14,0.325,194.54583333333332,195.9614526255519
N=14,20,14,0.325,203.4445,206.05822531094742
N=14,21,14,0.325,215.23366666666666,216.12757814037124
N=14,22,14,0.325,223.26633333333334,226.17021770814347
N=14,23,14,0.325,234.9025,236.18676112346665
N=14,24,14,0.325,244.72366666666667,246.17774060161037
N=14,25,14,0.325,252.77866666666668,256.1436090003091
N=14,26,14,0.325,265.0755,266.0847457217483
N=14,27,14,0.325,273.33566666666667,276.0014626230197
N=14,28,14,0.325,282.1263333333333,285.8940097221691
N=14,29,14,0.325,293.35783333333336,295.7625805801624
N=14,30,14,0.325,303.6166666666667,305.6073172988704
N=14,31,14,0.325,315.39433333333335,315.42831511301364
N=14,32,14,0.325,323.4255,325.2256265774558
N=14,33,14,0.325,331.0908333333333,334.99926536522497
N=14,34,14,0.325,343.0043333333333,344.7492096995082
N=14,35,14,0.325,353.13033333333334,354.47540544672466
N=14,36,14,0.325,362.7928333333333,364.1777688991446
N=14,37,14,0.325,371.21633333333335,373.85618927527486
N=14,38,14,0.325,380.3566666666667,383.51053096507826
N=14,39,14,0.325,389.03516666666667,393.14063554539246
N=14,40,14,0.325,399.6645,402.74632358897054
N=14,41,14,0.325,411.5341666666667,412.3273962885331
N=14,42,14,0.325,420.34633333333335,421.88363691522244
N=14,43,14,0.325,427.3615,431.41481212892575
N=14,44,14,0.325,442.14216666666664,440.9206731561585
N=14,45,14,0.325,448.19666666666666,450.4009568495366
N=14,46,14,0.325,458.5953333333333,459.8553866413766
N=14,47,14,0.325,468.73333333333335,469.2836734026018
N=14,48,14,0.325,475.65483333333333,478.6855162169184
N=14,49,14,0.325,483.92083333333335,488.06060307912804
N=14,50,14,0.325,493.6383333333333,497.4086115254782
N=14,3,14,0.94,175.299,176.69865229366297
N=14,4,14,0.94,194.69933333333333,196.50962129169505
N=14,5,14,0.94,213.0445,216.032356692305
N=14,6,14,0.94,229.9415,233.93972830642855
N=14,7,14,0.94,250.6085,250.8842097921896
N=14,8,14,0.94,264.14416666666665,267.19447602302006
N=14,9,14,0.94,281.6188333333333,283.0520964184485
N=14,10,14,0.94,297.60266666666666,298.5649425047859
N=14,11,14,0.94,316.937,313.8009651332246
N=14,12,14,0.94,330.69266666666664,328.8050721888689
N=14,13,14,0.94,343.1431666666667,343.6081523481283
N=14,14,14,0.94,360.32966666666664,358.23217968146105
N=14,15,14,0.94,374.236,372.6932423472493
N=14,16,14,0.94,387.74316666666664,387.00341450553526
N=14,17,14,0.94,402.4338333333333,401.17195488618967
N=14,18,14,0.94,419.2485,415.2060982706562
N=14,19,14,0.94,433.32166666666666,429.11159254415503
N=14,20,14,0.94,445.4393333333333,442.8930719902625
N=14,21,14,0.94,457.44866666666667,456.55432239644654
