k,N,p_bias,source,signed_relative_error_percent,absolute_relative_error_percent,uncertainty_aware_error_upper_percent,top20_conservative_bound
3,10,0.3,boundary_confirmation,-0.14514160163789547,0.14514160163789547,1.585562972431953,False
3,10,0.975,boundary_confirmation,0.02736859773904367,0.02736859773904367,3.466058709211506,False
3,10,1.025,boundary_confirmation,0.9121380818140943,0.9121380818140943,4.342755216095151,False
3,10,1.9,boundary_confirmation,0.11587410132438375,0.11587410132438375,1.3405694608179086,False
3,14,0.325,blind2,0.14382462334583573,0.14382462334583573,1.6625832678471175,False
3,14,0.525,blind2,-0.5494871448297346,0.5494871448297346,2.4949244330899067,False
3,14,0.725,blind2,-0.7604963582820106,0.7604963582820106,3.3122010854361394,False
3,14,0.94,blind2,0.7984371238073048,0.7984371238073048,4.656546849424381,True
3,14,1.0,fresh_precision_confirmation,-0.1487664509364855,0.1487664509364855,1.349417739275216,False
3,14,1.06,blind2,-0.7060485488337092,0.7060485488337092,4.267715005160233,False
3,14,1.275,blind2,-0.8405618713447822,0.8405618713447822,3.2197236607096613,False
3,14,1.675,blind2,0.2706476152076574,0.2706476152076574,1.807105101716222,False
3,14,1.875,blind2,0.12426355924626238,0.12426355924626238,1.362989711220819,False
3,28,0.325,blind2,0.16401849308602617,0.16401849308602617,1.2233895689856888,False
3,28,0.525,blind2,-0.05312468639587457,0.05312468639587457,1.4204291030975646,False
3,28,0.725,blind2,0.4579945779355981,0.4579945779355981,2.432379537876539,False
3,28,0.94,blind2,0.010742468939626387,0.010742468939626387,3.5232767788376584,False
3,28,1.0,fresh_precision_confirmation,0.3015635593673053,0.3015635593673053,1.5312501099155718,False
3,28,1.06,blind2,-0.2110717379848268,0.2110717379848268,3.405682041335112,False
3,28,1.275,blind2,-0.4601518489438985,0.4601518489438985,2.2747687188690136,False
3,28,1.675,blind2,-0.3603531491435176,0.3603531491435176,1.4364346172356823,False
3,28,1.875,blind2,0.009569342930161933,0.009569342930161933,0.9366153633077801,False
3,56,0.325,blind2,0.06736678085063838,0.06736678085063838,0.816330601771198,False
3,56,0.525,blind2,0.08806856385016178,0.08806856385016178,1.063003690144959,False
3,56,0.725,blind2,0.6052097126941067,0.6052097126941067,1.9890234647228944,False
3,56,0.94,blind2,0.20466460756732777,0.20466460756732777,3.053487800848087,False
3,56,1.0,fresh_precision_confirmation,-0.4719436777838406,0.4719436777838406,1.6861147194763504,False
3,56,1.06,blind2,0.7649958786480423,0.7649958786480423,3.4867173835471332,False
3,56,1.275,blind2,-0.2743566252817873,0.2743566252817873,1.5632560651522742,False
3,56,1.675,blind2,0.06419766108964761,0.06419766108964761,0.8701799339442484,False
3,56,1.875,blind2,0.180167758364915,0.180167758364915,0.8446503335613142,False
3,112,0.325,blind2,0.10150918665949933,0.10150918665949933,0.6327641038273768,False
3,112,0.525,blind2,0.15282993967526773,0.15282993967526773,0.8493505609284746,False
3,112,0.725,blind2,-0.15130593647794383,0.15130593647794383,1.0957216006723947,False
3,112,0.94,blind2,0.0671089403334333,0.0671089403334333,2.2458610880543795,False
3,112,1.0,blind2,-1.2159569672012482,1.2159569672012482,4.871987237953979,True
3,112,1.06,blind2,0.3961667546734649,0.3961667546734649,2.4204128788282375,False
3,112,1.275,blind2,-0.17336822718619707,0.17336822718619707,1.1170592865406226,False
3,112,1.675,blind2,-0.12485710616372847,0.12485710616372847,0.6947687922581047,False
3,112,1.875,blind2,-0.06582209599463057,0.06582209599463057,0.5315055627350129,False
3,128,0.3,boundary_confirmation,-0.0013346176052218444,0.0013346176052218444,0.4076058838395902,False
3,128,0.975,boundary_confirmation,-0.18211840334447954,0.18211840334447954,2.5786682720268295,False
3,128,1.025,boundary_confirmation,0.1685455210060828,0.1685455210060828,2.5437717557778683,False
3,128,1.9,boundary_confirmation,0.06966311905766613,0.06966311905766613,0.44430585594401606,False
4,10,0.3,boundary_confirmation,-0.16660422288959786,0.16660422288959786,1.6731676509941562,False
4,10,0.975,boundary_confirmation,0.5086808763409661,0.5086808763409661,3.595296483583166,False
4,10,1.025,boundary_confirmation,-0.40400464146052817,0.40400464146052817,3.2664068064870766,False
4,10,1.9,boundary_confirmation,-1.1274486247682303,1.1274486247682303,2.4640233962584523,False
4,14,0.325,blind2,-1.1247350655226633,1.1247350655226633,2.635620045908371,False
4,14,0.525,blind2,-0.11996299754896979,0.11996299754896979,2.042241227126762,False
4,14,0.725,blind2,-0.007155723805140649,0.007155723805140649,2.657313525466831,False
4,14,0.94,blind2,0.929786418560786,0.929786418560786,4.411608165948855,False
4,14,1.0,blind2,0.46663616725135204,0.46663616725135204,4.06028366334672,False
4,14,1.06,fresh_precision_confirmation,-3.5515676141882313,3.5515676141882313,4.571370057484925,False
4,14,1.275,blind2,-1.1103186337923825,1.1103186337923825,3.411106876777581,False
4,14,1.675,blind2,-0.8119994988470624,0.8119994988470624,2.3919230685556236,False
4,14,1.875,blind2,-0.5981839982335515,0.5981839982335515,1.9740526047666629,False
4,28,0.325,blind2,-2.0483880890988737,2.0483880890988737,3.1096929974741117,False
4,28,0.525,blind2,-0.7029259880180713,0.7029259880180713,2.090379071819437,False
4,28,0.725,blind2,0.3813895293845611,0.3813895293845611,2.3270487366216397,False
4,28,0.94,blind2,-0.48008498080198475,0.48008498080198475,3.578429939204164,False
4,28,1.0,blind2,0.9166445202477221,0.9166445202477221,4.4995131013986445,False
4,28,1.06,fresh_precision_confirmation,-3.8395381136912854,3.8395381136912854,4.783032840277956,True
4,28,1.275,blind2,-0.7640287770509031,0.7640287770509031,2.5587055865519015,False
4,28,1.675,blind2,1.2029273167646926,1.2029273167646926,2.4512085446720677,False
4,28,1.875,blind2,1.9141064454869894,1.9141064454869894,3.0137191264925978,False
4,56,0.325,blind2,-0.3475619106247695,0.3475619106247695,1.1223889551983723,False
4,56,0.525,blind2,-0.03676401693329123,0.03676401693329123,1.011917332457113,False
4,56,0.725,blind2,0.2212398784191002,0.2212398784191002,1.6001076317600393,False
4,56,0.94,blind2,-0.8678570767382771,0.8678570767382771,3.4906729438337836,False
4,56,1.0,fresh_precision_confirmation,0.17217238817170613,0.17217238817170613,1.2839227489812144,False
4,56,1.06,blind2,-1.2167215501192274,1.2167215501192274,3.7023685528474126,False
4,56,1.275,blind2,-0.6591561028769234,0.6591561028769234,1.9954638454659057,False
4,56,1.675,blind2,0.6197063862006824,0.6197063862006824,1.528448693889617,False
4,56,1.875,blind2,1.0666285495469023,1.0666285495469023,1.85395534473336,False
4,112,0.325,blind2,0.03070138714449062,0.03070138714449062,0.5874134699782152,False
4,112,0.525,blind2,0.07780230039701085,0.07780230039701085,0.8001718379031963,False
4,112,0.725,blind2,-0.048965966951791694,0.048965966951791694,1.0033598460840953,False
4,112,0.94,blind2,-0.12050639259981091,0.12050639259981091,2.175602565536683,False
4,112,1.0,blind2,0.01664502116354062,0.01664502116354062,3.6088837214410585,False
4,112,1.06,blind2,0.01325311137059007,0.01325311137059007,1.9992271210437673,False
4,112,1.275,blind2,-1.7381536132793225,1.7381536132793225,2.7288834139507667,False
4,112,1.675,blind2,-1.2261814106695226,1.2261814106695226,1.8611766275749342,False
4,112,1.875,blind2,-1.222948621473421,1.222948621473421,1.7645602516685899,False
4,128,0.3,boundary_confirmation,0.040836982283786655,0.040836982283786655,0.4795131700778388,False
4,128,0.975,boundary_confirmation,-0.051188062962437386,0.051188062962437386,2.357692846632964,False
4,128,1.025,boundary_confirmation,-1.4008484822169565,1.4008484822169565,3.628119304508104,False
4,128,1.9,boundary_confirmation,-1.2560501715573718,1.2560501715573718,1.6925274320028327,False
5,10,0.3,boundary_confirmation,0.4761574868985271,0.4761574868985271,2.0852136608021654,False
5,10,0.975,boundary_confirmation,-0.5178573084852331,0.5178573084852331,3.257544164031201,False
5,10,1.025,boundary_confirmation,-1.1050612512469618,1.1050612512469618,3.83215243578805,False
5,10,1.9,boundary_confirmation,-0.8591733252542764,0.8591733252542764,2.3121421461935965,False
5,14,0.325,blind2,-1.1356477402021983,1.1356477402021983,2.6953712398002705,False
5,14,0.525,blind2,0.18688917844932235,0.18688917844932235,2.208853925614074,False
5,14,0.725,blind2,-1.660643508664398,1.660643508664398,4.056291950768287,False
5,14,0.94,blind2,1.402456619300194,1.402456619300194,4.702537825175912,True
5,14,1.0,fresh_precision_confirmation,0.5604753262258027,0.5604753262258027,1.5994194712104726,False
5,14,1.06,fresh_precision_confirmation,-2.0100072365894843,2.0100072365894843,2.9779371496955753,False
5,14,1.275,blind2,1.1396984820069311,1.1396984820069311,3.6586553132021526,False
5,14,1.675,blind2,-0.16301289292459165,0.16301289292459165,1.87796687512779,False
5,14,1.875,blind2,-0.1062347162966108,0.1062347162966108,1.5917375795213906,False
5,28,0.325,blind2,-1.9953840193258716,1.9953840193258716,3.093560221862901,False
5,28,0.525,blind2,-0.7814144660160991,0.7814144660160991,2.183808960323741,False
5,28,0.725,blind2,0.662279668803272,0.662279668803272,2.5818562508344245,False
5,28,0.94,blind2,0.09227598032452212,0.09227598032452212,3.1910777909777366,False
5,28,1.0,blind2,0.21822348699287977,0.21822348699287977,3.6346300827712286,False
5,28,1.06,fresh_precision_confirmation,-1.9760742783283163,1.9760742783283163,2.8851177998061472,False
5,28,1.275,blind2,0.8451105026331656,0.8451105026331656,2.7619545576738957,False
5,28,1.675,blind2,0.4968259524380967,0.4968259524380967,1.822231443133382,False
5,28,1.875,blind2,1.2774065484736634,1.2774065484736634,2.4652732626675666,False
5,56,0.325,blind2,-0.9488082584685793,0.9488082584685793,1.7276841371532181,False
5,56,0.525,blind2,-0.5156562457438949,0.5156562457438949,1.5059624952758144,False
5,56,0.725,blind2,0.1014092818614572,0.1014092818614572,1.5056027599585908,False
5,56,0.94,blind2,-2.505293208855287,2.505293208855287,4.999455560645771,True
5,56,1.0,blind2,0.5524351717735014,0.5524351717735014,3.8534173032336527,False
5,56,1.06,blind2,0.8055658283267455,0.8055658283267455,3.385991601898497,False
5,56,1.275,blind2,0.8200928403754865,0.8200928403754865,2.3072187791450594,False
5,56,1.675,blind2,1.0152463881782028,1.0152463881782028,2.0056751655463945,False
5,56,1.875,blind2,1.3029870757228454,1.3029870757228454,2.1718614074167863,False
5,112,0.325,blind2,0.07136339101821043,0.07136339101821043,0.6399898513386848,False
5,112,0.525,blind2,0.13717750222206596,0.13717750222206596,0.8511759680017716,False
5,112,0.725,blind2,-0.3959010956791844,0.3959010956791844,1.3498807405712854,False
5,112,0.94,blind2,1.8145905398972297,1.8145905398972297,3.922464916008761,False
5,112,1.0,blind2,0.1614156997374979,0.1614156997374979,3.535943650679507,False
5,112,1.06,blind2,1.3507725243943223,1.3507725243943223,3.396111253903422,False
5,112,1.275,blind2,-0.8392504780709764,0.8392504780709764,1.9043549625574974,False
5,112,1.675,blind2,-0.789020936076299,0.789020936076299,1.4828337718281737,False
5,112,1.875,blind2,-0.9055812388433816,0.9055812388433816,1.5126699655602427,False
5,128,0.3,boundary_confirmation,-0.20084968840639014,0.20084968840639014,0.6460246598364416,False
5,128,0.975,boundary_confirmation,-0.8539438451297096,0.8539438451297096,3.0972819910300764,False
5,128,1.025,boundary_confirmation,-0.340616352172516,0.340616352172516,2.527257725635079,False
5,128,1.9,boundary_confirmation,-1.0731860403736395,1.0731860403736395,1.5601436587117878,False
6,10,0.3,boundary_confirmation,0.2953313540174639,0.2953313540174639,1.9482344721513778,False
6,10,0.975,boundary_confirmation,0.132018023455251,0.132018023455251,2.804641049488832,False
6,10,1.025,boundary_confirmation,-0.6261910041492117,0.6261910041492117,3.1641245923707095,False
6,10,1.9,boundary_confirmation,0.418994182377278,0.418994182377278,2.0037118638505547,False
6,14,0.325,blind2,-0.27658072068190875,0.27658072068190875,1.8665641616941842,False
6,14,0.525,blind2,0.2175818499516544,0.2175818499516544,2.222337547058184,False
6,14,0.725,blind2,0.5804485068039413,0.5804485068039413,3.16241702204636,False
6,14,0.94,blind2,1.7388023938386756,1.7388023938386756,4.850524706781889,True
6,14,1.0,blind2,0.6207414022777962,0.6207414022777962,3.790835953219962,False
6,14,1.06,blind2,-1.8577866001205263,1.8577866001205263,4.727921222743159,True
6,14,1.275,blind2,0.5904944040208402,0.5904944040208402,3.054114558561083,False
6,14,1.675,blind2,0.06372779199798502,0.06372779199798502,1.8649689283549264,False
6,14,1.875,blind2,-0.7565171088233305,0.7565171088233305,2.31933990718155,False
6,28,0.325,blind2,-1.949900522595509,1.949900522595509,3.075760247835746,False
6,28,0.525,blind2,-0.12139279029630087,0.12139279029630087,1.5693127907027926,False
6,28,0.725,blind2,-0.2589412274690077,0.2589412274690077,2.1232932871945276,False
