split,k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,ci_low,ci_high,seed
development,7,15,0.4,7000,87.11157142857142,27.31056762976178,0.3264237176825308,86.47179269821399,87.75135015892886,10067806
development,7,15,0.6,7000,129.26114285714286,49.28944262504241,0.5891215196359683,128.10648589613885,130.41579981814687,10068006
development,7,15,0.8,7000,211.1742857142857,97.9512107495475,1.1707408940680175,208.87967572668416,213.46889570188725,10068206
development,7,15,0.925,7000,279.2547142857143,144.2718947107618,1.724378960811819,275.8749936268245,282.63443494460404,10068331
development,7,15,1.075,7000,282.079,148.7943984573595,1.7784332194493744,278.5933349409696,285.5646650590304,10068481
development,7,15,1.2,7000,238.88185714285714,108.44050550488917,1.2961119459012733,236.34152440895852,241.42218987675577,10068606
development,7,15,1.4,7000,194.36042857142857,75.2741502171564,0.8996981788288009,192.59705254396783,196.1238045988893,10068806
development,7,15,1.6,7000,164.312,55.42375765076115,0.662440607810057,163.01364026679548,165.61035973320455,10069006
development,7,15,1.8,7000,142.20928571428573,43.873394592006925,0.5243873640498354,141.18150536680017,143.2370660617713,10069206
development,7,30,0.4,7000,174.685,39.0992129505247,0.46732497920924954,173.76905987167393,175.60094012832607,10068061
development,7,30,0.6,7000,260.20842857142856,72.34931268876892,0.8647396839129647,258.5135699349566,261.9032872079005,10068261
development,7,30,0.8,7000,511.68857142857144,199.32209840378832,2.3823547448477305,507.0192419302718,516.3579009268711,10068461
development,7,30,0.925,7000,967.6945714285714,469.98963989422487,5.6174506369234685,956.6845704952698,978.704572361873,10068586
development,7,30,1.075,7000,1029.5605714285714,501.47507751362616,5.993773595124686,1017.8129910506399,1041.308151806503,10068736
development,7,30,1.2,7000,776.3938571428571,304.786690762742,3.64289772543984,769.2539088016321,783.5338054840821,10068861
development,7,30,1.4,7000,567.429,177.32759022589292,2.119470090623132,563.2749149560688,571.5830850439312,10069061
development,7,30,1.6,7000,454.41814285714287,120.60598237877322,1.4415172059598949,451.5928210503667,457.24346466391904,10069261
development,7,30,1.8,7000,380.5482857142857,91.3083933727022,1.0913440403141261,378.4092907005276,382.68728072804385,10069461
development,7,60,0.4,7000,349.5062857142857,54.13980162709554,0.6470943980839333,348.23800399944355,350.77456742912784,10068571
development,7,60,0.6,7000,526.89,105.94668605367092,1.2663051023551668,524.4080876059445,529.3719123940555,10068771
development,7,60,0.8,7000,1047.2675714285715,298.66125062670204,3.5696847124862385,1040.2711179559353,1054.2640249012077,10068971
