k,N,p_bias,repetitions,mc_mean,mc_sd,mc_se,batch_means_json,formula_mean,signed_relative_error,absolute_relative_error,simultaneous_ci_low,simultaneous_ci_high,uncertainty_aware_error_upper,formula_sha256
3,14,0.325,6000,31.065666666666665,8.500552793114123,0.1097416646709598,"[30.58,31.415,30.44,31.19,32.02,31.1,31.07,31.89,31.04,31.0,29.84,30.58,30.155,31.72,30.55,30.89,30.325,30.945,31.345,30.785,31.46,32.545,30.6,30.255,31.81,31.56,31.095,31.835,31.985,29.945]",31.11034674473987,0.0014382462334583575,0.0014382462334583575,30.60676117806606,31.524572155267272,0.016453409223668558,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.525,6000,44.42316666666667,16.234480477211143,0.209586241741894,"[43.725,42.12,44.525,45.42,43.245,47.01,44.55,44.87,43.045,44.675,43.74,45.01,44.515,45.795,44.695,42.825,44.405,44.275,45.04,43.18,43.51,45.91,45.555,44.06,45.77,44.13,44.175,44.055,44.435,44.43]",44.179067076507046,-0.0054948714482973456,0.0054948714482973456,43.54674222970457,45.299591103628764,0.024735853013736264,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.725,6000,75.60966666666667,36.54895271020668,0.471844950559843,"[74.97,75.085,79.755,74.71,74.89,75.33,74.89,73.855,76.505,73.58,75.715,76.165,73.91,75.905,78.045,72.955,74.445,74.78,76.705,76.74,74.53,72.99,75.9,78.48,79.27,74.37,72.61,76.79,77.36,77.055]",75.0346579051575,-0.007604963582820106,0.007604963582820106,73.63655792779683,77.58277540553651,0.032843855959774904,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,0.94,6000,175.299,118.36586647083229,1.5280967653364812,"[171.435,167.065,183.665,177.93,176.47,178.76,174.55,180.155,179.145,169.59,173.98,175.45,176.955,163.325,164.155,165.075,170.935,169.92,188.17,178.3,159.88,178.42,165.51,178.6,171.8,194.225,182.49,178.51,179.925,184.58]",176.69865229366297,0.007984371238073048,0.007984371238073048,168.90897489122915,181.68902510877086,0.04611760510328167,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.0,6000,199.19116666666667,137.77777182008293,1.7787033857891559,"[200.02,206.995,213.32,196.035,191.85,196.03,204.62,203.47,184.145,207.3,199.125,207.57,208.585,200.04,202.645,186.71,199.815,186.74,173.995,206.035,201.375,201.765,194.67,200.355,215.4,197.625,206.75,206.7,190.1,185.95]",196.0,-0.016020623404485013,0.016020623404485013,191.75318266324808,206.62915067008527,0.051440712191941906,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.06,6000,178.753,121.81114611104417,1.5725751342350414,"[181.72,183.935,180.475,183.215,174.035,169.17,176.685,174.42,186.81,194.64,193.96,169.865,173.105,170.075,188.645,169.8,168.125,175.44,176.975,194.825,182.605,181.985,167.75,177.545,181.04,166.635,170.43,180.17,184.4,184.11]",177.49091703750327,-0.007060485488337091,0.007060485488337091,172.17698019475034,185.32901980524963,0.0422929057520669,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.275,6000,87.78183333333334,39.525796868314174,0.5102758433885269,"[88.205,87.675,84.54,90.33,88.665,82.885,87.125,86.39,94.27,85.475,87.475,86.64,95.55,87.38,86.88,88.1,91.185,90.24,83.1,88.165,87.215,88.9,85.325,90.34,86.6,83.51,89.255,85.365,90.36,86.31]",87.04397271236591,-0.008405618713447822,0.008405618713447822,85.64801856085462,89.91564810581205,0.03193743751996059,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.675,6000,43.61033333333334,12.055097709503913,0.15563064221937278,"[42.235,42.905,44.45,44.515,43.845,44.775,44.92,43.68,43.1,44.075,42.56,43.595,44.81,43.61,42.515,44.13,43.57,44.305,44.4,42.11,44.04,43.815,44.555,43.48,43.405,43.28,43.86,42.07,42.535,43.165]",43.72836366048411,0.002706476152076574,0.002706476152076574,42.95953442188028,44.261132244786396,0.017896591500587977,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,14,1.875,6000,35.237833333333334,7.887583341390661,0.1018282630767636,"[34.74,34.86,35.15,35.255,35.36,34.89,35.655,36.1,35.23,35.925,34.97,35.28,34.655,34.395,34.925,35.245,34.93,35.545,35.255,35.56,36.68,35.23,35.37,35.145,34.2,35.46,33.935,35.23,35.465,36.495]",35.2816211192346,0.0012426355924626238,0.0012426355924626238,34.812019227444715,35.663647439221954,0.013489648179318081,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
3,28,0.325,6000,62.120333333333335,11.90802894749832,0.15373199266605608,"[63.145,62.96,62.16,62.98,63.645,62.845,62.93,62.755,61.92,62.645,62.31,61.65,63.03,61.805,63.55,60.14,61.28,61.005,60.725,62.17,61.705,61.795,61.145,61.44,62.86,61.675,61.255,61.93,61.61,62.545]",62.222222167966684,0.0016401849308602617,0.0016401849308602617,61.477473983427465,62.763192683239204,0.012114163713687676,fc6ed5692c5e33a9fffe770a3a11e12d0b94dbf5a1eec4c0ae7c81aee87c07d7
