parameter,value
neutral_0,0.9823985353970215
neutral_1,0.08021223351064123
neutral_2,-0.0002627184936061827
neutral_3,0.017761537017271328
neutral_4,0.059368860081027645
neutral_5,-0.02528399591843001
negative_0,1.1342368114439394
negative_1,-0.042225372897955436
negative_2,0.4916314141801062
negative_3,-0.00520313242883735
negative_4,0.004700993232795356
negative_5,-0.004976790720709518
negative_6,2.9677626274029008
negative_7,0.7816904532538967
negative_8,-1.9223080439286722
negative_9,-1.3084812142650017
negative_10,-0.3504729569296538
negative_11,0.6679367273982302
positive_0,-0.21010532998576384
positive_1,-0.5794835480842041
positive_2,-0.1685960815164358
positive_3,0.15650437956534893
positive_4,-0.042531452703054945
positive_5,0.13820749936639962
positive_6,-1.3730634695661796
positive_7,0.2298874368060722
positive_8,1.169408172953975
positive_9,0.715091423380767
positive_10,0.081490482544259
positive_11,-0.3967493536861548
