k,N,eta,p_bias,exact_mean,normalized_mean,lumped_state_count,linear_residual
3,5,-2.0,0.6,16.231110188706896,0.6492444075482758,49,6.661338147750939e-15
3,10,-2.0,0.8,64.43458958747203,0.6443458958747204,210,2.4868995751603507e-14
3,20,-2.0,0.9,257.25640012823266,0.6431410003205816,870,1.3500311979441904e-13
3,5,-1.0,0.8,21.77843033936824,0.8711372135747295,49,4.440892098500626e-15
3,10,-1.0,0.9,86.77321572613013,0.8677321572613014,210,4.973799150320701e-14
3,20,-1.0,0.95,346.7546275187127,0.8668865687967817,870,1.4210854715202004e-13
3,5,0.0,1.0,24.99999999999999,0.9999999999999996,49,5.329070518200751e-15
3,10,0.0,1.0,99.99999999999949,0.9999999999999949,210,2.842170943040401e-14
3,20,0.0,1.0,399.9999999999909,0.9999999999999772,870,2.4158453015843406e-13
3,5,1.0,1.2,21.910672950118645,0.8764269180047458,49,5.329070518200751e-15
3,10,1.0,1.1,87.39379926429889,0.8739379926429889,210,3.907985046680551e-14
3,20,1.0,1.05,349.32870405538904,0.8733217601384726,870,1.5631940186722204e-13
3,5,2.0,1.4,16.858265890431323,0.6743306356172529,49,4.440892098500626e-15
3,10,2.0,1.2,67.2396327988215,0.672396327988215,210,2.4868995751603507e-14
3,20,2.0,1.1,268.7607898720248,0.6719019746800621,870,1.6342482922482304e-13
4,5,-2.0,0.6,19.575354391274367,0.7830141756509746,204,1.021405182655144e-14
4,10,-2.0,0.8,77.86517555146068,0.7786517555146069,1708,6.661338147750939e-14
4,20,-2.0,0.9,311.02984530878734,0.7775746132719683,13949,9.272582701669307e-13
4,5,-1.0,0.8,24.255963105564796,0.9702385242225918,204,1.354472090042691e-14
4,10,-1.0,0.9,96.90967533431623,0.9690967533431624,1708,7.460698725481052e-14
4,20,-1.0,0.95,387.52280447071325,0.9688070111767831,13949,5.542233338928781e-13
4,5,0.0,1.0,26.532365077645807,1.0612946031058323,204,8.43769498715119e-15
4,10,0.0,1.0,106.309882237373,1.06309882237373,1708,6.217248937900877e-14
4,20,0.0,1.0,425.41873379228224,1.0635468344807055,13949,9.734435479913373e-13
4,5,1.0,1.2,24.43730716482216,0.9774922865928863,204,1.2434497875801753e-14
4,10,1.0,1.1,97.76214676367272,0.9776214676367272,1708,8.08242361927114e-14
4,20,1.0,1.05,391.061525054236,0.9776538126355899,13949,4.689582056016661e-13
4,5,2.0,1.4,20.52863994008932,0.8211455976035729,204,7.993605777301127e-15
4,10,2.0,1.2,82.16916371067504,0.8216916371067504,1708,5.684341886080802e-14
4,20,2.0,1.1,328.72565019858484,0.8218141254964622,13949,5.933031843596837e-13
