cell_id,block_index,normalized_mean_difference
2026-07-22-primary-uniform-N10,0,0.9799999999999999
2026-07-22-primary-uniform-N10,1,0.296
2026-07-22-primary-uniform-N10,2,-0.624
2026-07-22-primary-uniform-N10,3,-0.643
2026-07-22-primary-uniform-N20,0,0.59525
2026-07-22-primary-uniform-N20,1,1.45675
2026-07-22-primary-uniform-N20,2,-0.30250000000000005
2026-07-22-primary-uniform-N20,3,-0.937
2026-07-22-primary-uniform-N40,0,-1.1844375
2026-07-22-primary-uniform-N40,1,0.697125
2026-07-22-primary-uniform-N40,2,-0.75175
2026-07-22-primary-uniform-N40,3,-0.776375
2026-07-22-primary-uniform-N80,0,-0.26139062500000004
2026-07-22-primary-uniform-N80,1,0.21728125
2026-07-22-primary-uniform-N80,2,0.47346875
2026-07-22-primary-uniform-N80,3,-0.40359375000000003
2026-07-22-primary-hotspot-N10,0,0.8739999999999999
2026-07-22-primary-hotspot-N10,1,-0.18000000000000008
2026-07-22-primary-hotspot-N10,2,-0.8480000000000001
2026-07-22-primary-hotspot-N10,3,-0.07100000000000006
2026-07-22-primary-hotspot-N20,0,-0.5235000000000001
2026-07-22-primary-hotspot-N20,1,0.404
2026-07-22-primary-hotspot-N20,2,-0.10950000000000001
2026-07-22-primary-hotspot-N20,3,0.32650000000000007
2026-07-22-primary-hotspot-N40,0,-0.10468749999999998
2026-07-22-primary-hotspot-N40,1,0.11849999999999998
2026-07-22-primary-hotspot-N40,2,-0.033562500000000016
2026-07-22-primary-hotspot-N40,3,0.41850000000000004
2026-07-22-primary-hotspot-N80,0,-0.011843749999999997
2026-07-22-primary-hotspot-N80,1,0.2498125
2026-07-22-primary-hotspot-N80,2,0.008750000000000003
2026-07-22-primary-hotspot-N80,3,-0.01284375000000001
2026-07-22-hub-uniform-N10,0,-0.15899999999999992
2026-07-22-hub-uniform-N10,1,0.263
2026-07-22-hub-uniform-N10,2,0.17800000000000005
2026-07-22-hub-uniform-N10,3,0.04600000000000002
2026-07-22-hub-uniform-N20,0,0.40499999999999997
2026-07-22-hub-uniform-N20,1,-0.9189999999999999
2026-07-22-hub-uniform-N20,2,0.54375
2026-07-22-hub-uniform-N20,3,0.48199999999999993
2026-07-22-hub-uniform-N40,0,-0.0858125
2026-07-22-hub-uniform-N40,1,-0.007187500000000013
2026-07-22-hub-uniform-N40,2,-0.1344375
2026-07-22-hub-uniform-N40,3,-0.2841875
2026-07-22-hub-uniform-N80,0,0.5328125
2026-07-22-hub-uniform-N80,1,0.10803124999999998
2026-07-22-hub-uniform-N80,2,0.36153124999999997
2026-07-22-hub-uniform-N80,3,-0.27176562499999996
2026-07-22-hub-hotspot-N10,0,0.26
2026-07-22-hub-hotspot-N10,1,0.253
2026-07-22-hub-hotspot-N10,2,-0.45599999999999985
2026-07-22-hub-hotspot-N10,3,-0.09000000000000001
2026-07-22-hub-hotspot-N20,0,-0.29725
2026-07-22-hub-hotspot-N20,1,0.04025000000000002
2026-07-22-hub-hotspot-N20,2,0.08449999999999999
2026-07-22-hub-hotspot-N20,3,0.43500000000000005
2026-07-22-hub-hotspot-N40,0,0.13499999999999998
2026-07-22-hub-hotspot-N40,1,-0.097
2026-07-22-hub-hotspot-N40,2,-0.23756249999999998
2026-07-22-hub-hotspot-N40,3,-0.10693749999999999
2026-07-22-hub-hotspot-N80,0,0.19521874999999997
2026-07-22-hub-hotspot-N80,1,-0.12778125
2026-07-22-hub-hotspot-N80,2,0.015062499999999979
2026-07-22-hub-hotspot-N80,3,-0.19775
