cell_id,source,source_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2026-07-22-primary-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,10,202607260000,31,109,1850,1632,40,349.75,349.525,0.225,0.000643730777483728,0.0022500000000000003,31.057545585904123,3.150628855799589,-0.976257993132607,0.9807579931326069,0.978507993132607,219.5,343.5,453.30000000000007,171.3,339.0,530.9000000000001,773,10,4,0.0022499999999999465,0.3927277205647699,8.767632889110896,-3.44104247928923,3.44554247928923,3.44329247928923,0,0.2916330000007292,raw/01-2026-07-22-primary-uniform-N10.npz,f69432170d20c93971c7c09a12c00840e48e9870fad8d02f6a32550cd7c2eee3
2026-07-22-primary-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,20,202607260001,31,109,1850,1632,40,1682.0,1600.75,81.25,0.050757457441824146,0.203125,146.77884441112985,3.150628855799589,-0.9529891565565598,1.3592391565565598,1.1561141565565598,963.0,1671.0,2285.2000000000003,702.0,1500.0,2536.2000000000003,3244,10,4,0.203125,0.5228829786625302,8.767632889110896,-4.381321000877871,4.787571000877871,4.584446000877871,0,0.36921609999990324,raw/02-2026-07-22-primary-uniform-N20.npz,2c5945726723073d9a813c4342f2169be728716b63149b0f3c74dcc0088ec00d
2026-07-22-primary-uniform-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,40,202607260002,31,109,1850,1632,40,5939.5,6745.675,-806.175,-0.11950990820043952,-0.503859375,550.6685783564399,3.150628855799589,-1.5882045705949603,0.5804858205949603,1.0843451955949603,3498.5,5479.5,8402.700000000003,4028.4,6384.0,10150.0,14300,10,4,-0.503859375,0.41243833691178283,8.767632889110896,-4.1199673024379475,3.112248552437948,3.6161079274379477,0,0.6646918000005826,raw/03-2026-07-22-primary-uniform-N40.npz,3208540195e10a5003a2c5582240c1d4ecc0137083d6afa83fb206dcc5cc0754
2026-07-22-primary-uniform-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,80,202607260003,31,109,1850,1632,40,24313.075,24271.85,41.225,0.0016984696263366824,0.00644140625,1464.4700925273453,3.150628855799589,-0.7144963643706481,0.7273791768706481,0.7209377706206481,17200.4,22853.0,33015.100000000006,14051.6,24437.5,33356.6,48337,10,4,0.00644140624999999,0.20461972979309043,8.767632889110896,-1.7875892664448843,1.8004720789448843,1.7940306726948843,0,1.7099058999992849,raw/04-2026-07-22-primary-uniform-N80.npz,a59091f05e84ddad9d51e41e15ff1341f3daab260da2e6d5ee0c0d2b5a6b3c8e
2026-07-22-primary-hotspot-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,10,202607260010,31,109,1850,1632,40,355.85,361.475,-5.625,-0.015561242132927587,-0.05625,35.1255201165981,3.150628855799589,-1.1629247725432292,1.0504247725432294,1.1066747725432293,198.20000000000002,323.5,554.6,188.9,337.5,528.6,771,10,4,-0.05625000000000008,0.35446729397787885,8.767632889110896,-3.164089104794591,3.051589104794591,3.107839104794591,0,0.2867965000004915,raw/05-2026-07-22-primary-hotspot-N10.npz,b4a0ae01a8b5961ff8165a86e455eba3bbf9a8e5af761d346c50e529ceda79d9
2026-07-22-primary-hotspot-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,20,202607260011,31,109,1850,1632,40,1254.4,1244.65,9.75,0.007833527497690113,0.024375,111.02162384661133,3.150628855799589,-0.8500948292721535,0.8988448292721536,0.8744698292721536,772.2,1123.5,2121.5,704.1,1182.0,1756.9000000000003,2660,10,4,0.024375,0.214764248169165,8.767632889110896,-1.8585990856531456,1.9073490856531456,1.8829740856531456,0,0.3554578000002948,raw/06-2026-07-22-primary-hotspot-N20.npz,9bac87b7b553730338b4b022c1ef4ffd2e95070fabb135d9e45d4293617c1423
2026-07-22-primary-hotspot-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,40,202607260012,31,109,1850,1632,40,3978.7,3819.2,159.5,0.04176267281105991,0.0996875,231.5672439304369,3.150628855799589,-0.35630152549076044,0.5556765254907604,0.4559890254907604,2578.1,3777.5,5333.700000000001,2201.5,3810.0,5477.4,7280,10,4,0.09968750000000001,0.11601724851557635,8.767632889110896,-0.9175091437893194,1.1168841437893193,1.0171966437893194,0,0.5000666000014462,raw/07-2026-07-22-primary-hotspot-N40.npz,b4ab0b97751ceafcbfd74eb35fe9ecf8fcd376e45f35adefcd9333b695ffc2be
2026-07-22-primary-hotspot-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,80,202607260013,31,109,1850,1632,40,10064.2,9690.0,374.2,0.0386171310629515,0.05846875,483.2218463816726,3.150628855799589,-0.1794144832754459,0.29635198327544593,0.23788323327544592,7721.5,9982.5,12860.1,7154.6,9065.5,13144.1,15426,10,4,0.05846875,0.06397506355221866,8.767632889110896,-0.5024411212833921,0.619378621283392,0.5609098712833921,0,0.8383113000018056,raw/08-2026-07-22-primary-hotspot-N80.npz,228895b89e78ebb6288f8f96424afa54c47a08fe636e8eb84d9bc7f88f934121
2026-07-22-hub-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,10,202607260100,31,34,934,866,40,236.625,228.425,8.2,0.03589799715442705,0.08199999999999999,15.38623260730689,3.150628855799589,-0.4027630843462564,0.5667630843462563,0.48476308434625637,169.8,216.0,353.20000000000005,156.4,210.0,302.1,414,10,4,0.08200000000000005,0.09190302860442992,8.767632889110896,-0.7237720162010991,0.8877720162010992,0.8057720162010992,0,0.048081100001581945,raw/09-2026-07-22-hub-uniform-N10.npz,3ac3b1df6808214179972b670c57a485b04c8e4973b2b1ce99b08d7c351416b4
2026-07-22-hub-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,20,202607260101,31,34,934,866,40,1066.875,1015.7,51.175,0.05038397164517081,0.12793749999999998,77.97121335582439,3.150628855799589,-0.4862083868014166,0.7420833868014165,0.6141458868014166,714.8000000000001,1081.5,1485.1,653.5,992.0,1406.3,2250,10,4,0.12793749999999998,0.35013117147661005,8.767632889110896,-2.941884074541253,3.1977590745412527,3.069821574541253,0,0.06613340000330936,raw/10-2026-07-22-hub-uniform-N20.npz,d221019f4e3d75917d8e1c371f08d5b37dfcaa85654e42dd0903bbfeb40999e1
