cell_id,date,mode,demand_kind,scale,primary_seed,replication_seed,primary_repetitions,replication_repetitions,total_repetitions,block_size,pooled_block_count,pooled_mean_difference,pooled_standard_error,pooled_simultaneous_critical,pooled_ci_low,pooled_ci_high,pooled_ci_halfwidth,precision_target,pooled_precision_gate_pass
2026-07-22-hub-hotspot-N10,2026-07-22,hub,hotspot,10,202607260110,202607270110,55200,55200,110400,1380,80,-0.01575996376811594,0.0030623435105733713,3.048829583229242,-0.025096527257162125,-0.006423400279069756,0.009336563489046185,0.03,True
2026-07-22-hub-hotspot-N20,2026-07-22,hub,hotspot,20,202607260111,202607270111,55200,55200,110400,1380,80,-0.02803913043478261,0.003007274115528421,3.048829583229242,-0.03720779672308522,-0.01887046414648001,0.009168666288302603,0.03,True
2026-07-22-hub-hotspot-N40,2026-07-22,hub,hotspot,40,202607260112,202607270112,55200,55200,110400,1380,80,-0.03199301970108696,0.0018603334607892974,3.048829583229242,-0.037664859391012606,-0.02632118001116131,0.005671839689925647,0.03,True
2026-07-22-hub-hotspot-N80,2026-07-22,hub,hotspot,80,202607260113,202607270113,55200,55200,110400,1380,80,-0.01760033825860507,0.0011237706235470715,3.048829583229242,-0.021026523380439355,-0.014174153136770788,0.003426185121834283,0.03,True
2026-07-22-hub-uniform-N10,2026-07-22,hub,uniform,10,202607260100,202607270100,55200,55200,110400,1380,80,-0.00408641304347826,0.0034625537957330824,3.048829583229242,-0.014643149489431982,0.006470323402475463,0.010556736445953722,0.03,True
2026-07-22-hub-uniform-N20,2026-07-22,hub,uniform,20,202607260101,202607270101,55200,55200,110400,1380,80,0.004648641304347827,0.0036045797737787343,3.048829583229242,-0.006341108145058547,0.0156383907537542,0.010989749449406373,0.03,True
2026-07-22-hub-uniform-N40,2026-07-22,hub,uniform,40,202607260102,202607270102,55200,55200,110400,1380,80,0.0024516417572463785,0.0036754755175887346,3.048829583229242,-0.008754256733212964,0.013657540247705723,0.011205898490459344,0.03,True
2026-07-22-hub-uniform-N80,2026-07-22,hub,uniform,80,202607260103,202607270103,55200,55200,110400,1380,80,0.008163134057971014,0.0032822224723470256,3.048829583229242,-0.0018438029144604191,0.018170071030402447,0.010006936972431433,0.03,True
2026-07-22-primary-hotspot-N10,2026-07-22,primary,hotspot,10,202607260010,202607270010,55200,55200,110400,1380,80,0.015727355072463773,0.004959620620056114,3.048829583229242,0.0006063170044429377,0.03084839314048461,0.015121038068020835,0.03,True
2026-07-22-primary-hotspot-N20,2026-07-22,primary,hotspot,20,202607260011,202607270011,55200,55200,110400,1380,80,0.002872780797101448,0.005120431412448965,3.048829583229242,-0.012738541972069247,0.018484103566272142,0.015611322769170695,0.03,True
2026-07-22-primary-hotspot-N40,2026-07-22,primary,hotspot,40,202607260012,202607270012,55200,55200,110400,1380,80,-0.011929245923913043,0.002872212003841793,3.048829583229242,-0.020686130850532045,-0.0031723609972940433,0.008756884926619,0.03,True
2026-07-22-primary-hotspot-N80,2026-07-22,primary,hotspot,80,202607260013,202607270013,55200,55200,110400,1380,80,-0.00730789600317029,0.0014958808255248097,3.048829583229242,-0.01186858171701571,-0.0027472102893248704,0.0045606857138454195,0.03,True
2026-07-22-primary-uniform-N10,2026-07-22,primary,uniform,10,202607260000,202607270000,55200,55200,110400,1380,80,0.037206159420289854,0.005570328433945559,3.048829583229242,0.020223177302573617,0.054189141538006094,0.016982982117716237,0.03,True
2026-07-22-primary-uniform-N20,2026-07-22,primary,uniform,20,202607260001,202607270001,55200,55200,110400,1380,80,0.04366272644927536,0.006616731447473953,3.048829583229242,0.02348943986793353,0.06383601303061719,0.020173286581341827,0.03,True
2026-07-22-primary-uniform-N40,2026-07-22,primary,uniform,40,202607260002,202607270002,55200,55200,110400,1380,80,0.03749330276268116,0.006068334851295805,3.048829583229242,0.01899198394710949,0.05599462157825283,0.018501318815571672,0.03,True
2026-07-22-primary-uniform-N80,2026-07-22,primary,uniform,80,202607260003,202607270003,55200,55200,110400,1380,80,0.0353256156589674,0.005111752840683853,3.048829583229242,0.019740752376134353,0.050910478941800445,0.015584863282833044,0.03,True
