cell_id,source,source_sha256,date,mode,demand_kind,scale,seed,node_count,channel_pair_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds
2026-07-22-primary-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,10,202607250000,31,109,1850,1632,2000,370.9025,369.2905,1.612,0.004365127183071322,0.016120000000000002,4.244871752609029,2.958768020515964,-0.10947590792811149,0.14171590792811148,0.12559590792811148,215.0,351.0,554.1000000000001,209.8,354.0,545.1000000000001,1383,50,40,0.016120000000000013,0.0500093918358829,3.150628855799589,-0.14144103297912103,0.17368103297912107,0.15756103297912105,0,1.3985279000007722
2026-07-22-primary-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,20,202607250001,31,109,1850,1632,2000,1513.308,1474.735,38.573,0.02615588563369012,0.0964325,16.828533465658925,2.958768020515964,-0.028046816625935778,0.2209118166259358,0.12447931662593578,856.0,1448.5,2270.500000000001,838.9,1405.0,2236.1000000000004,4335,50,40,0.0964325,0.03665734782003081,3.150628855799589,-0.019061197818871223,0.21192619781887123,0.11549369781887123,0,4.800128699997003
2026-07-22-primary-uniform-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,40,202607250002,31,109,1850,1632,2000,6101.357,6015.993,85.364,0.014189511191253048,0.053352500000000004,69.29862654896407,2.958768020515964,-0.0747966000617209,0.1815016000617209,0.1281491000617209,3510.3,5806.0,9019.0,3435.3,5725.0,9039.5,16656,50,40,0.053352500000000004,0.04530765886207872,3.150628855799589,-0.08939511739958919,0.19610011739958919,0.1427476173995892,0,18.744531699998333
2026-07-22-primary-uniform-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,uniform,80,202607250003,31,109,1850,1632,2000,24458.538,24266.6,191.938,0.007909554696578837,0.029990312499999998,282.8824258548182,2.958768020515964,-0.10078835549768977,0.16076898049768978,0.13077866799768978,14103.4,23262.0,36313.0,13829.8,23227.5,36205.600000000006,83232,50,40,0.029990312500000005,0.04212740347351082,3.150628855799589,-0.10273750050355504,0.16271812550355505,0.13272781300355505,0,74.63597350000055
2026-07-22-primary-hotspot-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,10,202607250010,31,109,1850,1632,2000,371.2295,372.6425,-1.413,-0.003791838021696398,-0.01413,4.1312485791720945,2.958768020515964,-0.13636406180856409,0.10810406180856408,0.12223406180856408,213.9,354.0,541.1000000000001,213.0,354.0,552.1000000000001,1059,50,40,-0.014130000000000004,0.04938535470131159,3.150628855799589,-0.1697249235758502,0.1414649235758502,0.1555949235758502,0,1.4199286000002758
2026-07-22-primary-hotspot-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,20,202607250011,31,109,1850,1632,2000,1318.354,1324.8825,-6.5285,-0.0049276067877717464,-0.01632125,13.55505602591918,2.958768020515964,-0.1165869157144797,0.0839444157144797,0.1002656657144797,799.7,1275.0,1892.0,798.0,1281.5,1921.2000000000003,3222,50,40,-0.01632124999999999,0.03130914883738417,3.150628855799589,-0.11496475777758672,0.08232225777758673,0.09864350777758672,0,4.362865300001431
2026-07-22-primary-hotspot-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,40,202607250012,31,109,1850,1632,2000,3895.917,3926.6615,-30.7445,-0.007829679232600008,-0.019215312499999998,33.327451119293976,2.958768020515964,-0.08084543536067249,0.042414810360672496,0.061630122860672494,2515.5,3806.0,5483.9000000000015,2560.9,3823.0,5406.500000000001,8519,50,40,-0.019215312499999998,0.017460803473787236,3.150628855799589,-0.07422782376995976,0.03579719876995977,0.05501251126995977,0,11.88003160000153
2026-07-22-primary-hotspot-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,primary,hotspot,80,202607250013,31,109,1850,1632,2000,9932.0805,9798.432,133.6485,0.013639784406321338,0.020882578125000002,70.30023057347121,2.958768020515964,-0.011617745946200825,0.05338290219620083,0.03250032407120083,7072.8,9784.5,13017.5,6990.3,9607.0,12971.5,18515,50,40,0.020882578125,0.011382912771943374,3.150628855799589,-0.014980755317334487,0.05674591156733448,0.035863333442334486,0,29.17329400000017
2026-07-22-hub-uniform-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,10,202607250100,31,34,934,866,2000,247.476,249.8665,-2.3905,-0.009567108836118486,-0.023905,2.531573905319386,2.958768020515964,-0.09880839912631709,0.050998399126317095,0.07490339912631709,152.9,238.0,356.0,153.9,241.0,361.0,597,50,40,-0.023905000000000003,0.022274519175218565,3.150628855799589,-0.09408374286250487,0.04627374286250487,0.07017874286250488,0,0.34536880000086967
2026-07-22-hub-uniform-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,20,202607250101,31,34,934,866,2000,1006.9635,1025.1065,-18.143,-0.0176986488720928,-0.0453575,10.260960282959106,2.958768020515964,-0.1212570028625096,0.030542002862509597,0.0758995028625096,626.0,969.0,1463.1000000000001,645.9,986.0,1454.1000000000001,2636,50,40,-0.045357499999999995,0.028749839773801016,3.150628855799589,-0.1359375747909522,0.04522257479095222,0.09058007479095222,0,1.2371379000032903
2026-07-22-hub-uniform-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,40,202607250102,31,34,934,866,2000,4068.288,4061.9785,6.3095,0.001553307089143874,0.0039434375,39.317942191116096,2.958768020515964,-0.06876448124223106,0.07665135624223104,0.07270791874223105,2547.7,3935.0,5793.1,2598.6,3950.5,5666.400000000001,10804,50,40,0.0039434375000000025,0.025281517319699742,3.150628855799589,-0.07570924048584309,0.0835961154858431,0.07965267798584309,0,4.842913899999985
2026-07-22-hub-uniform-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,uniform,80,202607250103,31,34,934,866,2000,16382.5135,16363.934,18.5795,0.0011353932373474496,0.002903046875,160.14869719403384,2.958768020515964,-0.07113489746640658,0.07694099121640657,0.07403794434140658,10172.5,15778.5,23352.700000000004,10258.8,15826.0,23469.9,42167,50,40,0.0029030468750000037,0.02299721325376177,3.150628855799589,-0.06955263680527858,0.0753587305552786,0.07245568368027859,0,19.302555099999154
2026-07-22-hub-hotspot-N10,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,hotspot,10,202607250110,31,34,934,866,2000,246.668,250.037,-3.369,-0.013474005847134625,-0.033690000000000005,2.533387346069016,2.958768020515964,-0.10864705463128815,0.04126705463128814,0.07495705463128814,150.9,239.0,357.0,154.0,243.0,352.0,714,50,40,-0.03369,0.028081837318442805,3.150628855799589,-0.12216544697935566,0.05478544697935567,0.08847544697935567,0,0.33453110000118613
2026-07-22-hub-hotspot-N20,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,hotspot,20,202607250111,31,34,934,866,2000,934.172,926.232,7.94,0.008572366318589727,0.01985,8.55266377971591,2.958768020515964,-0.04341337020412157,0.08311337020412157,0.06326337020412157,612.0,919.0,1276.1000000000001,597.0,905.0,1292.0,2280,50,40,0.01985,0.021367006002545624,3.150628855799589,-0.04746950567366328,0.08716950567366327,0.06731950567366328,0,1.1264790000022913
2026-07-22-hub-hotspot-N40,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,hotspot,40,202607250112,31,34,934,866,2000,3030.6685,3096.1695,-65.501,-0.02115549552438909,-0.040938125000000006,23.332938134759207,2.958768020515964,-0.08408609448612686,0.0022098444861268426,0.04314796948612685,2158.0,3013.5,3947.2000000000003,2130.9,3033.5,4121.000000000002,5881,50,40,-0.040938125000000006,0.01568405823383386,3.150628855799589,-0.0903527714475581,0.008476521447558089,0.049414646447558094,0,3.542079399998329
2026-07-22-hub-hotspot-N80,channels-geo.json,fbddddc486a8bb644520c373fd9588dc3811a6414c77185f0b2e8740e338637b,2026-07-22,hub,hotspot,80,202607250113,31,34,934,866,2000,8846.213,9032.504,-186.291,-0.020624513423963053,-0.02910796875,54.297826007254265,2.958768020515964,-0.054210261120906864,-0.004005676379093135,0.025102292370906866,6666.7,8851.5,11013.300000000001,6691.8,8945.0,11305.400000000001,15619,50,40,-0.02910796875,0.009186652481098245,3.150628855799589,-0.05805170114515102,-0.0001642363548489817,0.02894373239515102,0,10.105593899999803
