cell_id,date,mode,demand_kind,scale,formal_seed,replication_seed,formal_mean,replication_mean,difference_replication_minus_formal,welch_standard_error,welch_degrees_of_freedom,simultaneous_critical,simultaneous_ci_low,simultaneous_ci_high,simultaneous_ci_halfwidth,contains_zero,formal_block_ci_halfwidth,replication_block_ci_halfwidth,precision_gate_pass,direct_replication_gate_pass,combined_gate_pass
2026-07-22-hub-hotspot-N10,2026-07-22,hub,hotspot,10,202607260110,202607270110,-0.02056340579710145,-0.010956521739130434,0.009606884057971016,0.006067081497669087,77.26234030397833,3.0509981982212726,-0.008903770659878987,0.02811753877582102,0.018510654717850003,True,0.012839108646932385,0.014161397517312746,True,True,True
2026-07-22-hub-hotspot-N20,2026-07-22,hub,hotspot,20,202607260111,202607270111,-0.02499438405797101,-0.0310838768115942,-0.00608949275362319,0.0060135813399131,77.99762056269842,3.0500684270023632,-0.024431327331702703,0.012252341824456323,0.018341834578079513,True,0.013360193563630374,0.013434190467723,True,True,True
2026-07-22-hub-hotspot-N40,2026-07-22,hub,hotspot,40,202607260112,202607270112,-0.03602884963768116,-0.02795718976449275,0.008071659873188409,0.0036311930861536797,77.98002243449922,3.050090469316408,-0.003003807551136564,0.019147127297513382,0.011075467424324973,True,0.008024682207168914,0.008154168889603745,True,True,True
2026-07-22-hub-hotspot-N80,2026-07-22,hub,hotspot,80,202607260113,202607270113,-0.018462743432971017,-0.016737933084239126,0.0017248103487318908,0.002253455808179726,72.05023887206146,3.0581501047174178,-0.005166595767029011,0.008616216464492793,0.006891406115760902,True,0.005696156854606299,0.004238041791766509,True,True,True
2026-07-22-hub-uniform-N10,2026-07-22,hub,uniform,10,202607260100,202607270100,-0.004260326086956521,-0.003912499999999999,0.0003478260869565217,0.006969246652193345,74.64752131979587,3.054457560003419,-0.020939442037363958,0.021635094211277,0.02128726812432048,True,0.017092490792731438,0.01378328649414754,True,True,True
2026-07-22-hub-uniform-N20,2026-07-22,hub,uniform,20,202607260101,202607270101,0.0060888586956521756,0.003208423913043476,-0.0028804347826086995,0.007247890607947308,75.28977129707914,3.0535849436551494,-0.025012484416296166,0.01925161485107877,0.022132049633687468,True,0.01761237821190991,0.014534793909316595,True,True,True
2026-07-22-hub-uniform-N40,2026-07-22,hub,uniform,40,202607260102,202607270102,-0.00010277400362318778,0.005006057518115945,0.005108831521739132,0.007375272136732281,71.02993784308276,3.059676894320839,-0.01745711822434891,0.027674781267827176,0.022565949746088044,True,0.018829326302072565,0.013616269647772329,True,True,True
2026-07-22-hub-uniform-N80,2026-07-22,hub,uniform,80,202607260103,202607270103,0.008682801177536231,0.0076434669384057964,-0.0010393342391304345,0.006605342477835645,77.5030925751322,3.0506917647205896,-0.02119019813942273,0.019111529661161863,0.020150863900292297,True,0.015293393091603968,0.01411414627488155,True,True,True
2026-07-22-primary-hotspot-N10,2026-07-22,primary,hotspot,10,202607260010,202607270010,0.019786413043478262,0.011668297101449277,-0.008118115942028985,0.00994021396685543,77.02713982128603,3.0512994694219873,-0.038448685545035985,0.02221245366097802,0.030330569603007004,True,0.020863665714334297,0.02335636693837611,True,True,True
2026-07-22-primary-hotspot-N20,2026-07-22,primary,hotspot,20,202607260011,202607270011,-0.00047880434782608813,0.006224365942028983,0.006703170289855072,0.010278315453953845,76.63685247196256,3.051803593955597,-0.024664229752330624,0.03807057033204077,0.031367400042185696,True,0.021316773839789378,0.024377531193191672,True,True,True
2026-07-22-primary-hotspot-N40,2026-07-22,primary,hotspot,40,202607260012,202607270012,-0.007821308876811593,-0.016037182971014495,-0.008215874094202902,0.005705792805530585,77.83255798539278,3.0502755771478802,-0.025620114537178933,0.009188366348773127,0.01740424044297603,True,0.0130029957954606,0.012413247497681098,True,True,True
2026-07-22-primary-hotspot-N80,2026-07-22,primary,hotspot,80,202607260013,202607270013,-0.008372718523550727,-0.006243073482789855,0.0021296450407608716,0.0030012070143633266,75.44465024966142,3.053376801738781,-0.007034170834111817,0.01129346091563356,0.009163815874872689,True,0.00727547393826676,0.006039664014901445,True,True,True
2026-07-22-primary-uniform-N10,2026-07-22,primary,uniform,10,202607260000,202607270000,0.03419891304347826,0.04021340579710145,0.006014492753623188,0.011191142604135583,76.12391999032961,3.0524742309107458,-0.028146181659948054,0.04017516716719443,0.03416067441357124,True,0.026817668244277993,0.022891470007129416,True,True,True
2026-07-22-primary-uniform-N20,2026-07-22,primary,uniform,20,202607260001,202607270001,0.03853935688405797,0.048786096014492755,0.010246739130434786,0.013267389658993316,72.669321223253,3.0572452527916143,-0.030314924921459083,0.050808403182328654,0.04056166405189387,True,0.033320651151270926,0.025239375939674718,False,True,False
2026-07-22-primary-uniform-N40,2026-07-22,primary,uniform,40,202607260002,202607270002,0.02320815217391304,0.051778453351449275,0.028570301177536235,0.011778043053212476,74.0288880850466,3.0553128422971727,-0.007415305020072843,0.06455590737514531,0.03598560619760908,True,0.023000989400320065,0.02912002977021063,True,True,True
2026-07-22-primary-uniform-N80,2026-07-22,primary,uniform,80,202607260003,202607270003,0.03632601902173913,0.03432521229619565,-0.0020008067255434803,0.010286337825675953,75.25412012878576,3.0536329802311477,-0.03341150715582673,0.029409893704739766,0.031410700430283246,True,0.020611628388995853,0.02500934405428975,True,True,True
