cell_id,date,mode,source,source_sha256,claim_boundary,hotspot_weight,scale,seed,repetitions,node_count,channel_count,route_count,increment_sha256,maximum_absolute_drift,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-primary-lambda0-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607290000,80,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,1.214306433183765e-17,4057.9375,4130.4875,-72.55,-0.017564512663456794,-0.045343749999999995,191.7104974741137,3.3477285178835148,-0.4464654372323288,0.35577793723232876,0.40112168723232877,2612.5,3867.5,5504.0,2710.8,3902.5,5626.3,8096,2,40,-0.04534375,0.12518846609520076,3.479924403318366,-0.480990148178683,0.390302648178683,0.435646398178683,0,0.276084200000696,raw/01-2020-10-14-primary-lambda0-N40.npz,0b30d570260295acd4f0c9d9351314d685f7d7076bd62b49eba09a3a06868b49
2020-10-14-primary-lambda0.25-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607290001,80,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.002126797787201498,4034.85,3957.2875,77.5625,0.01959991534605459,0.0484765625,199.57728258172494,3.3477285178835148,-0.36910503776283593,0.4660581627628359,0.4175816002628359,2792.5,3868.0,5686.300000000001,2431.3,3719.5,5570.000000000003,7818,2,40,0.0484765625,0.12741694264136466,3.479924403318366,-0.3949247655939014,0.49187789059390136,0.44340132809390137,0,0.2725064999995084,raw/02-2020-10-14-primary-lambda0.25-N40.npz,47966b9f220cda647af61324d9ec918e2a5d5b1f3045ede02af4bc1077499596
2020-10-14-primary-lambda0.5-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607290002,80,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.004253595574402999,3631.0,3688.8625,-57.8625,-0.015685729679542133,-0.0361640625,155.7810311486725,3.3477285178835148,-0.3621094378260694,0.28978131282606945,0.32594537532606943,2422.1,3570.0,4889.7,2645.0,3570.5,4719.200000000001,7338,2,40,-0.03616406249999998,0.09321810517624642,3.479924403318366,-0.36055602153391797,0.288227896533918,0.324391959033918,0,0.25363950000064506,raw/03-2020-10-14-primary-lambda0.5-N40.npz,eb72ea2c6db370d102ebaf174aedbddb61d461356cba61346f04b41213fb919a
2020-10-14-primary-lambda0.75-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607290003,80,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.006380393361604496,3111.95,3145.0875,-33.1375,-0.010536272838196076,-0.020710937500000002,108.85376723121351,3.3477285178835148,-0.2484689755243672,0.2070471005243672,0.2277580380243672,2142.7,3015.0,4228.0,2183.4,3203.5,4188.8,5053,2,40,-0.020710937500000005,0.06506091607038259,3.479924403318366,-0.2471180070355724,0.2056961320355724,0.2264070695355724,0,0.2193796999999904,raw/04-2020-10-14-primary-lambda0.75-N40.npz,dd811de33ddac588f44bd59846a53a380fe2fe3ff68f5e7160554612b905d23a
2020-10-14-primary-lambda1-N40,2020-10-14,primary,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607290004,80,31,42,978,b4b555f4dbbf16e0bb93049a40e5473eaec0b23f130e2105f7755caaf706aedd,0.008507191148805993,2771.35,2786.7,-15.35,-0.005508307316898124,-0.00959375,107.53384821840157,3.3477285178835148,-0.2345900814490627,0.21540258144906269,0.2249963314490627,2029.2,2720.0,3550.100000000001,2039.1,2644.5,3544.3000000000015,4689,2,40,-0.009593750000000002,0.07180649623566539,3.479924403318366,-0.2594749285672803,0.24028742856728033,0.24988117856728034,0,0.20760919999975158,raw/05-2020-10-14-primary-lambda1-N40.npz,56d2e127c1726df441fff6f3f25f738d3dafac51b785156d131ce901c274212c
2020-10-14-hub-lambda0-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.0,40,202607290100,80,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,1.214306433183765e-17,4105.5375,4106.6125,-1.075,-0.00026177293328747233,-0.000671875,200.59189375493187,3.3477285178835148,-0.4203763769872785,0.4190326269872785,0.4197045019872785,2533.9,4052.5,5999.3,2607.2,3899.5,5584.900000000001,8158,2,40,-0.0006718750000000217,0.13748108231877892,3.479924403318366,-0.4790956483557399,0.47775189835573983,0.4784237733557399,0,0.22445210000023508,raw/06-2020-10-14-hub-lambda0-N40.npz,05123462f10d932dd5c5081b83dba845c59488f679cf2d08ac4219efc89a9022
2020-10-14-hub-lambda0.25-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.25,40,202607290101,80,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0013030408139669309,4092.125,3825.2625,266.8625,0.0697631861865689,0.1667890625,190.65915620016486,3.3477285178835148,-0.2321328715043122,0.5657109965043122,0.3989219340043122,2625.2000000000003,4011.0,5667.2,2365.4,3624.5,5431.000000000001,8672,2,40,0.1667890625,0.11062910422379671,3.479924403318366,-0.21819185700564106,0.5517699820056411,0.38498091950564106,0,0.21701200000006793,raw/07-2020-10-14-hub-lambda0.25-N40.npz,860e03b2299daf825868cdea10b088045ed31e91f42f52e85c44f2b9b8526617
2020-10-14-hub-lambda0.5-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.5,40,202607290102,80,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.0026060816279338543,3542.7875,3767.375,-224.5875,-0.0596137894422509,-0.1403671875,150.8814834729039,3.3477285178835148,-0.45606109065175665,0.17532671565175667,0.31569390315175666,2336.0,3530.0,4620.6,2834.2,3584.0,4848.200000000001,7157,2,40,-0.14036718750000002,0.08123218561447813,3.479924403318366,-0.4230490525547096,0.14231467755470953,0.28268186505470955,0,0.20145990000037273,raw/08-2020-10-14-hub-lambda0.5-N40.npz,17b2d9ad924e3557e67f60d4e756a59bc0c771fed276f6939768e84a1830f268
2020-10-14-hub-lambda0.75-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,0.75,40,202607290103,80,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.003909122441900792,3338.575,3346.2,-7.625,-0.002278704201781125,-0.004765625,113.86509947373935,3.3477285178835148,-0.24300902543742528,0.2334777754374253,0.23824340043742528,2314.2,3252.0,4415.6,2539.7,3240.5,4194.3,5564,2,40,-0.004765625000000023,0.07256393945510946,3.479924403318366,-0.2572826487107518,0.24775139871075177,0.2525170237107518,0,0.1883705000000191,raw/09-2020-10-14-hub-lambda0.75-N40.npz,ce5ebd9dce9c3e0ee55dc78f3c7e60577e655c03d57c46a16a5ff88caee5accd
2020-10-14-hub-lambda1-N40,2020-10-14,hub,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,historical public topology; synthetic interpolated demand,1.0,40,202607290104,80,31,33,936,ecb10af028391b259ef552d2d463ebbdbc4420d5b5abb08974c7d5382ba79a53,0.005212163255867717,3107.3375,3001.4125,105.925,0.035291716816665486,0.066203125,123.10960920319971,3.3477285178835148,-0.191382843471904,0.323789093471904,0.257585968471904,2251.3,3020.0,4171.0,2146.4,3020.5,3807.3000000000006,5273,2,40,0.066203125,0.08266085879588354,3.479924403318366,-0.22145041472304874,0.3538566647230488,0.28765353972304875,0,0.17723500000010972,raw/10-2020-10-14-hub-lambda1-N40.npz,961f303a4141fae993dcf3f87fb94dc498b70749177034cd37d2f622945e8092
