cell_id,block_index,normalized_mean_difference
2020-10-14-primary-lambda0-N40,0,1.1859375
2020-10-14-primary-lambda0-N40,1,0.285625
2020-10-14-primary-lambda0-N40,2,-0.08281250000000001
2020-10-14-primary-lambda0-N40,3,-0.7790625
2020-10-14-primary-lambda0-N40,4,0.708125
2020-10-14-primary-lambda0-N40,5,-1.2059375
2020-10-14-primary-lambda0-N40,6,-0.36843750000000003
2020-10-14-primary-lambda0-N40,7,-1.1553125
2020-10-14-primary-lambda0-N40,8,-0.6303125
2020-10-14-primary-lambda0-N40,9,-0.8584375
2020-10-14-primary-lambda0-N40,10,0.48531250000000004
2020-10-14-primary-lambda0-N40,11,-1.033125
2020-10-14-primary-lambda0-N40,12,1.615625
2020-10-14-primary-lambda0-N40,13,-0.07374999999999998
2020-10-14-primary-lambda0-N40,14,-0.4878125
2020-10-14-primary-lambda0-N40,15,0.744375
2020-10-14-primary-lambda0-N40,16,-0.48281250000000003
2020-10-14-primary-lambda0-N40,17,-0.7096875
2020-10-14-primary-lambda0-N40,18,0.5137499999999999
2020-10-14-primary-lambda0-N40,19,0.34562499999999996
2020-10-14-primary-lambda0-N40,20,-1.0903125
2020-10-14-primary-lambda0-N40,21,-1.0696875
2020-10-14-primary-lambda0-N40,22,0.5903125
2020-10-14-primary-lambda0-N40,23,-0.03437499999999999
2020-10-14-primary-lambda0-N40,24,0.12468749999999999
2020-10-14-primary-lambda0-N40,25,-0.981875
2020-10-14-primary-lambda0-N40,26,0.1690625
2020-10-14-primary-lambda0-N40,27,0.41000000000000003
2020-10-14-primary-lambda0-N40,28,1.125
2020-10-14-primary-lambda0-N40,29,-0.09968749999999998
2020-10-14-primary-lambda0-N40,30,1.8678124999999999
2020-10-14-primary-lambda0-N40,31,-0.638125
2020-10-14-primary-lambda0-N40,32,0.645
2020-10-14-primary-lambda0-N40,33,0.9175
2020-10-14-primary-lambda0-N40,34,-0.9696875
2020-10-14-primary-lambda0-N40,35,0.36125
2020-10-14-primary-lambda0-N40,36,0.10875000000000001
2020-10-14-primary-lambda0-N40,37,-0.1690625
2020-10-14-primary-lambda0-N40,38,-0.41374999999999995
2020-10-14-primary-lambda0-N40,39,-0.6834374999999999
2020-10-14-primary-lambda0.25-N40,0,-0.7303125
2020-10-14-primary-lambda0.25-N40,1,1.045625
2020-10-14-primary-lambda0.25-N40,2,-1.2490625
2020-10-14-primary-lambda0.25-N40,3,0.46875
2020-10-14-primary-lambda0.25-N40,4,0.24812499999999998
2020-10-14-primary-lambda0.25-N40,5,-0.42874999999999985
2020-10-14-primary-lambda0.25-N40,6,1.3903124999999998
2020-10-14-primary-lambda0.25-N40,7,1.2165625
2020-10-14-primary-lambda0.25-N40,8,0.38875
2020-10-14-primary-lambda0.25-N40,9,-0.15875
2020-10-14-primary-lambda0.25-N40,10,0.304375
2020-10-14-primary-lambda0.25-N40,11,-0.11624999999999999
2020-10-14-primary-lambda0.25-N40,12,0.6625
2020-10-14-primary-lambda0.25-N40,13,-1.265
2020-10-14-primary-lambda0.25-N40,14,0.49374999999999997
2020-10-14-primary-lambda0.25-N40,15,-0.035
2020-10-14-primary-lambda0.25-N40,16,0.9075
2020-10-14-primary-lambda0.25-N40,17,-1.276875
2020-10-14-primary-lambda0.25-N40,18,-0.250625
2020-10-14-primary-lambda0.25-N40,19,0.47
2020-10-14-primary-lambda0.25-N40,20,0.07593749999999999
2020-10-14-primary-lambda0.25-N40,21,-0.3565625
2020-10-14-primary-lambda0.25-N40,22,1.211875
2020-10-14-primary-lambda0.25-N40,23,1.3090625
2020-10-14-primary-lambda0.25-N40,24,0.19343750000000004
2020-10-14-primary-lambda0.25-N40,25,-0.435625
