cell_id,block_index,normalized_mean_difference
2020-10-14-primary-uniform-N10,0,0.31600000000000006
2020-10-14-primary-uniform-N10,1,1.1380000000000001
2020-10-14-primary-uniform-N10,2,-0.14600000000000002
2020-10-14-primary-uniform-N10,3,-0.36
2020-10-14-primary-uniform-N20,0,0.5585000000000001
2020-10-14-primary-uniform-N20,1,-0.17650000000000007
2020-10-14-primary-uniform-N20,2,-0.15100000000000002
2020-10-14-primary-uniform-N20,3,0.1275
2020-10-14-primary-uniform-N40,0,-0.10587500000000002
2020-10-14-primary-uniform-N40,1,0.202
2020-10-14-primary-uniform-N40,2,0.179375
2020-10-14-primary-uniform-N40,3,-0.70675
2020-10-14-primary-uniform-N80,0,0.9731875000000001
2020-10-14-primary-uniform-N80,1,-0.49275
2020-10-14-primary-uniform-N80,2,-0.95103125
2020-10-14-primary-uniform-N80,3,0.2128125
2020-10-14-primary-hotspot-N10,0,-0.07800000000000003
2020-10-14-primary-hotspot-N10,1,-0.15799999999999997
2020-10-14-primary-hotspot-N10,2,-0.278
2020-10-14-primary-hotspot-N10,3,0.4039999999999999
2020-10-14-primary-hotspot-N20,0,-0.7264999999999999
2020-10-14-primary-hotspot-N20,1,0.06999999999999998
2020-10-14-primary-hotspot-N20,2,0.20650000000000004
2020-10-14-primary-hotspot-N20,3,0.0735
2020-10-14-primary-hotspot-N40,0,-0.20462499999999997
2020-10-14-primary-hotspot-N40,1,-0.064375
2020-10-14-primary-hotspot-N40,2,-0.050749999999999997
2020-10-14-primary-hotspot-N40,3,-0.135625
2020-10-14-primary-hotspot-N80,0,0.20165625
2020-10-14-primary-hotspot-N80,1,-0.07684374999999999
2020-10-14-primary-hotspot-N80,2,-0.12553124999999998
2020-10-14-primary-hotspot-N80,3,0.16196875
2020-10-14-hub-uniform-N10,0,0.9920000000000002
2020-10-14-hub-uniform-N10,1,-0.49399999999999994
2020-10-14-hub-uniform-N10,2,0.09000000000000001
2020-10-14-hub-uniform-N10,3,-0.13999999999999999
2020-10-14-hub-uniform-N20,0,-0.087
2020-10-14-hub-uniform-N20,1,0.6305
2020-10-14-hub-uniform-N20,2,0.047
2020-10-14-hub-uniform-N20,3,-1.8945
2020-10-14-hub-uniform-N40,0,0.5702499999999999
2020-10-14-hub-uniform-N40,1,-0.03087500000000003
2020-10-14-hub-uniform-N40,2,-0.20099999999999998
2020-10-14-hub-uniform-N40,3,0.932625
2020-10-14-hub-uniform-N80,0,-0.44356249999999997
2020-10-14-hub-uniform-N80,1,-0.13596875000000003
2020-10-14-hub-uniform-N80,2,0.30718750000000006
2020-10-14-hub-uniform-N80,3,0.15025000000000002
2020-10-14-hub-hotspot-N10,0,1.2
2020-10-14-hub-hotspot-N10,1,-0.31599999999999995
2020-10-14-hub-hotspot-N10,2,-0.564
2020-10-14-hub-hotspot-N10,3,0.02200000000000002
2020-10-14-hub-hotspot-N20,0,0.202
2020-10-14-hub-hotspot-N20,1,-0.5915
2020-10-14-hub-hotspot-N20,2,0.2495
2020-10-14-hub-hotspot-N20,3,0.916
2020-10-14-hub-hotspot-N40,0,-0.29125
2020-10-14-hub-hotspot-N40,1,-0.44275000000000003
2020-10-14-hub-hotspot-N40,2,-0.08800000000000004
2020-10-14-hub-hotspot-N40,3,0.34274999999999994
2020-10-14-hub-hotspot-N80,0,0.09884374999999998
2020-10-14-hub-hotspot-N80,1,-0.020156249999999997
2020-10-14-hub-hotspot-N80,2,0.08143750000000002
2020-10-14-hub-hotspot-N80,3,0.02778125
2022-05-31-primary-uniform-N10,0,-0.45400000000000007
2022-05-31-primary-uniform-N10,1,0.15799999999999997
2022-05-31-primary-uniform-N10,2,-0.39399999999999996
2022-05-31-primary-uniform-N10,3,0.26599999999999996
2022-05-31-primary-uniform-N20,0,0.29700000000000004
2022-05-31-primary-uniform-N20,1,-0.7220000000000001
2022-05-31-primary-uniform-N20,2,0.3885
2022-05-31-primary-uniform-N20,3,0.027000000000000003
2022-05-31-primary-uniform-N40,0,0.15962500000000004
2022-05-31-primary-uniform-N40,1,-0.15075000000000002
2022-05-31-primary-uniform-N40,2,0.577625
2022-05-31-primary-uniform-N40,3,0.22937499999999994
2022-05-31-primary-uniform-N80,0,0.07221875
2022-05-31-primary-uniform-N80,1,-0.0822812499999999
2022-05-31-primary-uniform-N80,2,0.37321874999999993
2022-05-31-primary-uniform-N80,3,0.39428125
2022-05-31-primary-hotspot-N10,0,-0.48200000000000004
2022-05-31-primary-hotspot-N10,1,-0.938
2022-05-31-primary-hotspot-N10,2,-0.472
2022-05-31-primary-hotspot-N10,3,0.362
2022-05-31-primary-hotspot-N20,0,0.18049999999999997
2022-05-31-primary-hotspot-N20,1,-0.337
2022-05-31-primary-hotspot-N20,2,-0.394
2022-05-31-primary-hotspot-N20,3,-0.614
2022-05-31-primary-hotspot-N40,0,0.17237499999999994
2022-05-31-primary-hotspot-N40,1,-0.05449999999999999
2022-05-31-primary-hotspot-N40,2,-0.33299999999999996
2022-05-31-primary-hotspot-N40,3,0.338875
2022-05-31-primary-hotspot-N80,0,0.023937499999999966
2022-05-31-primary-hotspot-N80,1,0.13878125
2022-05-31-primary-hotspot-N80,2,-0.1839375
2022-05-31-primary-hotspot-N80,3,0.22946875000000003
2022-05-31-hub-uniform-N10,0,0.168
2022-05-31-hub-uniform-N10,1,-0.398
2022-05-31-hub-uniform-N10,2,-0.06399999999999992
2022-05-31-hub-uniform-N10,3,-0.45
2022-05-31-hub-uniform-N20,0,-1.0885
2022-05-31-hub-uniform-N20,1,-0.1405
2022-05-31-hub-uniform-N20,2,-0.9755
2022-05-31-hub-uniform-N20,3,-0.681
2022-05-31-hub-uniform-N40,0,0.48249999999999993
2022-05-31-hub-uniform-N40,1,1.090375
2022-05-31-hub-uniform-N40,2,-0.2768749999999999
2022-05-31-hub-uniform-N40,3,0.464625
2022-05-31-hub-uniform-N80,0,-0.4588749999999999
2022-05-31-hub-uniform-N80,1,0.5064062500000001
2022-05-31-hub-uniform-N80,2,0.37599999999999995
2022-05-31-hub-uniform-N80,3,-0.06637499999999999
2022-05-31-hub-hotspot-N10,0,-0.40800000000000003
2022-05-31-hub-hotspot-N10,1,-0.017999999999999995
2022-05-31-hub-hotspot-N10,2,0.5820000000000001
2022-05-31-hub-hotspot-N10,3,-0.476
2022-05-31-hub-hotspot-N20,0,-0.3165
2022-05-31-hub-hotspot-N20,1,0.34650000000000003
2022-05-31-hub-hotspot-N20,2,0.23349999999999996
2022-05-31-hub-hotspot-N20,3,-0.13949999999999999
2022-05-31-hub-hotspot-N40,0,-0.20837500000000003
2022-05-31-hub-hotspot-N40,1,0.33662500000000006
2022-05-31-hub-hotspot-N40,2,-0.036625
2022-05-31-hub-hotspot-N40,3,0.08675
2022-05-31-hub-hotspot-N80,0,0.06325
2022-05-31-hub-hotspot-N80,1,0.053156250000000016
2022-05-31-hub-hotspot-N80,2,-0.15737500000000001
2022-05-31-hub-hotspot-N80,3,0.22809375000000004
2023-07-16-primary-uniform-N10,0,-0.178
2023-07-16-primary-uniform-N10,1,-0.19000000000000003
2023-07-16-primary-uniform-N10,2,0.526
2023-07-16-primary-uniform-N10,3,-0.5940000000000001
2023-07-16-primary-uniform-N20,0,0.33099999999999996
2023-07-16-primary-uniform-N20,1,-0.6234999999999999
2023-07-16-primary-uniform-N20,2,-0.08549999999999999
2023-07-16-primary-uniform-N20,3,-0.1115
2023-07-16-primary-uniform-N40,0,-0.03324999999999999
2023-07-16-primary-uniform-N40,1,0.42112499999999997
2023-07-16-primary-uniform-N40,2,-0.200875
2023-07-16-primary-uniform-N40,3,0.02674999999999996
2023-07-16-primary-uniform-N80,0,0.3147500000000001
2023-07-16-primary-uniform-N80,1,0.0984375
2023-07-16-primary-uniform-N80,2,0.9143125
2023-07-16-primary-uniform-N80,3,-0.6373749999999999
2023-07-16-primary-hotspot-N10,0,0.21200000000000002
2023-07-16-primary-hotspot-N10,1,-0.06400000000000002
2023-07-16-primary-hotspot-N10,2,-0.146
2023-07-16-primary-hotspot-N10,3,0.352
2023-07-16-primary-hotspot-N20,0,0.12649999999999997
2023-07-16-primary-hotspot-N20,1,0.13500000000000012
2023-07-16-primary-hotspot-N20,2,-0.33799999999999997
2023-07-16-primary-hotspot-N20,3,-0.5995
2023-07-16-primary-hotspot-N40,0,-0.006250000000000022
2023-07-16-primary-hotspot-N40,1,-0.07087500000000002
2023-07-16-primary-hotspot-N40,2,0.3095
2023-07-16-primary-hotspot-N40,3,-0.27437500000000004
2023-07-16-primary-hotspot-N80,0,0.08681250000000001
2023-07-16-primary-hotspot-N80,1,-0.03474999999999999
2023-07-16-primary-hotspot-N80,2,-0.03975000000000001
2023-07-16-primary-hotspot-N80,3,-0.16418750000000001
2023-07-16-hub-uniform-N10,0,0.030000000000000016
2023-07-16-hub-uniform-N10,1,0.538
2023-07-16-hub-uniform-N10,2,-0.2659999999999999
2023-07-16-hub-uniform-N10,3,-0.8779999999999999
2023-07-16-hub-uniform-N20,0,-0.3585
2023-07-16-hub-uniform-N20,1,0.7724999999999999
2023-07-16-hub-uniform-N20,2,-1.0
2023-07-16-hub-uniform-N20,3,0.808
