cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,block_size,block_count,block_mean_difference,block_standard_error,block_simultaneous_critical,block_ci_low,block_ci_high,block_ci_halfwidth,censored_count,runtime_seconds,raw_file,raw_sha256
2020-10-14-primary-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,10,202607230000,31,42,978,894,20,257.75,234.05,23.7,0.10126041444135868,0.237,23.32686501823482,3.865530558367775,-0.6647070955890695,1.1387070955890695,0.9017070955890695,191.0,229.5,336.70000000000005,143.7,215.0,321.4,529,5,4,0.23700000000000007,0.3318056660155158,12.746788173124813,-3.9924565393423785,4.466456539342379,4.229456539342379,0,0.06054459999995743,raw/01-2020-10-14-primary-uniform-N10.npz,6a2b7f20e7a0d2e21919b89852b52cf23bd10c384e5108414ce4d9a6dece2933
2020-10-14-primary-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,20,202607230001,31,42,978,894,20,1092.2,1056.35,35.85,0.033937615373692435,0.08962500000000001,119.18855638728161,3.865530558367775,-1.0621925173069442,1.2414425173069443,1.1518175173069443,700.7,1063.5,1450.5,742.0,1030.5,1506.1000000000001,2130,5,4,0.089625,0.17078280248608177,12.746788173124813,-2.087307206902698,2.266557206902698,2.176932206902698,0,0.06988659999979063,raw/02-2020-10-14-primary-uniform-N20.npz,23140f8243c96921f076283f44accf6f010f0be2a598233f44b895f25e08d11a
2020-10-14-primary-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,40,202607230002,31,42,978,894,20,4069.05,4241.55,-172.5,-0.04066909502422463,-0.1078125,344.60931731302236,3.865530558367775,-0.9403736542323406,0.7247486542323407,0.8325611542323407,3177.7,3959.5,4768.300000000003,2653.4,4515.0,5652.0,7373,5,4,-0.1078125,0.21157944294539427,12.746788173124813,-2.804770841012688,2.5891458410126877,2.696958341012688,0,0.11135019999983342,raw/03-2020-10-14-primary-uniform-N40.npz,a039feb5f2181b18e8c14595a1730ea3e182eb2444a9e3e725c6705ae154c6f0
2020-10-14-primary-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,80,202607230003,31,42,978,894,20,16197.0,16609.45,-412.45,-0.024832249111198742,-0.0644453125,1759.9522473710235,3.865530558367775,-1.1274373739813643,0.9985467489813644,1.0629920614813644,11173.7,15294.0,22052.300000000003,12042.7,14625.0,22553.000000000007,31095,5,4,-0.06444531249999999,0.4206179261986833,12.746788173124813,-5.425972919573662,5.297082294573662,5.361527607073662,0,0.2793316999996023,raw/04-2020-10-14-primary-uniform-N80.npz,6f5456b6695b1f1eb4d387b667f525ae3af8ba1b4de6def75e0176899599f1a2
2020-10-14-primary-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,10,202607230010,31,42,978,894,20,253.65,256.4,-2.75,-0.010725429017160688,-0.0275,27.225169759269686,3.865530558367775,-1.0798972566120721,1.024897256612072,1.052397256612072,158.9,243.0,362.30000000000007,178.8,238.0,331.20000000000005,460,5,4,-0.027500000000000024,0.1495891595894123,12.746788173124813,-1.934281330282001,1.8792813302820008,1.906781330282001,0,0.06511689999979353,raw/05-2020-10-14-primary-hotspot-N10.npz,7584e8e7fc555b5aea5c3c5ca5affd4c11619d28200873a03f2d0b9fe2b9c01c
2020-10-14-primary-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,20,202607230011,31,42,978,894,20,854.15,891.8,-37.65,-0.04221798609553712,-0.094125,67.47047209900904,3.865530558367775,-0.7461479292155496,0.5578979292155496,0.6520229292155496,596.8,847.5,1110.8000000000002,579.8,883.5,1162.9000000000003,1421,5,4,-0.09412499999999999,0.21317220884768256,12.746788173124813,-2.8113859905785326,2.6231359905785325,2.7172609905785325,0,0.07636180000008608,raw/06-2020-10-14-primary-hotspot-N20.npz,41fd98b601b31f60af95d13582ed6bf45d0fc3b0500898ce1c910f1120837065
2020-10-14-primary-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,40,202607230012,31,42,978,894,20,2717.6,2899.75,-182.15,-0.06281575997930856,-0.11384375000000001,189.39928965297793,3.865530558367775,-0.5714242136792098,0.3437367136792098,0.45758046367920985,2103.0,2660.0,3195.8,2090.3,2980.5,3906.3,4472,5,4,-0.11384375,0.03552421324339921,12.746788173124813,-0.5666633712305249,0.33897587123052486,0.4528196212305249,0,0.11375709999992978,raw/07-2020-10-14-primary-hotspot-N40.npz,e0c2f2b153e5731512ca54b21c0ff2ea6aedad9f20971b4132dde35110123411
2020-10-14-primary-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,80,202607230013,31,42,978,894,20,7854.95,7596.95,258.0,0.0339609975055779,0.0403125,457.64175255783914,3.865530558367775,-0.23609815301520484,0.3167231530152048,0.27641065301520484,5798.9,8096.5,9088.7,5799.9,7280.5,9233.800000000001,9924,5,4,0.04031250000000001,0.08269511531133,12.746788173124813,-1.013784617825654,1.094409617825654,1.054097117825654,0,0.16937319999988176,raw/08-2020-10-14-primary-hotspot-N80.npz,2a895cf226de9f64d8a74830e427c19e2aa71c426999187eefac56e110481cc4
2020-10-14-hub-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,10,202607230100,31,33,936,870,20,253.85,242.65,11.2,0.046157016278590556,0.11199999999999999,32.77174649635037,3.865530558367775,-1.154801875327244,1.3788018753272442,1.266801875327244,167.7,240.5,381.80000000000007,147.3,227.0,357.20000000000005,523,5,4,0.11200000000000007,0.31696792687378744,12.746788173124813,-3.928323021534684,4.152323021534684,4.040323021534684,0,0.044889599999805796,raw/09-2020-10-14-hub-uniform-N10.npz,3d2bc2f88c824348701645510621684d68353847b2fa3c76db87149156430770
2020-10-14-hub-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,20,202607230101,31,33,936,870,20,1078.1,1208.5,-130.4,-0.10790235829540754,-0.326,113.08314128156,3.865530558367775,-1.4188158456502267,0.7668158456502265,1.0928158456502266,633.8,1064.5,1452.8000000000002,865.7,1233.0,1526.3000000000002,2048,5,4,-0.326,0.5455375407186323,12.746788173124813,-7.2798514720278575,6.627851472027858,6.953851472027858,0,0.05384920000005877,raw/10-2020-10-14-hub-uniform-N20.npz,40747f84f361f9a3f75d4ad4123c01a6d12398cbc1cebb79d249f37d68f83bcf
2020-10-14-hub-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,40,202607230102,31,33,936,870,20,4313.8,3805.4,508.4,0.13359962159037156,0.31775,388.7204813636386,3.865530558367775,-0.62138181210911,1.25688181210911,0.93913181210911,2703.3,3825.5,6149.000000000001,2560.3,3685.5,4994.000000000001,8885,5,4,0.31775,0.2633863557510778,12.746788173124813,-3.039580084450283,3.6750800844502836,3.3573300844502834,0,0.08643089999986842,raw/11-2020-10-14-hub-uniform-N40.npz,21e7da57a137055c1b43c49eee501e885ca1a7a94c4b3ceae92119849acae6dd
