cell_id,snapshot,snapshot_sha256,date,mode,demand_kind,scale,seed,node_count,channel_count,route_count,multi_channel_route_count,repetitions,mean_correlated,mean_proxy,mean_difference,relative_mean_difference,normalized_mean_difference,paired_standard_error,simultaneous_critical,normalized_ci_low,normalized_ci_high,normalized_ci_halfwidth,correlated_q10,correlated_median,correlated_q90,proxy_q10,proxy_median,proxy_q90,maximum_stopping_time,censored_count,runtime_seconds
2020-10-14-primary-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,10,202607220000,31,42,978,894,2000,256.423,256.006,0.417,0.0016288680734045297,0.00417,2.703235986350239,3.2838500376251365,-0.08460021595485856,0.09294021595485855,0.08877021595485855,152.9,249.0,372.0,155.0,246.0,371.0,653,0,0.47732360000009066
2020-10-14-primary-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,20,202607220001,31,42,978,894,2000,1052.7905,1052.8385,-0.048,-4.5591037941716606e-05,-0.00012,10.781922081423373,3.2838500376251365,-0.08863553808188357,0.08839553808188358,0.08851553808188357,655.9,1009.0,1482.0,645.0,1016.0,1492.0,2788,0,1.6787991000001057
2020-10-14-primary-uniform-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,40,202607220002,31,42,978,894,2000,4260.297,4222.9675,37.3295,0.008839637056169625,0.023330937500000003,42.48777541828793,3.2838500376251365,-0.06387123931622071,0.11053311431622073,0.08720217681622072,2640.9,4128.5,6046.400000000001,2742.0,4053.5,5914.700000000001,10587,0,6.378083699999934
2020-10-14-primary-uniform-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,uniform,80,202607220003,31,42,978,894,2000,16666.6115,17069.137,-402.5255,-0.023582065103818668,-0.06289460937500001,166.5182991480229,3.2838500376251365,-0.148335409831642,0.022546191081641978,0.08544080045664199,10445.1,16074.0,23490.1,10597.0,16433.5,24640.000000000004,41561,0,25.5388825
2020-10-14-primary-hotspot-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,10,202607220010,31,42,978,894,2000,252.552,252.712,-0.16,-0.0006331317863813354,-0.0016,2.571383519936943,3.2838500376251365,-0.08604037868693587,0.08284037868693586,0.08444037868693587,158.0,243.0,363.0,156.0,244.0,359.0,622,0,0.45613360000015746
2020-10-14-primary-hotspot-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,20,202607220011,31,42,978,894,2000,906.936,910.366,-3.43,-0.003767715402376627,-0.008575000000000001,8.027638384918662,3.2838500376251365,-0.07447890153089035,0.05732890153089035,0.06590390153089035,599.9,889.0,1237.0,589.0,896.0,1270.0,2105,0,1.3825898000000052
2020-10-14-primary-hotspot-N40,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,40,202607220012,31,42,978,894,2000,2803.097,2823.2725,-20.1755,-0.00714613980761687,-0.0126096875,21.026638000466843,3.2838500376251365,-0.05576489124310198,0.030545516243101978,0.04315520374310198,2007.9,2771.0,3660.1000000000013,2010.7,2769.5,3705.1000000000004,6303,0,4.20969950000017
2020-10-14-primary-hotspot-N80,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,primary,hotspot,80,202607220013,31,42,978,894,2000,7590.192,7542.187,48.005,0.006364864726902158,0.0075007812500000005,45.53732891980024,3.2838500376251365,-0.0158644936385366,0.0308660561385366,0.0233652748885366,5730.9,7578.0,9466.300000000001,5693.7,7512.5,9445.900000000001,13510,0,11.161376199999722
2020-10-14-hub-uniform-N10,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,10,202607220100,31,33,936,870,2000,247.237,246.472,0.765,0.0031038008374176377,0.0076500000000000005,2.5773092847142998,3.2838500376251365,-0.07698497191580665,0.09228497191580666,0.08463497191580666,149.0,239.0,354.0,153.0,236.0,357.10000000000014,673,0,0.3717146999997567
2020-10-14-hub-uniform-N20,20201014.gml.geo,900dbdce07298a65bafcc793bb18efbcd4bd43875a412c4195213dda41bce802,2020-10-14,hub,uniform,20,202607220101,31,33,936,870,2000,1011.3295,1010.3295,1.0,0.0009897761076955586,0.0025,10.084121540998343,3.2838500376251365,-0.08028685725455964,0.08528685725455964,0.08278685725455964,638.0,970.0,1427.1000000000001,628.9,979.0,1435.1000000000001,2867,0,1.358659699999862
