date,mode,demand_kind,edge_count,route_count,mean_route_length,second_moment_route_length,multi_channel_probability,maximum_absolute_drift,drift_l1,drift_l2,cross_covariance_frobenius,cross_covariance_spectral,positive_cross_covariance_mass,negative_cross_covariance_mass,maximum_absolute_cross_covariance
2020-10-14,primary,uniform,42,978,1.9096774193548394,3.7290322580645165,0.9096774193548389,1.214306433183765e-17,2.1131100341742481e-16,3.9964139168994164e-17,0.061937723973826526,0.05981211960521025,0.9010752688172045,0.9182795698924733,0.002150537634408603
2020-10-14,primary,hotspot,42,978,1.8413752446438683,3.524125733931604,0.8413752446438677,0.008507191148805993,0.12035558412791603,0.02251509871794589,0.05733561327501475,0.055054188059610244,0.8343837060165284,0.8526295684634875,0.0023138375569454746
2020-10-14,hub,uniform,33,936,1.9290322580645158,3.787096774193549,0.9290322580645164,1.214306433183765e-17,2.229119666630197e-16,4.2856579579719236e-17,0.06310279892955359,0.061761818597844305,5.702558194709081e-34,1.8580645161290326,0.002150537634408603
2020-10-14,hub,hotspot,33,936,1.8453264828303866,3.5359794484911573,0.8453264828303851,0.005212163255867717,0.09417172505491925,0.0180321915130681,0.05766218229487387,0.05636840113181562,0.00010737892267345065,1.697254103133218,0.0022038699677240756
2022-05-31,primary,uniform,30,930,1.9956989247311832,4.107526881720431,0.9354838709677422,1.214306433183765e-17,2.1640675362810669e-16,4.172136185094685e-17,0.11211707869021141,0.07045539732160223,0.24086021505376348,1.8709677419354844,0.06236559139784948
2022-05-31,primary,hotspot,30,930,1.904091778869379,3.8208665522086473,0.8497961710691243,0.0030704792579812094,0.0918074940201465,0.016764393923985658,0.10503208828514157,0.06577343293691366,0.22388676620941333,1.7010016359333742,0.0593868006562604
2022-05-31,hub,uniform,36,948,1.9225806451612903,3.7677419354838717,0.9225806451612906,1.214306433183765e-17,2.233456475320139e-16,4.2007762609479903e-17,0.06266151520143426,0.06098927943026309,0.01075268817204301,1.8344086021505381,0.002150537634408603
2022-05-31,hub,hotspot,36,948,1.84541753053083,3.5362525915924903,0.8454175305308301,0.006382574051272814,0.09878888442952027,0.019137949253298307,0.05759646870908897,0.05589931322718361,0.0111563104057452,1.6854643443361506,0.0022477850828421498
2023-07-16,primary,uniform,30,930,1.935483870967742,3.806451612903227,0.9354838709677422,1.214306433183765e-17,2.229119666630197e-16,4.2292223921321433e-17,0.06343174711291452,0.062365591397849474,0.0,1.8709677419354844,0.002150537634408602
2023-07-16,primary,hotspot,30,930,1.8435210497539631,3.53056314926189,0.843521049753964,0.0030654273737926144,0.09196282121377813,0.016790037210200306,0.05747325094443644,0.05650724515480081,0.0,1.6952173546440243,0.001948525694993198
2023-07-16,hub,uniform,31,930,1.9333333333333336,3.8000000000000007,0.9333333333333336,1.214306433183765e-17,2.198762005800603e-16,4.20759852158738e-17,0.06335879510819885,0.06222655707620029,7.335084749131074e-36,1.8666666666666671,0.002150537634408602
2023-07-16,hub,hotspot,31,930,1.844491450731536,3.5334743521946077,0.8444914507315355,0.0031793142957870627,0.08919971796227712,0.016823825626986165,0.05759410013178715,0.05655344045166712,9.697523384327487e-22,1.696592740458571,0.0020392008633870694
2026-07-22,primary,uniform,109,1850,1.8279569892473113,3.608602150537633,0.7655913978494624,1.984089975648473e-17,1.3164924879405238e-16,2.9827502056282827e-17,0.0733526245074215,0.04203900121862948,0.886130118388183,0.8945150429021397,0.03369175627240144
2026-07-22,primary,hotspot,109,1850,1.793795022877654,3.4957058468166022,0.7366346337858332,0.0055326699623837825,0.08507881284758627,0.014107348757773829,0.06766163145563146,0.038648074357242566,0.8413031272665284,0.8647590023279079,0.030262239879793665
2026-07-22,hub,uniform,34,934,1.9268817204301074,3.780645161290323,0.9268817204301079,1.214306433183765e-17,2.1640675362810669e-16,4.126810167031348e-17,0.06306614321985024,0.06168462520024245,7.857944636376828e-34,1.8537634408602153,0.002150537634408603
2026-07-22,hub,hotspot,34,934,1.8460673847096565,3.5382021541289705,0.8460673847096571,0.0034775828197514485,0.09012681614308463,0.01737310596083572,0.05779478347212357,0.05646448723606572,2.8956965827663176e-05,1.6983525713149008,0.002211021660717557
