experiment_id,stage,regime,alpha,scale_low,scale_high,effective_exponent,simultaneous_ci_low,simultaneous_ci_high,target_exponent,bootstrap_repetitions,family_size
network-phase-closure-20260728,primary,zero,,25,50,2.0045726929348793,1.9642045891304158,2.0454749686804807,2.0,10000,16
network-phase-closure-20260728,primary,zero,,50,100,1.9823740203539788,1.9400282095440646,2.022754945289891,2.0,10000,16
network-phase-closure-20260728,primary,zero,,100,200,2.033746016382267,1.9962391343888446,2.0724179819245245,2.0,10000,16
network-phase-closure-20260728,primary,zero,,200,400,1.9865082707541428,1.9446287229349692,2.0284119093872968,2.0,10000,16
network-phase-closure-20260728,primary,drift,0.5,100,200,1.5269364967704113,1.5126446064062942,1.5409820673079073,1.5,10000,16
network-phase-closure-20260728,primary,drift,0.5,200,400,1.527413038060279,1.5152915848315016,1.5398464362729787,1.5,10000,16
network-phase-closure-20260728,primary,drift,0.5,400,800,1.5177159560031874,1.5062447064849647,1.5286507331306434,1.5,10000,16
network-phase-closure-20260728,primary,drift,0.5,800,1600,1.5142084134252647,1.5054976288290802,1.522985806226874,1.5,10000,16
network-phase-closure-20260728,primary,critical,1.0,25,50,1.9724178209553178,1.9403916644325667,2.005140675202127,2.0,10000,16
network-phase-closure-20260728,primary,critical,1.0,50,100,2.0030392670413373,1.9695752868469723,2.0364970804430333,2.0,10000,16
network-phase-closure-20260728,primary,critical,1.0,100,200,2.012501705787776,1.976733239313989,2.0482643315211635,2.0,10000,16
network-phase-closure-20260728,primary,critical,1.0,200,400,1.9982192226156945,1.9641767195422748,2.033413917863124,2.0,10000,16
network-phase-closure-20260728,primary,fair,2.0,25,50,1.9760036847143947,1.9351781773279946,2.015412173331693,2.0,10000,16
network-phase-closure-20260728,primary,fair,2.0,50,100,2.002292829114617,1.9590486184202227,2.0460458542109965,2.0,10000,16
network-phase-closure-20260728,primary,fair,2.0,100,200,2.02745465571456,1.979077564591814,2.0760754633471445,2.0,10000,16
network-phase-closure-20260728,primary,fair,2.0,200,400,1.9889493617419058,1.9424705771371902,2.035317326607836,2.0,10000,16
network-phase-closure-20260728,replication,zero,,25,50,2.0033872216711774,1.9670266400963812,2.0394909526531713,2.0,10000,16
network-phase-closure-20260728,replication,zero,,50,100,2.016626950415924,1.9794247758386665,2.0524140632893904,2.0,10000,16
network-phase-closure-20260728,replication,zero,,100,200,1.9817580239636383,1.9427972905903443,2.0228851882787104,2.0,10000,16
network-phase-closure-20260728,replication,zero,,200,400,2.0058482502031647,1.9672365908705756,2.044046318393059,2.0,10000,16
network-phase-closure-20260728,replication,drift,0.5,100,200,1.5248516467793318,1.509391145060903,1.539753971796397,1.5,10000,16
network-phase-closure-20260728,replication,drift,0.5,200,400,1.5222100287105411,1.5111264373862803,1.533705132814046,1.5,10000,16
network-phase-closure-20260728,replication,drift,0.5,400,800,1.5164881279214415,1.5072525037283895,1.5248858912614982,1.5,10000,16
network-phase-closure-20260728,replication,drift,0.5,800,1600,1.5206655671410743,1.5120095836823173,1.5297769268906185,1.5,10000,16
network-phase-closure-20260728,replication,critical,1.0,25,50,2.0080994623736883,1.966978690991122,2.0490164692595494,2.0,10000,16
network-phase-closure-20260728,replication,critical,1.0,50,100,2.002264982234698,1.9684638780332497,2.0382190398623274,2.0,10000,16
network-phase-closure-20260728,replication,critical,1.0,100,200,1.9891157560807444,1.9564370844001242,2.022146647222097,2.0,10000,16
network-phase-closure-20260728,replication,critical,1.0,200,400,1.986881268485348,1.9545189017068163,2.0188177284037545,2.0,10000,16
network-phase-closure-20260728,replication,fair,2.0,25,50,1.9912613325370363,1.9458926626011532,2.0363596065469314,2.0,10000,16
network-phase-closure-20260728,replication,fair,2.0,50,100,2.0196037107609333,1.9743422907102854,2.0647172041252673,2.0,10000,16
network-phase-closure-20260728,replication,fair,2.0,100,200,2.003352734317991,1.9613570356833947,2.045333544540106,2.0,10000,16
network-phase-closure-20260728,replication,fair,2.0,200,400,1.9986543849259322,1.9596123920887139,2.0372256047267205,2.0,10000,16
