experiment_id,pipeline_version,regime,regime_label_cn,regime_id,alpha,scale,amplitude,forward_route,reverse_route,kernel_sha256,minimum_probability,probability_sum_error,reverse_increment_error,scaled_drift_vector_json,expected_scaled_drift_vector_json,scaled_drift_error,float64_direct_scaled_drift_error,raw_second_moment_error,covariance_identity_error,minimum_normal_variance,initial_scale_error,initial_capacity_error,deterministic_gate_pass,stage,seed,repetitions
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,25,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,primary,202607280025,8000
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,50,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,primary,202607280050,8000
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,100,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,primary,202607280100,8000
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,200,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,primary,202607280200,8000
network-phase-closure-20260728,1.0,zero,零漂移基线,0,,400,0.0,0->2->3,3->2->0,31864c3b02ec5943c71c29c09da0c0d6b686cac719d509edb3f5df4c82711f1a,0.05,2.220446049250313e-16,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0,True,primary,202607280400,8000
network-phase-closure-20260728,1.0,drift,漂移主导,1,0.5,100,0.4,0->2->3,3->2->0,43b8b5a1df3d13df93e610353740cbb7596e5907c43feba41ef4e3521aa6e205,0.009999999999999995,2.220446049250313e-16,0.0,"[-0.8000000000000002,0.0,0.8000000000000002,-0.8000000000000002,0.8000000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.1102230246251565e-16,1.3877787807814457e-16,0.0,1.1102230246251565e-16,0.39359999999999984,0.0,0,True,primary,202607290100,8000
network-phase-closure-20260728,1.0,drift,漂移主导,1,0.5,200,0.4,0->2->3,3->2->0,2eaee1e11f45371d749494c68335e51130402f8381b61a5085a0958ea1ba615e,0.0217157287525381,2.220446049250313e-16,0.0,"[-0.7999999999999999,0.0,0.7999999999999999,-0.7999999999999999,0.7999999999999999,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.1102230246251565e-16,4.440892098500626e-16,0.0,5.551115123125783e-17,0.39679999999999993,0.0,0,True,primary,202607290200,8000
network-phase-closure-20260728,1.0,drift,漂移主导,1,0.5,400,0.4,0->2->3,3->2->0,75f71dbecd6441b33f8ab20abcee1094adccd0676fb8fbd4a3b37900693707fb,0.03,2.220446049250313e-16,0.0,"[-0.8000000000000002,0.0,0.8000000000000002,-0.8000000000000002,0.8000000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.1102230246251565e-16,1.2212453270876722e-15,0.0,3.3306690738754696e-16,0.3984000000000001,0.0,0,True,primary,202607290400,8000
network-phase-closure-20260728,1.0,drift,漂移主导,1,0.5,800,0.4,0->2->3,3->2->0,aa41a3ca6cb3050db0a0ec1a42cbdd9a6023ca55aa326d97f61322174f2d741c,0.035857864376269054,2.220446049250313e-16,0.0,"[-0.8000000000000002,0.0,0.8000000000000002,-0.8000000000000002,0.8000000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.1102230246251565e-16,1.3322676295501878e-15,5.551115123125783e-17,2.220446049250313e-16,0.3991999999999999,0.0,0,True,primary,202607290800,8000
network-phase-closure-20260728,1.0,drift,漂移主导,1,0.5,1600,0.4,0->2->3,3->2->0,73c479cdd9fc2ab9bc3059950ba54fdd27e48b9cf06f6fad8626672015d8b035,0.04,2.220446049250313e-16,0.0,"[-0.8000000000000002,0.0,0.8000000000000002,-0.8000000000000002,0.8000000000000002,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",1.1102230246251565e-16,1.7763568394002505e-15,5.551115123125783e-17,2.7755575615628914e-16,0.3996000000000001,0.0,0,True,primary,202607291600,8000
network-phase-closure-20260728,1.0,critical,临界扩散,2,1.0,25,0.4,0->2->3,3->2->0,439a479d4194f2a0202c9052a664b8e6f1d1469bd58cb204e49a902425c05d64,0.034,2.220446049250313e-16,0.0,"[-0.8,0.0,0.8,-0.8,0.8,0.0]","[-0.8,0.0,0.8,-0.8,0.8,0.0]",0.0,1.3322676295501878e-15,0.0,2.7755575615628914e-16,0.39897599999999966,0.0,0,True,primary,202607300025,8000
