experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,primary,zero,,25,202607280025,0,200,595.835,0.9533360000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,1,200,618.375,0.9894
network-phase-closure-20260728,primary,zero,,25,202607280025,2,200,617.35,0.9877600000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,3,200,632.935,1.0126959999999998
network-phase-closure-20260728,primary,zero,,25,202607280025,4,200,633.125,1.013
network-phase-closure-20260728,primary,zero,,25,202607280025,5,200,595.09,0.9521440000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,6,200,606.99,0.971184
network-phase-closure-20260728,primary,zero,,25,202607280025,7,200,583.745,0.933992
network-phase-closure-20260728,primary,zero,,25,202607280025,8,200,589.015,0.9424239999999999
network-phase-closure-20260728,primary,zero,,25,202607280025,9,200,613.885,0.982216
network-phase-closure-20260728,primary,zero,,25,202607280025,10,200,599.02,0.958432
network-phase-closure-20260728,primary,zero,,25,202607280025,11,200,587.095,0.9393520000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,12,200,632.595,1.012152
network-phase-closure-20260728,primary,zero,,25,202607280025,13,200,605.28,0.968448
network-phase-closure-20260728,primary,zero,,25,202607280025,14,200,595.01,0.952016
network-phase-closure-20260728,primary,zero,,25,202607280025,15,200,599.345,0.958952
network-phase-closure-20260728,primary,zero,,25,202607280025,16,200,587.95,0.9407200000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,17,200,545.335,0.8725360000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,18,200,633.565,1.0137040000000002
network-phase-closure-20260728,primary,zero,,25,202607280025,19,200,594.46,0.9511360000000001
network-phase-closure-20260728,primary,zero,,25,202607280025,20,200,582.83,0.932528
network-phase-closure-20260728,primary,zero,,25,202607280025,21,200,595.335,0.952536
network-phase-closure-20260728,primary,zero,,25,202607280025,22,200,646.07,1.0337120000000002
network-phase-closure-20260728,primary,zero,,25,202607280025,23,200,583.43,0.9334879999999999
