experiment_id,stage,regime,alpha,scale,seed,block,block_size,mean_tau,normalized_mean
network-phase-closure-20260728,replication,zero,,25,202608280025,0,200,619.4,0.9910399999999999
network-phase-closure-20260728,replication,zero,,25,202608280025,1,200,653.4,1.04544
network-phase-closure-20260728,replication,zero,,25,202608280025,2,200,617.58,0.9881280000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,3,200,629.85,1.00776
network-phase-closure-20260728,replication,zero,,25,202608280025,4,200,657.33,1.051728
network-phase-closure-20260728,replication,zero,,25,202608280025,5,200,576.995,0.923192
network-phase-closure-20260728,replication,zero,,25,202608280025,6,200,657.23,1.051568
network-phase-closure-20260728,replication,zero,,25,202608280025,7,200,564.575,0.9033200000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,8,200,628.21,1.005136
network-phase-closure-20260728,replication,zero,,25,202608280025,9,200,580.705,0.9291280000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,10,200,609.375,0.975
network-phase-closure-20260728,replication,zero,,25,202608280025,11,200,598.96,0.9583360000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,12,200,640.985,1.025576
network-phase-closure-20260728,replication,zero,,25,202608280025,13,200,600.24,0.960384
network-phase-closure-20260728,replication,zero,,25,202608280025,14,200,624.835,0.9997360000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,15,200,587.13,0.939408
network-phase-closure-20260728,replication,zero,,25,202608280025,16,200,571.81,0.9148959999999999
network-phase-closure-20260728,replication,zero,,25,202608280025,17,200,605.47,0.9687520000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,18,200,594.11,0.950576
network-phase-closure-20260728,replication,zero,,25,202608280025,19,200,595.175,0.9522799999999999
network-phase-closure-20260728,replication,zero,,25,202608280025,20,200,581.365,0.930184
network-phase-closure-20260728,replication,zero,,25,202608280025,21,200,592.15,0.94744
network-phase-closure-20260728,replication,zero,,25,202608280025,22,200,595.315,0.9525040000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,23,200,573.825,0.91812
network-phase-closure-20260728,replication,zero,,25,202608280025,24,200,639.99,1.023984
network-phase-closure-20260728,replication,zero,,25,202608280025,25,200,595.71,0.9531360000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,26,200,573.775,0.91804
network-phase-closure-20260728,replication,zero,,25,202608280025,27,200,580.24,0.928384
network-phase-closure-20260728,replication,zero,,25,202608280025,28,200,568.025,0.90884
network-phase-closure-20260728,replication,zero,,25,202608280025,29,200,625.22,1.0003520000000001
network-phase-closure-20260728,replication,zero,,25,202608280025,30,200,604.165,0.966664
