alpha,scale,repetitions,seed,mean,sd,q10,q50,q90,normalizer,normalized_mean,normalized_q10,normalized_q50,normalized_q90
0.5,10,2000,2026072510,97.224,58.871748448493456,39.0,82.0,171.10000000000014,31.622776601683793,3.0744928323221052,1.2332882874656679,2.5930676813380713,5.410657076548102
0.5,20,2000,2026072520,373.4015,235.3866749438476,141.0,312.0,674.0,89.44271909999159,4.174755684501938,1.5764279241373516,3.488266044899672,7.535549084174291
0.5,40,2000,2026072540,1539.7675,941.6919471384485,599.9,1310.0,2791.1000000000004,252.98221281347034,6.086465458879144,2.3713129604187633,5.178229668525721,11.032791471619957
0.5,80,2000,2026072580,6014.9065,3635.4088865826457,2375.2,5106.0,10846.2,715.5417527999327,8.406087382690837,3.3194429125984373,7.135851933196204,15.158025310973887
1.0,10,2000,2026073010,95.593,56.701321597785245,37.0,84.0,169.10000000000014,100.0,0.9559300000000001,0.37,0.84,1.6910000000000014
1.0,20,2000,2026073020,380.97,228.9853188265987,146.0,325.0,688.2000000000003,400.0,0.9524250000000001,0.365,0.8125,1.7205000000000006
1.0,40,2000,2026073040,1541.8995,920.9070394385059,595.9,1328.0,2785.1000000000004,1600.0,0.9636871875,0.3724375,0.83,1.7406875000000002
1.0,80,2000,2026073080,6217.912,3926.9972933689505,2395.9,5199.5,11246.100000000002,6400.0,0.9715487500000001,0.374359375,0.812421875,1.7572031250000004
1.5,10,2000,2026073510,96.901,60.76933153184601,38.0,83.0,174.10000000000014,100.0,0.9690099999999999,0.38,0.83,1.7410000000000014
1.5,20,2000,2026073520,385.2765,231.40201921115016,153.9,327.0,709.0,400.0,0.9631912499999999,0.38475000000000004,0.8175,1.7725
1.5,40,2000,2026073540,1569.169,951.7932588765385,612.9,1358.0,2810.600000000001,1600.0,0.9807306250000001,0.3830625,0.84875,1.7566250000000005
1.5,80,2000,2026073580,6133.0945,3607.8065045754574,2363.7,5338.0,10841.5,6400.0,0.958296015625,0.36932812499999995,0.8340625,1.693984375
