scale,normalized_time,correlated_survival,proxy_survival,difference
10,0.0,1.0,1.0,0.0
10,0.05,1.0,1.0,0.0
10,0.1,1.0,1.0,0.0
10,0.15,0.998,0.999,-0.0010000000000000009
10,0.2,0.988,0.9895,-0.0015000000000000568
10,0.25,0.9725,0.9725,0.0
10,0.3,0.9525,0.953,-0.0004999999999999449
10,0.35,0.9255,0.9235,0.0020000000000000018
10,0.4,0.8915,0.881,0.010499999999999954
10,0.45,0.8445,0.8305,0.014000000000000012
10,0.5,0.799,0.784,0.015000000000000013
10,0.55,0.7655,0.734,0.03149999999999997
10,0.6,0.7075,0.6815,0.026000000000000023
10,0.65,0.6565,0.627,0.02949999999999997
10,0.7,0.6115,0.586,0.025500000000000078
10,0.75,0.5685,0.542,0.026499999999999968
10,0.8,0.525,0.504,0.02100000000000002
10,0.85,0.489,0.459,0.02999999999999997
10,0.9,0.45,0.4215,0.028500000000000025
10,0.95,0.4145,0.39,0.024499999999999966
10,1.0,0.3835,0.3565,0.027000000000000024
10,1.05,0.355,0.324,0.030999999999999972
10,1.1,0.325,0.2925,0.03250000000000003
10,1.15,0.2955,0.2635,0.03199999999999997
10,1.2,0.262,0.2475,0.014500000000000013
10,1.25,0.2415,0.2225,0.01899999999999999
10,1.3,0.2185,0.2045,0.014000000000000012
10,1.35,0.202,0.181,0.02100000000000002
10,1.4,0.1855,0.1645,0.02099999999999999
10,1.45,0.1695,0.145,0.024500000000000022
10,1.5,0.153,0.133,0.01999999999999999
10,1.55,0.1405,0.118,0.02250000000000002
10,1.6,0.1295,0.1055,0.024000000000000007
10,1.65,0.1195,0.0945,0.024999999999999994
10,1.7,0.107,0.082,0.024999999999999994
10,1.75,0.0945,0.0775,0.017
10,1.8,0.089,0.0705,0.018500000000000003
10,1.85,0.0825,0.06,0.022500000000000006
10,1.9,0.0765,0.054,0.0225
10,1.95,0.071,0.0485,0.022499999999999992
10,2.0,0.0655,0.045,0.020500000000000004
10,2.05,0.059,0.0415,0.017499999999999995
10,2.1,0.051,0.0375,0.013499999999999998
10,2.15,0.049,0.0355,0.013500000000000005
10,2.2,0.045,0.0315,0.013499999999999998
10,2.25,0.043,0.0265,0.016499999999999997
10,2.3,0.0395,0.0235,0.016
10,2.35,0.036,0.021,0.014999999999999996
10,2.4,0.033,0.018,0.015000000000000003
10,2.45,0.0285,0.0175,0.011
10,2.5,0.027,0.016,0.011
10,2.55,0.0245,0.014,0.0105
10,2.6,0.0225,0.0125,0.009999999999999998
10,2.65,0.02,0.0115,0.0085
10,2.7,0.0185,0.0115,0.006999999999999999
10,2.75,0.017,0.011,0.006000000000000002
10,2.8,0.017,0.0095,0.0075000000000000015
10,2.85,0.017,0.0085,0.0085
10,2.9,0.0165,0.0075,0.009000000000000001
10,2.95,0.015,0.007,0.008
10,3.0,0.0145,0.0065,0.008
10,3.05,0.0145,0.0065,0.008
10,3.1,0.013,0.0055,0.0075
10,3.15,0.012,0.005,0.007
10,3.2,0.0115,0.0045,0.007
10,3.25,0.01,0.0035,0.006500000000000001
10,3.3,0.0075,0.003,0.0045
10,3.35,0.0065,0.003,0.0034999999999999996
10,3.4,0.006,0.003,0.003
10,3.45,0.006,0.002,0.004
10,3.5,0.005,0.002,0.003
10,3.55,0.005,0.002,0.003
10,3.6,0.0045,0.002,0.0024999999999999996
10,3.65,0.0045,0.0015,0.0029999999999999996
10,3.7,0.0045,0.001,0.0034999999999999996
10,3.75,0.004,0.001,0.003
10,3.8,0.0035,0.001,0.0025
10,3.85,0.0035,0.001,0.0025
10,3.9,0.003,0.0005,0.0025
10,3.95,0.003,0.0005,0.0025
10,4.0,0.003,0.0,0.003
20,0.0,1.0,1.0,0.0
20,0.05,1.0,1.0,0.0
20,0.1,1.0,1.0,0.0
20,0.15,0.998,0.999,-0.0010000000000000009
20,0.2,0.989,0.9895,-0.000500000000000056
20,0.25,0.972,0.9715,0.0004999999999999449
20,0.3,0.953,0.9435,0.009499999999999953
20,0.35,0.9255,0.9095,0.016000000000000014
20,0.4,0.888,0.8705,0.01749999999999996
20,0.45,0.844,0.818,0.026000000000000023
20,0.5,0.797,0.7655,0.031500000000000083
20,0.55,0.745,0.718,0.027000000000000024
20,0.6,0.6955,0.664,0.03149999999999997
20,0.65,0.655,0.6105,0.044499999999999984
20,0.7,0.6085,0.5635,0.04500000000000004
20,0.75,0.564,0.5115,0.05249999999999999
20,0.8,0.517,0.472,0.04500000000000004
20,0.85,0.4795,0.437,0.04249999999999998
20,0.9,0.4445,0.405,0.03949999999999998
20,0.95,0.4085,0.3675,0.04099999999999998
20,1.0,0.37,0.3355,0.034499999999999975
20,1.05,0.338,0.3065,0.03150000000000003
20,1.1,0.3105,0.278,0.03249999999999997
20,1.15,0.2815,0.2575,0.023999999999999966
20,1.2,0.2595,0.232,0.027499999999999997
20,1.25,0.233,0.2125,0.020500000000000018
20,1.3,0.2175,0.194,0.023499999999999993
20,1.35,0.1985,0.1755,0.02300000000000002
20,1.4,0.1795,0.1605,0.01899999999999999
20,1.45,0.1615,0.149,0.012500000000000011
20,1.5,0.1495,0.1385,0.010999999999999982
20,1.55,0.1385,0.128,0.01050000000000001
20,1.6,0.129,0.1175,0.01150000000000001
20,1.65,0.1185,0.1065,0.011999999999999997
20,1.7,0.1085,0.0975,0.010999999999999996
20,1.75,0.099,0.0905,0.008500000000000008
20,1.8,0.091,0.083,0.007999999999999993
20,1.85,0.0785,0.0745,0.0040000000000000036
20,1.9,0.0715,0.0715,0.0
20,1.95,0.065,0.0645,0.0005000000000000004
20,2.0,0.0575,0.059,-0.0014999999999999944
20,2.05,0.05,0.0525,-0.0024999999999999953
20,2.1,0.0465,0.0465,0.0
20,2.15,0.042,0.0415,0.0005000000000000004
