scale,normalized_time,correlated_survival,proxy_survival,difference
10,0.0,1.0,1.0,0.0
10,0.05,1.0,1.0,0.0
10,0.1,0.99998,0.99998,0.0
10,0.15,0.9985,0.99864,-0.00013999999999991797
10,0.2,0.99068,0.99076,-7.999999999996898e-05
10,0.25,0.9743,0.9744,-9.999999999998899e-05
10,0.3,0.94776,0.94842,-0.0006599999999999939
10,0.35,0.91448,0.91286,0.0016199999999999548
10,0.4,0.87612,0.86984,0.006280000000000063
10,0.45,0.8322,0.82416,0.008040000000000047
10,0.5,0.78542,0.77434,0.011079999999999979
10,0.55,0.73842,0.72442,0.014000000000000012
10,0.6,0.69204,0.6744,0.01763999999999999
10,0.65,0.64554,0.6259,0.01963999999999999
10,0.7,0.59904,0.57826,0.02078000000000002
10,0.75,0.55548,0.53046,0.02501999999999993
10,0.8,0.51258,0.48666,0.025920000000000054
10,0.85,0.47526,0.4457,0.02956000000000003
10,0.9,0.4392,0.40752,0.031679999999999986
10,0.95,0.40446,0.37218,0.032279999999999975
10,1.0,0.37214,0.34086,0.03128000000000003
10,1.05,0.3407,0.30966,0.031040000000000012
10,1.1,0.3119,0.2805,0.031399999999999983
10,1.15,0.28458,0.25418,0.030399999999999983
10,1.2,0.26028,0.23126,0.029020000000000018
10,1.25,0.23842,0.21016,0.02825999999999998
10,1.3,0.21796,0.19116,0.02679999999999999
10,1.35,0.1986,0.17326,0.02534
10,1.4,0.1823,0.1582,0.024099999999999983
10,1.45,0.1676,0.14412,0.02348
10,1.5,0.1521,0.13052,0.021580000000000016
10,1.55,0.1386,0.11848,0.02012
10,1.6,0.12628,0.10784,0.018439999999999998
10,1.65,0.11486,0.0965,0.01836
10,1.7,0.10484,0.08702,0.017820000000000003
10,1.75,0.09532,0.07968,0.01564
10,1.8,0.0871,0.0725,0.014600000000000002
10,1.85,0.07938,0.0656,0.01378
10,1.9,0.07224,0.05924,0.012999999999999998
10,1.95,0.0657,0.05444,0.011259999999999992
10,2.0,0.05966,0.04944,0.01022
10,2.05,0.0544,0.0447,0.0097
10,2.1,0.04922,0.04078,0.008440000000000003
10,2.15,0.04464,0.03712,0.007519999999999999
10,2.2,0.04058,0.034,0.006579999999999996
10,2.25,0.03682,0.03104,0.005779999999999997
10,2.3,0.03356,0.02842,0.005139999999999999
10,2.35,0.0304,0.0253,0.0051
10,2.4,0.0276,0.02286,0.004740000000000001
10,2.45,0.02518,0.0209,0.0042800000000000026
10,2.5,0.0231,0.01864,0.004459999999999999
10,2.55,0.02114,0.01712,0.004019999999999999
10,2.6,0.01938,0.01558,0.0038000000000000013
10,2.65,0.01784,0.0144,0.003440000000000002
10,2.7,0.016,0.01288,0.0031199999999999995
10,2.75,0.01464,0.01152,0.0031199999999999995
10,2.8,0.01316,0.01066,0.0025000000000000005
10,2.85,0.01192,0.00968,0.0022400000000000007
10,2.9,0.01082,0.0089,0.0019199999999999998
10,2.95,0.01002,0.00822,0.0017999999999999995
10,3.0,0.00902,0.00734,0.00168
10,3.05,0.00824,0.00666,0.0015800000000000007
10,3.1,0.00784,0.00594,0.0018999999999999998
10,3.15,0.00718,0.00532,0.0018599999999999997
10,3.2,0.00662,0.0047,0.0019199999999999998
10,3.25,0.00582,0.00428,0.0015399999999999997
10,3.3,0.0053,0.00378,0.00152
10,3.35,0.0049,0.00342,0.00148
10,3.4,0.00442,0.0031,0.0013200000000000004
10,3.45,0.00388,0.0028,0.0010800000000000002
10,3.5,0.00364,0.00254,0.0010999999999999998
10,3.55,0.00334,0.0023,0.0010400000000000001
10,3.6,0.00316,0.00206,0.0010999999999999998
10,3.65,0.00298,0.00178,0.0012000000000000001
10,3.7,0.00272,0.00166,0.0010600000000000002
10,3.75,0.00252,0.00146,0.0010600000000000002
10,3.8,0.00236,0.00126,0.0011
10,3.85,0.00208,0.00102,0.0010599999999999997
10,3.9,0.00192,0.00088,0.0010400000000000001
10,3.95,0.00186,0.00074,0.0011200000000000001
10,4.0,0.0018,0.00066,0.00114
20,0.0,1.0,1.0,0.0
20,0.05,1.0,1.0,0.0
20,0.1,0.99994,0.99998,-3.999999999992898e-05
20,0.15,0.9981,0.99822,-0.00012000000000000899
20,0.2,0.99086,0.99046,0.00039999999999995595
20,0.25,0.97436,0.97366,0.0007000000000000339
20,0.3,0.94904,0.94702,0.0020200000000000218
20,0.35,0.91736,0.91264,0.0047199999999999465
20,0.4,0.88016,0.86952,0.010640000000000094
20,0.45,0.83696,0.8239,0.013060000000000072
20,0.5,0.79228,0.77454,0.017739999999999978
20,0.55,0.74406,0.72372,0.020340000000000025
20,0.6,0.69634,0.67232,0.02401999999999993
20,0.65,0.65,0.62428,0.025720000000000076
20,0.7,0.60354,0.57524,0.028299999999999992
20,0.75,0.55984,0.53028,0.02956000000000003
20,0.8,0.51872,0.48708,0.031639999999999946
20,0.85,0.47868,0.44734,0.03133999999999998
20,0.9,0.44156,0.41006,0.03150000000000003
20,0.95,0.4066,0.37468,0.031920000000000004
20,1.0,0.37304,0.34104,0.03199999999999997
20,1.05,0.3416,0.31164,0.029960000000000042
20,1.1,0.31268,0.28254,0.03014
20,1.15,0.28688,0.25846,0.02842
20,1.2,0.26342,0.2342,0.029219999999999996
20,1.25,0.24156,0.21212,0.029439999999999994
20,1.3,0.22058,0.19252,0.02806
20,1.35,0.20354,0.17524,0.028299999999999992
20,1.4,0.1859,0.15924,0.026660000000000017
20,1.45,0.1694,0.14452,0.024879999999999985
20,1.5,0.15426,0.1304,0.02386000000000002
20,1.55,0.14084,0.11778,0.023059999999999997
20,1.6,0.1282,0.10748,0.020720000000000002
20,1.65,0.11676,0.09806,0.01870000000000001
20,1.7,0.10594,0.0881,0.01784000000000001
20,1.75,0.09642,0.0801,0.01632
