cell_id,k,N,p_bias,seed,repetitions,blocks,paths_per_block,comparisons,censored_count,mean_stopping_time,sd_stopping_time,tstar,theory_correction_coefficient,scaled_correction,correction_ratio,block_correction_ratios,block_standard_error,simultaneous_critical,simultaneous_half_width,simultaneous_ci_low,simultaneous_ci_high,precision_gate_applicable,precision_gate_pass,local_proxy_scaled_absolute_error_mean,local_proxy_scaled_absolute_error_median,local_proxy_scaled_absolute_error_q90,scaled_correction_q10,scaled_correction_q25,scaled_correction_q50,scaled_correction_q75,scaled_correction_q90,gaussian_reference_q10,gaussian_reference_q25,gaussian_reference_q50,gaussian_reference_q75,gaussian_reference_q90,quantile_difference_q10,quantile_difference_q25,quantile_difference_q50,quantile_difference_q75,quantile_difference_q90,reference_seed,reference_sample_size
k3-p1.25-N160,3,160,1.25,72938585270,20000,40,500,36,0,1627.4764,252.24536552583373,1920.0,23.45292057134016,23.12602113380077,0.9860614614480523,"[1.0019126796619449,1.0108522489676695,0.994510230870326,0.900166088438713,1.0436576367818917,1.0178636758741213,0.942059364204759,1.0186052691046115,0.9707253134415185,1.058759171657325,0.9643543534159454,0.9496303569123976,0.9727613239470458,0.9418166609656892,0.9736512358236342,0.9930607531925497,0.9812424538011957,1.0224143616066734,1.055887183328337,0.9653453916421454,0.9542552019679993,1.0046093823182722,1.0033082232865942,0.9918742040237662,0.9752153233643038,0.9913416052491411,0.9799952288226438,0.9513427630991655,0.9687836875289627,0.9718174780173313,1.0355338200297062,1.037097907570376,1.020189581915203,0.9790985751894155,0.9433402979665141,1.0523612446051887,0.9339827397490587,0.9399694196461049,0.9758692737584631,0.9531967461753904]",0.005884993391827328,3.442754621134846,0.020260588195061567,0.9658008732529907,1.0063220496431138,True,True,9.807740917459025,7.273238618387272,21.898772796666027,-2.6958417052935357,9.803060746521975,23.479911626750216,36.998648623970034,48.3828482005762,-6.236485022807598,6.459247857034899,21.726271016857535,38.68558534495799,55.4577006210486,3.540643317514062,3.3438128894870767,1.7536406098926811,-1.6869367209879584,-7.0748524204724035,2026071814,2000000
k3-p1.25-N320,3,320,1.25,72938585271,20000,40,500,36,0,3419.77745,375.75289570864146,3840.0,23.45292057134016,23.491154686957607,1.0016302496527518,"[0.9611606716273898,0.9715816436848905,1.036767541175407,1.0382119851522706,1.0442567210026419,0.983933308186713,1.0011998959233412,1.0331921847970327,0.9998936990597759,1.0074782217237663,0.9797858947877995,0.9445757851735718,1.0192911991979146,1.0447763394629652,0.9800862247235835,1.006095750590795,0.9817308886576346,1.016020939897162,0.9768636368412082,1.009256365629278,0.9405475503206034,1.00243458565934,0.9370770710626614,0.9923949849488655,1.0440660353291278,1.0312328895016836,0.9758482356297501,1.0305559553607122,1.0077737845177126,0.9928001920050814,1.025073742247205,1.073536506170606,0.9346935001437452,0.9565842154630708,0.9614276315703085,1.0490763014006899,1.0318335493732502,1.0163689412513233,1.0376685309827576,0.9880568858764379]",0.005484821679267913,3.442754621134846,0.018882895182400192,0.9827473544703517,1.020513144835152,True,True,8.32694105785599,6.149186938124421,18.559364213248255,-3.0745934690622105,9.391485505499116,23.14330356712282,37.39823692368398,50.70284138980773,-6.236485022807598,6.459247857034899,21.726271016857535,38.68558534495799,55.4577006210486,3.161891553745387,2.932237648464217,1.4170325502652865,-1.287348421274011,-4.7548592312408715,2026071814,2000000
k3-p1.25-N40,3,40,1.25,72938585268,20000,40,500,36,0,341.7547,101.1173969419121,480.0,23.45292057134016,21.85850119066378,0.9320161693369317,"[0.8775205278822042,0.9268701864929952,0.9452482150958662,0.9255083516515495,0.9268027689265868,0.9085865424830953,0.9625071120963609,0.9228790665616304,0.9459628412997929,0.92905451564462,0.908343839244026,0.8700236944976143,0.9406098865269829,0.9394772714113253,0.9421604905543711,0.966673517700387,0.9011840936914771,0.9369154038878144,0.9980766201333189,0.9245375386952721,0.9621295737244752,0.9662150782488111,0.9611317937416343,0.8968424024147901,0.9144788377871709,0.9345962396033729,0.9322905588322131,0.9451807975294576,0.924133033296823,0.9833930741696164,0.9045684555251675,0.9171620569302164,0.9842964695594862,0.9263038789351664,0.9122001240425741,0.9189958147365193,0.9179036501607065,0.9485112253100221,0.8908826895443065,0.9404885349074482]",0.0043944552441305814,3.442754621134846,0.015129031099100817,0.9168871382378309,0.9471452004360325,True,True,12.858042325680842,9.803060746521975,28.302385058506992,0.7747580267412673,12.33288287465668,23.242740802237588,33.3620293147764,41.10960958218893,-6.236485022807598,6.459247857034899,21.726271016857535,38.68558534495799,55.4577006210486,7.011243049548865,5.873635017621781,1.5164697853800533,-5.323556030181592,-14.348091038859671,2026071814,2000000
k3-p1.25-N80,3,80,1.25,72938585269,20000,40,500,36,0,756.9062,162.0311312863528,960.0,23.45292057134016,22.70657713043734,0.9681769509843109,"[0.9787990964273684,0.9415295815391969,0.9314804465450465,0.9118207536058272,1.026260760564825,0.9680062873065164,0.8686876542571221,0.989572836980869,0.9169788010743615,0.9906120739015162,0.9545248101891272,0.9798287990643401,0.8983011393537352,0.9935295647062697,1.0049897736844182,0.9704565982111621,0.9686546185964615,1.0416014229989687,0.9712479437562426,0.9778361337761263,0.9717532607910527,0.9377349366362823,0.9602453803945254,0.940947990234981,0.9719153436135389,0.9763106483880197,0.9913652823118937,0.9821170271464997,1.0367294040407047,0.8903495467682312,0.8893484469822863,0.9435127125437348,1.0331540476623307,0.9641067652831699,0.9481082372754052,0.9549538529545323,1.07513349868628,1.0083744443892786,0.9946450758963221,0.9715530408338635]",0.006869680811933623,3.442754621134846,0.023650625361005862,0.9445263256233051,0.9918275763453167,True,True,11.302093788873812,8.497058314499201,24.932157949122654,-0.7826237921249264,11.068536488623959,23.59051716262278,35.44167744337167,45.28037654437074,-6.236485022807598,6.459247857034899,21.726271016857535,38.68558534495799,55.4577006210486,5.453861230682671,4.60928863158906,1.8642461457652466,-3.2439079015863257,-10.177324076677863,2026071814,2000000
k3-p1.5-N160,3,160,1.5,72938585274,20000,40,500,36,0,856.31405,92.3526002489163,960.0,8.291859587312052,8.197094083958389,0.9885712604807406,"[0.9892582056195725,0.9879615430396815,0.9866076747577377,0.9892772741869235,1.0182424279935915,0.9314804465450466,1.0281199458815793,0.9899065369095177,1.0230667755334772,1.0182996336956451,1.0227807470232078,0.9456865292217864,0.9792472077601244,0.9785988764701795,1.0372156525081637,0.9998031233648571,1.0264037748199601,0.9476124545242707,1.038664863626865,0.9909743766811917,1.0158016513726218,0.9978199923603183,1.021407810173912,1.0139329317721915,0.9613227544498757,0.8992545677213014,0.9105240910259368,1.0248210837298006,1.0023011056878808,0.9793044134621792,0.9971907296377253,1.0160495427481886,0.9612655487478219,0.957985755163393,0.9827748927201203,1.0195390905734816,0.9671577360593829,0.9369149882401757,1.017479685299538,0.9307939781203987]",0.005595837143026031,3.442754621134846,0.019265094183270885,0.9693061662974697,1.0078363546640114,True,True,2.8453186174426275,2.0554804791094465,6.403612261840967,-1.1067971810589328,3.08322071866417,8.063808033429368,13.123452289698774,17.708754896942924,-1.8208478641375372,2.447530660776322,7.635518828792649,13.475063092550695,19.294583954972733,0.7140506830786044,0.6356900578878477,0.4282892046367186,-0.3516108028519209,-1.585829058029809,2026071814,2000000
k3-p1.5-N320,3,320,1.5,72938585275,20000,40,500,36,0,1771.32735,133.40991830554657,1920.0,8.291859587312052,8.311053794875852,1.0023148254455694,"[0.9925348961745663,0.9993305868685114,0.9946922582996277,1.0604918031140151,1.0806496554700624,0.9906741713416999,0.9635318591057661,0.946650500477156,0.9872358754548826,1.081000226815386,0.9274364940508242,1.0045487065085041,0.9942877529011789,1.0056948051374437,1.0021216741178103,1.013973682292369,1.0270122396357118,0.9936944783167873,1.0272279758482175,1.0274706790872874,0.9772580756264712,1.0374349954024173,0.9378322827909655,0.9499809282577212,1.0290887006810838,1.0092679361570773,0.9622239583174477,0.9678330998426077,1.0679886364986058,0.9563316630133721,0.9934113245378734,1.0366529516320826,0.9854965022415527,1.0176277143916923,0.9977395323012778,0.9600935632189489,0.9875999303134875,1.0328640843999417,1.0581456718030107,1.0074611453773379]",0.005949655310086192,3.442754621134846,0.020483203312958713,0.9818316221326107,1.022798028758528,True,True,2.459431602857215,1.7888543819998317,5.590169943749474,-1.118033988749895,3.1863968679372,7.993943019561748,13.192801067248759,18.112150617748295,-1.8208478641375372,2.447530660776322,7.635518828792649,13.475063092550695,19.294583954972733,0.7028138753876423,0.738866207160878,0.3584241907690986,-0.2822620253019359,-1.1824333372244382,2026071814,2000000
k3-p1.5-N40,3,40,1.5,72938585272,20000,40,500,36,0,189.38085,38.93724449326039,240.0,8.291859587312052,8.00359036108561,0.9652346710420009,"[0.9414533072697919,0.9511020023495635,1.0054092821661473,0.9710095866643508,0.9860356177371977,0.9677679302146251,0.9712384094725667,0.9682637129657594,0.9412626215962782,0.9454958435482733,1.008231430134144,0.9937011818124317,0.9731071290729972,0.9713146837419719,1.0565511798024103,0.9586150178859871,0.969636649815055,0.9680348901575433,0.9601786404087964,0.9484324029203779,0.9432838897355189,1.0016337058305842,0.9593014863106349,0.899121087749842,0.9782175051231532,0.9649839193813309,0.9128123191080962,0.9827939612874717,0.9990403806708038,1.0508306095970121,0.9754716314245618,0.9337496060598547,1.0408768174396188,0.9025915670077841,0.8752853785606813,0.9314232408429929,0.9214313115508967,0.9633821597238192,0.9317283379206139,0.9845864066184965]",0.006025573190803815,3.442754621134846,0.020744569947626072,0.9444901010943748,0.985979240989627,True,True,3.948775642723007,3.00416377715996,8.696263565463042,0.0,4.110960958218893,8.221921916437786,12.33288287465668,15.653274417833476,-1.8208478641375372,2.447530660776322,7.635518828792649,13.475063092550695,19.294583954972733,1.8208478641375372,1.663430297442571,0.5864030876451372,-1.1421802178940155,-3.641309537139257,2026071814,2000000
k3-p1.5-N80,3,80,1.5,72938585273,20000,40,500,36,0,408.4283,60.95170067029081,480.0,8.291859587312052,8.001959323261085,0.9650379675393245,"[1.0598580779897788,0.9384255573753582,0.9799547782827992,0.9847279419844984,0.9598643434931602,0.9162586615403472,0.9405829195004195,0.968952231444984,1.0299786125576715,0.9336254266470955,0.9379940849503452,0.9575451792087192,1.031542700098342,0.9385064584550475,0.9733208897482336,0.9483763901772061,0.9992631693021032,0.9829750852578858,0.960511552130679,0.9587856624306296,0.8769407368110943,0.9744535048638912,0.9112697616261414,1.0282527228576221,0.9634779250526394,1.0671661421884264,0.9372390082065738,0.9590283656696987,0.9919011710503297,0.9096247730057816,0.9891775013674391,0.9652577488058154,0.9022897417805714,0.9682241217277752,0.9938158299363222,0.922595912782716,0.9485651593631491,0.9383985903487947,0.9676847811965095,0.9851054803563846]",0.006438426595107153,3.442754621134846,0.022165922913142646,0.9428720446261818,0.9872038904524671,True,True,3.3708501154011583,2.4596747752497685,7.602631123499284,-0.6708203932499369,3.465905365124674,8.049844718999243,12.7455874717488,16.77050983124842,-1.8208478641375372,2.447530660776322,7.635518828792649,13.475063092550695,19.294583954972733,1.1500274708876002,1.0183747043483518,0.4143258902065936,-0.7294756208018942,-2.5240741237243114,2026071814,2000000
k3-p2-N160,3,160,2.0,72938585278,20000,40,500,36,0,443.1271,28.503934277630258,480.0,2.93161507141752,2.9150586983905655,0.9943524737649309,"[0.9931955883253659,0.9669836385058646,0.9933573904847465,1.0178973846573245,1.0104544853258624,1.0159557587447687,0.9600261456525406,0.9659588914964599,0.9937888629097578,1.0568377710146921,0.9294994715829147,1.0346169411265542,1.0792743371153355,1.0242076688731314,1.0266347012638255,1.0120725069196572,1.0136905285134536,0.9084651908635606,0.9474595112740548,0.9947057418129104,1.040603621023602,0.9563586300399346,0.9756130870061119,0.9485921263897116,0.9832717225500814,1.0312730298327093,0.9229195171014751,0.9759906253779981,1.0066791016070027,1.002849783835018,0.9668218363464842,1.0065712335007506,0.9925483796878474,0.9869392381626874,0.9801435474687421,1.031003359567077,1.0009081579224623,0.9831099203907027,0.959486805121274,1.0773327112027797]",0.006050854638152586,3.442754621134846,0.020831607767315033,0.9735208659976158,1.015184081532246,True,True,0.7961824578888936,0.5533985905294664,1.818309654596818,0.15811388300841897,1.2649110640673518,2.687936011143122,4.348131782731521,5.929270612815711,-0.023473600445974824,1.0985565627126754,2.5976975626108123,4.451045552306753,6.363296038817425,0.1815874834543938,0.16635450135467633,0.09023844853230978,-0.10291376957523202,-0.434025426001714,2026071814,2000000
k3-p2-N320,3,320,2.0,72938585279,20000,40,500,36,0,907.5983,42.058302178631834,960.0,2.93161507141752,2.9293440834137683,0.9992253457741114,"[1.0572376482270576,1.0391225092432967,0.9598735433311741,0.9657085249406814,0.9761580998492094,1.0284822486612555,0.9898493312074627,1.0323722364009256,0.9861500291413057,0.9953792157393494,0.979742990511259,1.0481610101678251,1.0110535781021415,0.9575471781143129,0.9891628627828158,0.9677297930799221,0.9848533665614155,1.047550816012584,0.9830990583650937,1.0560172599165731,1.0609750874279185,1.0101382868692776,0.9871797317782769,0.9404617417675234,0.9972860724744804,0.9998793976342627,0.937868416607741,0.9540385617216691,0.983671115385633,0.9719630150319167,1.0081932929994404,1.0191386506591043,1.0119307322003013,0.9877899259335201,1.0685643772337476,0.9748233001346155,0.9444661409113008,1.0398089776679433,1.0295119512982267,0.9860737548719]",0.005569834384040714,3.442754621134846,0.019175573064611928,0.9800497727094994,1.0184009188387233,True,True,0.6684054398342372,0.5031152949374527,1.509345884812358,0.11180339887498948,1.2298373876248843,2.6832815729997477,4.36033255612459,6.093285238686927,-0.023473600445974824,1.0985565627126754,2.5976975626108123,4.451045552306753,6.363296038817425,0.13527699932096432,0.13128082491220883,0.08558401038893537,-0.09071299618216333,-0.27001080013049794,2026071814,2000000
